@relation  banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class{-1.0,1.0}
@inputs At1,At2
@outputs Class
@data
0.89, 0.864, -1.0
-0.804, 0.687, -1.0
-0.678, 1.6, -1.0
-0.712, -1.1, -1.0
-0.639, 1.25, -1.0
-0.742, -1.02, -1.0
0.0182, 1.68, -1.0
-0.124, -1.12, -1.0
1.81, -0.0547, -1.0
-0.418, -1.26, -1.0
0.514, 0.715, -1.0
-1.17, 0.586, -1.0
-0.437, -0.789, -1.0
1.08, 0.088, -1.0
-0.214, 1.76, -1.0
1.24, 0.908, -1.0
1.04, 0.952, -1.0
1.34, 0.274, -1.0
0.733, 0.926, -1.0
-0.621, 1.16, -1.0
1.18, 0.597, -1.0
-0.901, -1.13, -1.0
0.987, 0.258, -1.0
0.00356, 1.87, -1.0
1.36, 0.482, -1.0
0.962, 0.851, -1.0
-1.11, 1.1, -1.0
1.03, 0.548, -1.0
0.599, 1.14, -1.0
-0.829, 1.06, -1.0
0.299, 1.52, -1.0
0.774, 0.617, -1.0
-0.667, -0.895, -1.0
-0.449, 1.04, -1.0
-0.391, 1.03, -1.0
1.08, 0.72, -1.0
-1.06, 0.817, -1.0
-1.12, -1.2, -1.0
0.237, -1.26, -1.0
-0.951, 1.39, -1.0
1.51, -0.355, -1.0
1.52, -0.0653, -1.0
0.35, 1.22, -1.0
-0.693, 1.28, -1.0
0.299, -0.819, -1.0
1.63, -0.56, -1.0
1.07, 0.441, -1.0
-0.9, 1.49, -1.0
1.04, 0.93, -1.0
1.89, -0.633, -1.0
0.546, -1.12, -1.0
0.134, -1.18, -1.0
-0.509, -0.932, -1.0
1.6, 0.0487, -1.0
0.179, 1.81, -1.0
0.383, -0.987, -1.0
0.88, 0.275, -1.0
-0.593, -1.58, -1.0
-1.2, -1.19, -1.0
-0.758, -1.21, -1.0
0.0179, -1.01, -1.0
-0.495, 1.31, -1.0
0.728, 0.752, -1.0
-1.04, -1.08, -1.0
-0.0789, -1.35, -1.0
0.409, -1.51, -1.0
0.731, 1.31, -1.0
1.43, 0.484, -1.0
0.682, 1.5, -1.0
-0.572, 1.16, -1.0
-0.914, -0.919, -1.0
-0.866, 0.751, -1.0
-0.309, 1.16, -1.0
-0.195, 1.31, -1.0
1.17, 0.511, -1.0
1.23, -0.115, -1.0
-0.967, 1.22, -1.0
1.05, 0.219, -1.0
1.24, 0.31, -1.0
-0.451, -1.34, -1.0
0.871, 1.29, -1.0
-0.374, -1.08, -1.0
1.43, 0.147, -1.0
0.444, 1.99, -1.0
1.21, 1.28, -1.0
1.72, -0.471, -1.0
1.33, 0.825, -1.0
0.198, -1.41, -1.0
0.301, -1.17, -1.0
-0.451, 1.72, -1.0
1.29, 0.677, -1.0
-0.0267, -1.09, -1.0
1.14, -0.0829, -1.0
-0.707, -1.43, -1.0
1.29, -0.499, -1.0
-0.155, 1.29, -1.0
1.64, 0.174, -1.0
