@relation  ionosphere
@attribute Pulse1 numeric
@attribute Pulse3 real[-1.0,1.0]
@attribute Pulse4 real[-1.0,1.0]
@attribute Pulse5 real[-1.0,1.0]
@attribute Pulse6 real[-1.0,1.0]
@attribute Pulse7 real[-1.0,1.0]
@attribute Pulse8 real[-1.0,1.0]
@attribute Pulse9 real[-1.0,1.0]
@attribute Pulse10 real[-1.0,1.0]
@attribute Pulse11 real[-1.0,1.0]
@attribute Pulse12 real[-1.0,1.0]
@attribute Pulse13 real[-1.0,1.0]
@attribute Pulse14 real[-1.0,1.0]
@attribute Pulse15 real[-1.0,1.0]
@attribute Pulse16 real[-1.0,1.0]
@attribute Pulse17 real[-1.0,1.0]
@attribute Pulse18 real[-1.0,1.0]
@attribute Pulse19 real[-1.0,1.0]
@attribute Pulse20 real[-1.0,1.0]
@attribute Pulse21 real[-1.0,1.0]
@attribute Pulse22 real[-1.0,1.0]
@attribute Pulse23 real[-1.0,1.0]
@attribute Pulse24 real[-1.0,1.0]
@attribute Pulse25 real[-1.0,1.0]
@attribute Pulse26 real[-1.0,1.0]
@attribute Pulse27 real[-1.0,1.0]
@attribute Pulse28 real[-1.0,1.0]
@attribute Pulse29 real[-1.0,1.0]
@attribute Pulse30 real[-1.0,1.0]
@attribute Pulse31 real[-1.0,1.0]
@attribute Pulse32 real[-1.0,1.0]
@attribute Pulse33 real[-1.0,1.0]
@attribute Pulse34 real[-1.0,1.0]
@attribute Class {g,b}


@data
1, 1.0, 0.08, 0.968, -0.0050, 0.967, -0.0070, 0.88, -0.039, 1.0, 0.014, 0.962, -0.014, 0.959, -0.017, 0.985, 0.01, 0.912, -0.088, 0.95, -0.024, 0.946, -0.026, 0.982, 0.02, 0.938, -0.03, 1.0, -0.058, 0.928, -0.035, 0.922, -0.037, g
1, 0.675, 0.045, 0.77, -0.106, 0.774, 0.038, 0.66, -0.045, 0.645, 0.011, 0.668, -0.14, 0.721, -0.023, 0.77, 0.087, 0.619, -0.079, 0.758, -0.238, 0.74, -0.147, 0.849, -0.151, 0.739, -0.058, 0.668, 0.023, 0.864, 0.038, 0.732, 0.0080, g
1, 0.883, -0.22, 1.0, 0.364, 0.824, 0.192, 0.851, 0.059, 0.906, -0.043, 0.852, 0.25, 0.779, 0.253, 0.692, 0.579, 0.71, 0.391, 0.732, 0.276, 1.0, 0.349, 0.568, 0.52, 0.698, 0.532, 0.809, 0.586, 0.43, 0.709, 0.524, 0.542, g
1, 1.0, 1.0, 0.367, 0.062, 0.13, 0.927, -0.276, 0.936, -0.315, 0.377, -0.872, 0.369, -0.929, -0.089, -0.389, -0.342, -0.466, -0.825, -0.054, -0.936, 0.256, -0.204, 0.738, -0.46, 0.855, -0.068, 1.0, 1.0, 0.387, 0.0020, 0.178, 0.798, g
1, 0.724, -0.011, 0.797, 0.011, 0.8, 0.0020, 0.79, 0.011, 0.784, -0.01, 0.834, 0.033, 0.851, 0.017, 0.801, -0.0080, 0.791, -0.03, 0.76, 0.034, 0.748, 0.055, 0.726, -0.015, 0.78, 0.0060, 0.741, -0.05, 0.83, 0.03, 0.79, 0.0080, g
1, 0.848, 0.068, 0.806, -0.023, 0.77, -0.033, 0.667, -0.066, 0.596, -0.077, 0.673, -0.058, 0.643, -0.064, 0.392, 0.045, 0.713, 0.014, 0.56, -0.08, 0.534, -0.085, 0.47, -0.228, 0.487, -0.091, 0.526, -0.085, 0.443, -0.096, 0.422, -0.098, g
1, 0.99, -0.058, 0.998, -0.13, 0.987, -0.194, 0.994, -0.258, 0.927, -0.301, 0.927, -0.38, 0.898, -0.438, 0.849, -0.521, 0.874, -0.571, 0.79, -0.598, 0.747, -0.646, 0.683, -0.685, 0.652, -0.732, 0.61, -0.754, 0.548, -0.803, 0.492, -0.832, g
1, 0.894, 0.134, 0.87, 0.315, 0.789, 0.434, 0.634, 0.6, 0.54, 0.71, 0.397, 0.762, 0.243, 0.795, 0.091, 0.796, -0.092, 0.763, -0.202, 0.669, -0.303, 0.626, -0.406, 0.505, -0.462, 0.408, -0.503, 0.273, -0.528, 0.192, -0.488, 0.06, g
1, 1.0, 0.0, 1.0, 0.0, 0.5, 0.5, 0.75, 0.0, 0.912, 0.121, 0.891, 0.142, 0.869, 0.162, 0.75, 0.25, 0.75, 0.5, 0.75, 0.0, 1.0, -0.25, 0.5, 0.5, 0.739, 0.264, 0.75, 0.25, 0.696, 0.291, 0.675, 0.303, g
1, 0.394, -0.242, 0.627, 0.013, 0.455, 0.091, 0.636, 0.091, 0.212, -0.212, 0.576, 0.152, 0.394, 0.0, 0.562, 0.046, 0.515, 0.03, 0.788, 0.182, 0.303, -0.152, 0.485, 0.059, 0.464, 0.061, 0.333, -0.03, 0.419, 0.064, 0.394, 0.242, g
