@relation  ionosphere
@attribute Pulse1 integer[0,1]
@attribute Pulse3 real[-1.0,1.0]
@attribute Pulse4 real[-1.0,1.0]
@attribute Pulse5 real[-1.0,1.0]
@attribute Pulse6 real[-1.0,1.0]
@attribute Pulse7 real[-1.0,1.0]
@attribute Pulse8 real[-1.0,1.0]
@attribute Pulse9 real[-1.0,1.0]
@attribute Pulse10 real[-1.0,1.0]
@attribute Pulse11 real[-1.0,1.0]
@attribute Pulse12 real[-1.0,1.0]
@attribute Pulse13 real[-1.0,1.0]
@attribute Pulse14 real[-1.0,1.0]
@attribute Pulse15 real[-1.0,1.0]
@attribute Pulse16 real[-1.0,1.0]
@attribute Pulse17 real[-1.0,1.0]
@attribute Pulse18 real[-1.0,1.0]
@attribute Pulse19 real[-1.0,1.0]
@attribute Pulse20 real[-1.0,1.0]
@attribute Pulse21 real[-1.0,1.0]
@attribute Pulse22 real[-1.0,1.0]
@attribute Pulse23 real[-1.0,1.0]
@attribute Pulse24 real[-1.0,1.0]
@attribute Pulse25 real[-1.0,1.0]
@attribute Pulse26 real[-1.0,1.0]
@attribute Pulse27 real[-1.0,1.0]
@attribute Pulse28 real[-1.0,1.0]
@attribute Pulse29 real[-1.0,1.0]
@attribute Pulse30 real[-1.0,1.0]
@attribute Pulse31 real[-1.0,1.0]
@attribute Pulse32 real[-1.0,1.0]
@attribute Pulse33 real[-1.0,1.0]
@attribute Pulse34 real[-1.0,1.0]
@attribute Class{g,b}
@inputs Pulse1,Pulse3,Pulse4,Pulse5,Pulse6,Pulse7,Pulse8,Pulse9,Pulse10,Pulse11,Pulse12,Pulse13,Pulse14,Pulse15,Pulse16,Pulse17,Pulse18,Pulse19,Pulse20,Pulse21,Pulse22,Pulse23,Pulse24,Pulse25,Pulse26,Pulse27,Pulse28,Pulse29,Pulse30,Pulse31,Pulse32,Pulse33,Pulse34
@outputs Class
@data
1, 1.0, 0.231, 1.0, -0.785, 1.0, -0.104, 1.0, 0.154, 1.0, 0.278, 0.981, -0.069, 1.0, 0.066, 0.958, -0.19, 0.836, -0.156, 0.974, 0.037, 0.996, 0.092, 1.0, -0.013, 0.962, -0.046, 0.912, 0.039, 1.0, -0.137, 0.965, -0.117, g
1, 0.6, 0.033, 0.633, 0.067, 0.7, 0.067, 0.7, 0.0, 0.633, 0.0, 0.8, 0.0, 0.733, 0.0, 0.7, 0.1, 0.667, 0.1, 0.733, -0.033, 0.767, 0.0, 0.633, 0.133, 0.659, 0.102, 0.6, 0.133, 0.6, 0.167, 0.633, 0.167, g
1, 1.0, 0.065, 1.0, 0.207, 1.0, 0.263, 0.931, 0.322, 0.868, 0.39, 0.755, 0.501, 0.796, 0.523, 0.66, 0.608, 0.576, 0.63, 0.478, 0.671, 0.406, 0.688, 0.344, 0.721, 0.277, 0.724, 0.193, 0.707, 0.114, 0.727, 0.07, 0.714, g
1, 0.842, 0.435, 0.5, 0.762, 0.099, 0.935, -0.378, 0.882, -0.724, 0.612, -0.939, 0.194, -0.867, -0.255, -0.629, -0.656, -0.251, -0.857, 0.162, -0.865, 0.515, -0.669, 0.749, -0.289, 0.779, 0.079, 0.641, 0.428, 0.314, 0.624, -0.0040, 0.694, g
1, 0.811, 0.037, 0.851, -0.0010, 0.79, 0.0070, 0.796, -0.043, 0.876, 0.0, 0.856, -0.067, 0.864, 0.0030, 0.829, -0.054, 0.81, -0.119, 0.769, -0.084, 0.843, -0.05, 0.77, -0.069, 0.816, -0.087, 0.826, -0.104, 0.814, -0.05, 0.821, -0.151, g
1, 0.619, 0.108, 0.707, -0.069, 0.704, 0.017, 0.743, 0.0020, 0.71, 0.158, 0.716, -0.0020, 0.798, 0.066, 0.837, -0.166, 0.687, -0.091, 0.625, -0.013, 0.61, 0.117, 0.713, -0.095, 0.698, -0.017, 0.633, 0.048, 0.789, -0.051, 0.652, -0.047, g
1, 1.0, 0.241, 0.998, 0.0040, 0.802, -0.301, 0.899, -0.235, 0.706, -0.241, 0.739, -0.305, 0.715, -0.361, 0.472, -0.612, 0.405, -0.551, 0.61, -0.393, 0.532, -0.327, 0.24, -0.521, 0.292, -0.484, 0.128, -0.391, 0.157, -0.513, 0.184, -0.466, g
1, 0.997, 0.217, 0.92, 0.47, 0.769, 0.624, 0.533, 0.781, 0.368, 0.883, 0.101, 0.833, -0.068, 0.893, -0.283, 0.721, -0.437, 0.617, -0.558, 0.481, -0.65, 0.355, -0.647, 0.159, -0.667, 0.023, -0.649, -0.135, -0.546, -0.229, -0.472, -0.35, g
1, 1.0, 0.084, 1.0, 0.174, 1.0, -0.133, 0.982, 0.645, 1.0, 0.479, 1.0, 0.591, 1.0, 0.708, 1.0, 0.828, 1.0, 0.951, 1.0, 1.0, 0.98, 1.0, 0.916, 1.0, 0.839, 1.0, 0.748, 1.0, 0.644, 1.0, 0.525, 1.0, g
1, 0.576, -0.016, 0.404, 0.0, 0.384, 0.129, 0.4, -0.059, 0.565, 0.141, 0.467, 0.082, 0.525, -0.055, 0.58, 0.016, 0.502, 0.0, 0.459, 0.067, 0.58, 0.082, 0.498, 0.0040, 0.486, 0.1, 0.463, 0.082, 0.451, 0.235, 0.431, 0.173, g
1, 1.0, 0.067, 1.0, -0.184, 1.0, -0.273, 1.0, -0.431, 1.0, -0.413, 0.962, -0.519, 0.907, -0.59, 0.892, -0.665, 0.699, -0.71, 0.706, -0.763, 0.631, -0.805, 0.559, -0.891, 0.472, -0.865, 0.403, -0.837, 0.31, -0.891, 0.23, -0.892, g
1, 1.0, 0.017, 0.962, -0.031, 1.0, -0.034, 1.0, -0.051, 0.99, -0.071, 0.992, -0.09, 1.0, -0.157, 1.0, -0.143, 0.983, -0.118, 1.0, -0.185, 1.0, -0.193, 0.99, -0.221, 0.965, -0.202, 0.946, -0.171, 0.964, -0.226, 0.87, -0.233, g
1, 1.0, 0.678, 0.813, 0.82, 0.43, 1.0, 0.206, 0.805, -0.439, 1.0, -0.791, 0.771, -1.0, 0.403, -0.39, -0.586, -0.979, -0.428, -0.731, -0.763, -0.377, -0.975, 0.414, -1.0, 0.418, -0.933, 0.258, -1.0, 0.936, -0.352, 0.988, 0.034, g
1, 0.912, -0.088, 0.971, 0.176, 0.824, 0.088, 0.912, -0.029, 0.971, -0.176, 0.971, 0.147, 0.941, 0.029, 1.0, 0.0, 1.0, 0.0, 0.765, 0.118, 0.882, 0.029, 0.853, 0.029, 0.927, 0.026, 0.941, -0.118, 0.971, 0.059, 0.912, 0.059, g
1, 0.747, -0.132, 0.538, 0.17, 0.727, 0.095, 0.696, -0.111, 0.668, -0.235, 0.879, -0.192, 0.737, 0.042, 0.63, -0.0040, 0.636, -0.119, 0.792, -0.253, 0.664, -0.287, 0.672, -0.105, 0.618, -0.12, 0.601, -0.209, 0.375, 0.069, 0.611, -0.014, g
1, 0.946, 0.175, 0.909, 0.331, 0.851, 0.5, 0.737, 0.638, 0.592, 0.738, 0.487, 0.836, 0.305, 0.907, 0.18, 0.934, -0.0070, 0.931, -0.189, 0.894, -0.33, 0.825, -0.465, 0.765, -0.586, 0.663, -0.679, 0.526, -0.753, 0.425, -0.812, 0.261, g
1, 1.0, 0.051, 0.994, 0.101, 0.961, 0.148, 0.955, -0.265, 0.66, 0.547, 0.804, 0.253, 0.738, 0.274, 0.668, 0.287, 0.596, 0.293, 0.525, 0.292, 0.456, 0.285, 0.39, 0.272, 0.329, 0.256, 0.274, 0.236, 0.224, 0.214, 0.181, 0.191, g
1, 0.834, 0.315, 0.655, 0.577, 0.35, 0.707, 0.173, 0.789, -0.19, 0.799, -0.417, 0.665, -0.684, 0.477, -0.747, 0.195, -0.722, -0.049, -0.62, -0.282, -0.492, -0.535, -0.266, -0.66, -0.015, -0.697, 0.227, -0.644, 0.431, -0.512, 0.647, -0.301, g
1, 0.85, 0.018, 0.922, 0.015, 0.92, 0.022, 0.928, 0.08, 0.876, 0.114, 0.912, 0.043, 0.907, 0.05, 0.873, 0.028, 0.959, 0.0, 0.891, 0.07, 0.884, 0.077, 0.837, 0.109, 0.869, 0.09, 0.876, 0.088, 0.852, 0.101, 0.843, 0.107, g
1, 0.97, -0.144, 0.913, -0.0020, 0.966, -0.171, 0.986, 0.183, 0.918, 0.0020, 0.936, -0.084, 0.913, -0.0020, 0.868, -0.087, 0.97, -0.212, 1.0, 0.103, 0.92, -0.053, 0.925, 0.068, 0.94, -0.093, 0.97, -0.201, 0.854, -0.087, 0.966, -0.219, g
1, 0.94, 0.281, 0.805, 0.528, 0.582, 0.732, 0.35, 0.805, 0.108, 0.904, -0.2, 0.893, -0.397, 0.822, -0.588, 0.629, -0.763, 0.404, -0.813, 0.189, -0.813, -0.043, -0.753, -0.269, -0.632, -0.464, -0.464, -0.614, -0.264, -0.708, -0.089, -0.713, g
1, 1.0, 0.455, 1.0, -0.455, 1.0, 0.091, 1.0, -0.091, 1.0, 0.0, 1.0, -0.273, 1.0, -0.182, 1.0, 0.091, 1.0, 0.0, 1.0, -0.364, 1.0, 0.091, 1.0, -0.091, 1.0, -0.049, 1.0, 0.455, 1.0, -0.273, 1.0, -0.182, g
1, 0.328, 0.11, 0.16, 0.293, 0.14, 0.745, -0.251, 0.92, -0.165, 0.267, -0.637, 0.249, -0.976, -0.0030, -0.232, -0.199, -0.305, -0.489, -0.144, -0.9, 0.093, -0.289, 0.283, -0.186, 0.396, -0.115, 0.31, 0.056, 0.214, 0.205, 0.134, 0.264, g
1, 0.055, 0.014, -0.026, 0.046, 0.014, 0.046, -0.078, 0.0090, 0.017, -0.066, -0.037, 0.043, -0.083, -0.046, -0.095, 0.08, -0.04, 0.052, 0.02, 0.023, -0.037, -0.011, 0.032, -0.0090, 0.0090, 0.017, 0.026, 0.011, 0.026, 0.011, -0.046, -0.0060, b
1, 1.0, -1.0, 0.0, 0.0, 0.779, -0.993, 0.809, 0.551, -0.419, -0.949, 0.0, 0.0, 0.0, 0.0, 0.721, -0.772, 0.735, -0.603, 0.0, 0.0, 0.184, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 1.0, -1.0, 0.0, 0.0, b
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, b
