@relation  iris
@attribute SepalLength real[4.3,7.9]
@attribute SepalWidth real[2.0,4.4]
@attribute PetalLength real[1.0,6.9]
@attribute PetalWidth real[0.1,2.5]
@attribute Class{Iris-setosa,Iris-versicolor,Iris-virginica}
@inputs SepalLength,SepalWidth,PetalLength,PetalWidth
@outputs Class
@data
5.4, 3.7, 1.5, 0.2, Iris-setosa
5.1, 3.5, 1.4, 0.3, Iris-setosa
5.7, 3.8, 1.7, 0.3, Iris-setosa
4.8, 3.0, 1.4, 0.3, Iris-setosa
4.7, 3.2, 1.6, 0.2, Iris-setosa
6.5, 2.8, 4.6, 1.5, Iris-versicolor
5.8, 2.6, 4.0, 1.2, Iris-versicolor
5.6, 2.5, 3.9, 1.1, Iris-versicolor
6.4, 2.9, 4.3, 1.3, Iris-versicolor
6.9, 3.1, 4.9, 1.5, Iris-versicolor
7.2, 3.2, 6.0, 1.8, Iris-virginica
6.3, 2.5, 5.0, 1.9, Iris-virginica
6.7, 3.1, 5.6, 2.4, Iris-virginica
6.9, 3.1, 5.1, 2.3, Iris-virginica
7.7, 2.8, 6.7, 2.0, Iris-virginica
