@relation  iris
@attribute SepalLength numeric
@attribute SepalWidth numeric
@attribute PetalLength numeric
@attribute PetalWidth numeric
@attribute Class {Iris-setosa,Iris-versicolor,Iris-virginica}


@data
5.4, 3.4, 1.5, 0.4, Iris-setosa
5.2, 3.4, 1.4, 0.2, Iris-setosa
5.7, 4.4, 1.5, 0.4, Iris-setosa
4.4, 2.9, 1.4, 0.2, Iris-setosa
4.3, 3.0, 1.1, 0.1, Iris-setosa
6.1, 3.0, 4.6, 1.4, Iris-versicolor
5.6, 3.0, 4.1, 1.3, Iris-versicolor
5.7, 3.0, 4.2, 1.2, Iris-versicolor
6.7, 3.1, 4.7, 1.5, Iris-versicolor
5.0, 2.3, 3.3, 1.0, Iris-versicolor
6.7, 3.3, 5.7, 2.1, Iris-virginica
5.8, 2.7, 5.1, 1.9, Iris-virginica
6.9, 3.1, 5.4, 2.1, Iris-virginica
6.4, 3.1, 5.5, 1.8, Iris-virginica
6.1, 2.6, 5.6, 1.4, Iris-virginica
