@relation  led7digit
@attribute Led1 numeric
@attribute Led2 numeric
@attribute Led3 numeric
@attribute Led4 numeric
@attribute Led5 numeric
@attribute Led6 numeric
@attribute Led7 numeric
@attribute number {0,1,2,3,4,5,6,7,8,9}


@data
1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0
1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0
1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0
0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1
0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1
0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 2
1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 2
0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 2
1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 2
0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 3
1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 3
1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 3
1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 3
1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 3
0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 3
0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 4
0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 4
0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 4
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 5
1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 5
0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 6
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 6
1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 6
0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 7
1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 7
1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 8
1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 8
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 8
1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 8
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 9
0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 9
1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 9
1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 9
