@relation  letter
@attribute X-box numeric
@attribute Y-box numeric
@attribute Width numeric
@attribute High numeric
@attribute Onpix numeric
@attribute X-bar numeric
@attribute Y-bar numeric
@attribute X2bar numeric
@attribute Y2bar numeric
@attribute Xybar numeric
@attribute X2ybr numeric
@attribute Xy2br numeric
@attribute X-ege numeric
@attribute Xegvy numeric
@attribute Y-ege numeric
@attribute Yegvx numeric
@attribute Class {A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z}


@data
2, 7, 4, 5, 3, 11, 2, 2, 2, 9, 2, 9, 2, 6, 2, 7, A
8, 15, 7, 8, 4, 8, 2, 3, 2, 8, 5, 12, 5, 4, 5, 5, A
3, 7, 5, 5, 3, 8, 2, 2, 2, 7, 2, 7, 2, 6, 3, 6, A
2, 3, 3, 1, 1, 11, 2, 3, 1, 9, 2, 9, 1, 6, 2, 8, A
3, 10, 5, 7, 2, 8, 6, 3, 1, 7, 0, 8, 3, 7, 1, 8, A
2, 8, 4, 5, 2, 6, 5, 3, 1, 6, 1, 8, 2, 7, 2, 7, A
5, 10, 5, 6, 3, 10, 2, 4, 2, 11, 6, 13, 5, 4, 5, 10, A
2, 4, 4, 5, 2, 7, 4, 3, 1, 7, 1, 8, 2, 7, 2, 8, A
3, 7, 5, 5, 3, 11, 3, 2, 2, 9, 2, 9, 3, 5, 2, 8, A
2, 8, 4, 6, 2, 12, 3, 3, 2, 10, 1, 9, 2, 6, 2, 8, A
2, 1, 3, 1, 0, 7, 4, 2, 0, 7, 2, 8, 2, 7, 1, 8, A
3, 6, 6, 4, 3, 7, 5, 2, 3, 6, 2, 6, 2, 6, 3, 5, A
1, 1, 2, 1, 0, 7, 4, 2, 0, 6, 2, 8, 2, 7, 1, 8, A
3, 5, 5, 3, 2, 11, 2, 3, 2, 10, 2, 9, 2, 6, 2, 8, A
3, 11, 6, 8, 4, 12, 3, 3, 3, 10, 1, 9, 2, 6, 3, 8, A
2, 4, 4, 3, 2, 9, 2, 2, 1, 8, 2, 9, 2, 7, 2, 8, A
2, 3, 4, 1, 1, 10, 2, 3, 1, 9, 2, 9, 1, 6, 1, 8, A
4, 8, 6, 6, 3, 9, 3, 2, 3, 8, 1, 8, 2, 6, 3, 7, A
3, 7, 5, 5, 3, 11, 2, 2, 2, 9, 2, 9, 3, 6, 3, 9, A
2, 4, 3, 3, 1, 11, 3, 2, 2, 9, 2, 9, 1, 6, 2, 8, A
6, 14, 6, 8, 5, 11, 3, 4, 2, 11, 3, 11, 5, 3, 4, 11, A
3, 4, 5, 3, 2, 10, 2, 3, 1, 9, 2, 9, 2, 6, 2, 8, A
3, 6, 4, 4, 2, 8, 2, 2, 2, 7, 2, 8, 2, 6, 3, 7, A
4, 9, 6, 6, 2, 6, 4, 3, 1, 6, 1, 8, 3, 7, 2, 7, A
4, 11, 7, 8, 5, 12, 2, 2, 2, 10, 2, 9, 2, 6, 3, 8, A
4, 9, 7, 6, 3, 12, 2, 4, 3, 11, 1, 9, 3, 7, 3, 9, A
3, 5, 6, 3, 2, 9, 2, 2, 2, 8, 2, 10, 3, 7, 2, 8, A
2, 6, 4, 4, 1, 7, 5, 3, 1, 6, 0, 8, 2, 7, 1, 7, A
1, 0, 2, 0, 0, 7, 4, 2, 0, 7, 2, 8, 2, 7, 1, 8, A
4, 9, 7, 7, 5, 6, 5, 2, 3, 4, 1, 6, 5, 7, 5, 4, A
2, 7, 4, 4, 1, 8, 4, 3, 2, 7, 2, 8, 3, 6, 2, 8, A
3, 5, 6, 4, 2, 7, 1, 2, 2, 6, 2, 7, 4, 6, 4, 7, A
4, 10, 6, 7, 2, 9, 4, 3, 2, 8, 1, 8, 3, 7, 3, 8, A
4, 8, 6, 7, 6, 7, 8, 2, 4, 7, 8, 8, 5, 8, 5, 6, A
5, 11, 7, 9, 5, 8, 3, 3, 1, 7, 2, 8, 5, 8, 5, 10, A
2, 8, 4, 6, 2, 12, 2, 4, 3, 11, 2, 10, 3, 6, 3, 9, A
5, 11, 8, 8, 4, 10, 2, 2, 3, 9, 1, 8, 2, 7, 3, 7, A
2, 4, 4, 2, 2, 11, 2, 2, 1, 9, 2, 9, 2, 7, 2, 9, A
2, 4, 4, 3, 2, 7, 2, 2, 1, 6, 2, 8, 2, 7, 3, 6, A
2, 4, 4, 6, 2, 7, 5, 3, 1, 7, 1, 8, 2, 7, 2, 8, A
3, 2, 5, 4, 2, 8, 2, 2, 2, 8, 1, 8, 2, 6, 3, 7, A
3, 9, 5, 7, 3, 11, 3, 2, 2, 9, 2, 9, 3, 5, 3, 8, A
4, 9, 6, 7, 3, 11, 2, 4, 3, 10, 2, 9, 3, 7, 3, 8, A
6, 11, 8, 9, 9, 8, 7, 8, 3, 7, 6, 8, 3, 8, 9, 3, A
5, 13, 5, 7, 4, 12, 2, 4, 1, 11, 3, 11, 4, 3, 4, 11, A
3, 9, 5, 6, 3, 10, 3, 2, 2, 8, 2, 10, 3, 5, 3, 7, A
7, 11, 5, 6, 3, 10, 1, 3, 1, 10, 4, 12, 3, 4, 4, 8, A
2, 6, 3, 4, 2, 11, 3, 3, 3, 11, 2, 10, 2, 6, 3, 8, A
2, 8, 4, 6, 2, 7, 6, 3, 1, 6, 0, 8, 2, 7, 1, 7, A
2, 1, 4, 2, 1, 9, 2, 2, 1, 8, 2, 8, 2, 6, 2, 7, A
3, 7, 5, 5, 3, 11, 3, 2, 2, 9, 1, 9, 3, 5, 2, 8, A
4, 11, 6, 8, 3, 5, 4, 3, 3, 5, 1, 7, 3, 6, 3, 7, A
4, 9, 6, 8, 6, 7, 8, 2, 4, 7, 7, 8, 8, 6, 4, 7, A
1, 1, 3, 2, 1, 6, 2, 2, 1, 6, 2, 7, 1, 6, 2, 6, A
3, 11, 5, 8, 4, 12, 2, 3, 3, 10, 2, 9, 2, 6, 3, 8, A
3, 5, 5, 4, 4, 7, 8, 3, 4, 7, 8, 8, 5, 10, 3, 6, A
4, 5, 6, 7, 2, 7, 4, 3, 1, 7, 1, 8, 3, 7, 2, 8, A
3, 7, 5, 5, 3, 7, 3, 2, 2, 5, 2, 8, 2, 6, 2, 6, A
2, 3, 3, 1, 1, 8, 2, 2, 1, 7, 2, 8, 2, 7, 2, 7, A
4, 11, 7, 9, 4, 11, 3, 2, 3, 9, 2, 9, 5, 5, 3, 9, A
4, 9, 7, 7, 4, 9, 3, 2, 3, 6, 1, 7, 2, 6, 2, 7, A
4, 5, 6, 8, 2, 7, 4, 3, 2, 7, 1, 8, 3, 6, 3, 8, A
3, 8, 6, 6, 4, 11, 2, 2, 2, 9, 2, 9, 3, 5, 3, 8, A
5, 8, 6, 6, 6, 8, 9, 7, 4, 6, 6, 8, 3, 7, 7, 5, A
4, 5, 6, 4, 4, 9, 8, 3, 4, 6, 7, 7, 4, 9, 4, 6, A
4, 10, 7, 8, 5, 11, 2, 2, 2, 9, 2, 9, 4, 5, 4, 8, A
4, 11, 5, 8, 4, 8, 5, 3, 0, 7, 1, 8, 2, 6, 3, 8, A
5, 11, 7, 8, 7, 8, 7, 7, 4, 7, 6, 9, 3, 8, 8, 3, A
1, 0, 2, 0, 0, 8, 4, 2, 0, 7, 2, 8, 2, 7, 1, 8, A
3, 8, 5, 6, 3, 6, 4, 3, 0, 6, 2, 7, 2, 7, 2, 7, A
4, 7, 5, 5, 5, 7, 6, 8, 4, 7, 5, 8, 4, 8, 10, 2, A
4, 8, 5, 6, 3, 7, 5, 2, 0, 7, 1, 8, 2, 7, 1, 8, A
5, 6, 7, 5, 6, 6, 6, 3, 5, 7, 8, 10, 8, 11, 3, 8, A
2, 4, 4, 3, 1, 8, 2, 2, 2, 7, 2, 8, 2, 6, 2, 7, A
5, 11, 7, 8, 5, 7, 4, 3, 0, 7, 1, 8, 3, 8, 3, 7, A
3, 9, 5, 6, 3, 9, 3, 2, 3, 7, 1, 8, 2, 6, 2, 7, A
5, 10, 9, 8, 7, 11, 5, 1, 5, 9, 1, 5, 3, 7, 5, 9, A
1, 0, 2, 0, 0, 7, 4, 2, 0, 7, 2, 8, 1, 7, 1, 8, A
10, 14, 8, 8, 4, 11, 1, 3, 0, 10, 4, 11, 3, 4, 4, 10, A
2, 6, 3, 4, 3, 7, 6, 8, 5, 6, 7, 7, 2, 9, 7, 9, B
3, 2, 4, 3, 3, 8, 7, 5, 6, 7, 6, 6, 5, 8, 5, 10, B
1, 0, 1, 1, 1, 7, 7, 7, 4, 6, 6, 7, 1, 8, 6, 9, B
9, 11, 7, 6, 4, 10, 4, 5, 6, 11, 3, 9, 5, 7, 6, 11, B
4, 4, 4, 6, 3, 6, 7, 9, 7, 7, 6, 7, 2, 8, 9, 10, B
6, 11, 8, 8, 11, 8, 6, 5, 4, 7, 7, 7, 9, 11, 11, 10, B
6, 10, 9, 7, 7, 11, 6, 2, 7, 11, 3, 8, 4, 7, 5, 12, B
4, 8, 4, 6, 5, 6, 8, 8, 6, 7, 5, 7, 2, 8, 7, 9, B
3, 6, 4, 4, 4, 8, 8, 6, 6, 7, 6, 6, 2, 8, 6, 9, B
5, 9, 8, 8, 10, 7, 7, 5, 4, 7, 6, 8, 7, 10, 9, 5, B
4, 7, 6, 6, 7, 8, 8, 5, 5, 7, 6, 8, 7, 7, 9, 6, B
3, 5, 6, 4, 4, 9, 6, 3, 6, 10, 5, 7, 2, 8, 5, 9, B
2, 3, 2, 1, 2, 7, 7, 5, 5, 7, 6, 6, 1, 8, 5, 9, B
3, 6, 4, 4, 4, 6, 8, 7, 4, 7, 5, 6, 2, 8, 6, 6, B
5, 11, 7, 8, 6, 9, 8, 4, 7, 10, 4, 6, 2, 8, 6, 10, B
3, 7, 3, 5, 4, 6, 7, 7, 5, 7, 6, 7, 2, 8, 7, 10, B
4, 8, 6, 6, 5, 7, 8, 6, 6, 10, 6, 6, 3, 8, 7, 8, B
4, 6, 5, 4, 5, 7, 6, 6, 7, 6, 6, 6, 2, 9, 6, 10, B
3, 7, 5, 5, 7, 9, 8, 4, 3, 6, 7, 7, 5, 11, 7, 7, B
7, 13, 7, 7, 6, 10, 6, 4, 5, 9, 5, 8, 6, 8, 8, 9, B
5, 9, 7, 7, 7, 8, 7, 5, 5, 9, 6, 6, 3, 9, 6, 9, B
4, 11, 5, 8, 4, 6, 7, 9, 7, 7, 6, 7, 2, 8, 9, 10, B
5, 8, 7, 6, 6, 10, 6, 3, 6, 10, 4, 7, 4, 7, 5, 10, B
4, 9, 4, 7, 6, 6, 8, 8, 5, 7, 5, 7, 2, 8, 7, 10, B
2, 3, 4, 2, 2, 8, 7, 3, 5, 10, 5, 7, 2, 8, 4, 9, B
4, 8, 6, 6, 8, 8, 7, 5, 3, 7, 7, 7, 6, 10, 8, 9, B
5, 9, 8, 6, 5, 9, 8, 4, 7, 9, 4, 5, 3, 7, 7, 10, B
2, 3, 4, 2, 2, 8, 8, 3, 5, 10, 5, 6, 2, 8, 5, 9, B
2, 3, 4, 2, 2, 8, 7, 3, 5, 10, 5, 6, 2, 8, 4, 9, B
8, 12, 6, 6, 4, 9, 5, 4, 5, 10, 5, 9, 5, 7, 7, 10, B
4, 8, 6, 6, 4, 8, 8, 4, 7, 10, 5, 6, 2, 8, 6, 10, B
3, 7, 3, 5, 3, 6, 8, 8, 6, 7, 5, 7, 2, 8, 9, 10, B
5, 11, 8, 9, 9, 8, 6, 5, 6, 9, 5, 7, 3, 8, 6, 10, B
4, 10, 6, 7, 5, 11, 6, 3, 8, 10, 3, 7, 2, 8, 5, 12, B
3, 8, 5, 6, 5, 8, 8, 5, 4, 7, 5, 5, 3, 8, 6, 5, B
2, 3, 3, 1, 2, 7, 7, 4, 5, 7, 6, 6, 1, 8, 5, 9, B
4, 11, 5, 8, 4, 6, 6, 10, 7, 6, 6, 7, 2, 8, 9, 10, B
3, 3, 4, 4, 3, 6, 8, 8, 7, 7, 5, 7, 2, 8, 9, 10, B
4, 7, 6, 5, 5, 9, 7, 4, 5, 9, 5, 6, 2, 8, 5, 9, B
3, 4, 5, 3, 3, 8, 7, 3, 5, 10, 5, 7, 2, 8, 4, 10, B
1, 0, 1, 0, 1, 7, 7, 6, 4, 6, 6, 7, 1, 8, 5, 9, B
3, 2, 4, 3, 3, 8, 7, 5, 6, 7, 6, 6, 2, 8, 6, 9, B
4, 9, 4, 6, 3, 6, 7, 9, 7, 7, 6, 7, 2, 8, 9, 10, B
5, 8, 7, 6, 7, 8, 7, 6, 6, 9, 6, 6, 5, 10, 7, 9, B
5, 10, 7, 8, 7, 8, 6, 7, 7, 6, 7, 6, 2, 8, 8, 11, B
5, 9, 7, 6, 6, 7, 8, 6, 6, 9, 7, 5, 3, 7, 8, 7, B
5, 11, 6, 8, 8, 8, 7, 4, 6, 7, 6, 6, 6, 8, 6, 10, B
2, 3, 2, 2, 2, 7, 7, 5, 5, 6, 6, 5, 2, 8, 6, 8, B
3, 5, 5, 4, 3, 10, 6, 2, 6, 10, 4, 7, 2, 8, 4, 10, B
7, 13, 6, 8, 4, 9, 5, 5, 5, 11, 4, 9, 6, 7, 7, 11, B
6, 11, 8, 8, 8, 7, 8, 6, 4, 7, 5, 6, 5, 7, 7, 8, B
7, 11, 9, 8, 9, 9, 7, 4, 6, 9, 5, 6, 3, 8, 6, 9, B
2, 5, 4, 4, 3, 8, 8, 3, 5, 10, 6, 6, 3, 7, 5, 9, B
3, 7, 4, 5, 3, 7, 6, 9, 7, 6, 7, 7, 2, 9, 8, 9, B
3, 6, 4, 4, 4, 8, 7, 4, 5, 9, 5, 6, 2, 8, 5, 9, B
10, 15, 10, 8, 8, 9, 7, 4, 5, 9, 5, 7, 7, 5, 9, 8, B
5, 11, 8, 8, 11, 9, 7, 4, 4, 6, 7, 7, 8, 8, 8, 7, B
2, 3, 3, 2, 2, 8, 7, 2, 5, 11, 5, 7, 2, 8, 2, 9, B
2, 1, 3, 2, 2, 8, 7, 5, 6, 7, 6, 5, 2, 8, 6, 9, B
4, 5, 4, 8, 4, 6, 7, 9, 7, 7, 6, 7, 2, 8, 9, 10, B
4, 9, 6, 7, 7, 8, 7, 6, 6, 7, 6, 6, 2, 8, 6, 10, B
6, 10, 8, 8, 7, 7, 7, 6, 6, 9, 7, 6, 3, 8, 8, 9, B
4, 10, 5, 7, 5, 8, 7, 6, 7, 6, 6, 6, 2, 8, 7, 10, B
5, 9, 5, 7, 7, 6, 7, 8, 6, 6, 6, 7, 2, 8, 7, 10, B
2, 1, 3, 2, 2, 7, 8, 8, 5, 7, 6, 7, 2, 8, 8, 9, B
4, 9, 4, 4, 4, 8, 7, 3, 4, 9, 6, 8, 5, 7, 6, 8, B
5, 9, 6, 7, 5, 7, 9, 9, 8, 7, 5, 7, 2, 8, 9, 10, B
4, 6, 5, 4, 5, 8, 7, 4, 5, 7, 5, 7, 3, 8, 6, 8, B
4, 2, 5, 4, 4, 8, 7, 6, 6, 7, 6, 6, 2, 8, 7, 10, B
4, 6, 5, 4, 4, 9, 7, 3, 6, 9, 5, 6, 2, 8, 5, 8, B
5, 9, 5, 5, 5, 8, 8, 3, 5, 9, 5, 6, 6, 4, 6, 8, B
1, 0, 2, 0, 1, 7, 8, 6, 4, 7, 6, 7, 1, 8, 6, 8, B
3, 5, 5, 3, 3, 9, 7, 3, 6, 10, 5, 6, 2, 8, 5, 10, B
2, 5, 4, 4, 3, 8, 8, 3, 5, 10, 6, 6, 3, 7, 6, 9, B
4, 3, 4, 5, 3, 6, 9, 8, 7, 7, 5, 6, 2, 8, 9, 9, B
6, 10, 6, 8, 5, 6, 6, 9, 8, 6, 6, 7, 2, 8, 10, 10, B
1, 0, 2, 0, 1, 7, 7, 6, 4, 6, 6, 7, 1, 8, 6, 8, B
4, 8, 5, 6, 3, 5, 8, 8, 8, 8, 8, 14, 1, 9, 4, 9, C
6, 11, 8, 9, 6, 7, 8, 8, 6, 4, 7, 12, 5, 6, 4, 8, C
2, 3, 3, 2, 1, 4, 8, 4, 6, 10, 9, 12, 1, 9, 2, 8, C
4, 9, 5, 7, 3, 4, 8, 6, 8, 12, 10, 12, 1, 9, 3, 7, C
2, 5, 3, 4, 2, 6, 9, 7, 8, 9, 8, 13, 1, 10, 4, 10, C
3, 10, 4, 8, 3, 5, 7, 6, 8, 7, 5, 12, 1, 8, 4, 10, C
