@relation  magic
@attribute FLength real[4.2835,334.177]
@attribute FWidth real[0.0,256.382]
@attribute FSize real[1.9413,5.3233]
@attribute FConc real[0.0131,0.893]
@attribute FConc1 real[3.0E-4,0.6752]
@attribute FAsym real[-457.9161,575.2407]
@attribute FM3Long real[-331.78,238.321]
@attribute FM3Trans real[-205.8947,179.851]
@attribute FAlpha real[0.0,90.0]
@attribute FDist real[1.2826,495.561]
@attribute Class{g,h}
@inputs FLength,FWidth,FSize,FConc,FConc1,FAsym,FM3Long,FM3Trans,FAlpha,FDist
@outputs Class
@data
29.292, 14.5681, 2.6609, 0.4301, 0.2435, -17.3412, -24.0049, -2.4292, 3.226, 221.014, g
17.1349, 11.1551, 2.356, 0.5771, 0.3194, 2.1347, -7.3279, -5.7304, 8.1236, 186.055, g
48.8529, 15.8477, 2.7084, 0.3327, 0.1791, 52.0995, 14.9398, -14.0803, 4.4388, 183.253, g
22.3085, 8.75, 2.3979, 0.628, 0.33, 4.3099, -15.9859, 10.7728, 4.5212, 171.557, g
78.1114, 25.8038, 3.2918, 0.2763, 0.156, -19.7842, 49.6372, 16.7028, 8.8309, 316.558, g
21.9664, 15.3013, 2.5459, 0.5491, 0.3457, 20.5225, 21.2193, 3.4783, 7.388, 187.286, g
99.105, 43.0125, 4.0978, 0.0933, 0.0481, -49.5231, 78.408, 27.7475, 0.365, 290.201, g
41.2937, 12.6744, 2.6942, 0.3458, 0.181, -35.2253, -30.0301, 8.7423, 5.153, 174.052, g
37.304, 21.4064, 2.8058, 0.2361, 0.1196, 15.4173, 16.0075, 10.2623, 4.3, 145.666, g
39.617, 17.3085, 2.7423, 0.2932, 0.1529, 18.1858, 32.7001, -10.3823, 9.772, 135.875, g
28.272, 12.6826, 2.4886, 0.487, 0.3068, 22.2337, 24.5275, 9.5953, 22.252, 155.019, g
26.4006, 13.2825, 2.6508, 0.5296, 0.2849, 18.8617, 22.3633, 9.7745, 31.155, 125.266, g
33.3308, 10.1151, 2.472, 0.6307, 0.3828, -36.3157, -23.9989, 7.9524, 22.93, 306.145, g
31.6831, 9.8633, 2.3294, 0.4309, 0.2178, 35.4434, 25.2218, 9.4138, 65.85, 75.5297, g
22.3987, 12.4692, 2.6238, 0.4661, 0.2366, -31.0504, 10.9969, -10.2233, 11.655, 227.139, g
