@relation  magic
@attribute FLength numeric
@attribute FWidth numeric
@attribute FSize numeric
@attribute FConc numeric
@attribute FConc1 numeric
@attribute FAsym real[-457.9161,575.2407]
@attribute FM3Long real[-331.78,238.321]
@attribute FM3Trans real[-205.8947,179.851]
@attribute FAlpha numeric
@attribute FDist numeric
@attribute Class {g,h}


@data
20.0133, 15.5455, 2.5688, 0.4615, 0.2335, -22.7362, -18.3527, -7.6625, 3.443, 217.13, g
13.2142, 12.9045, 2.4133, 0.7413, 0.388, 0.0026, 0.3616, -5.2325, 9.197, 184.239, g
52.1461, 15.5664, 2.8666, 0.2828, 0.1638, 56.3544, 19.926, 10.0639, 3.901, 187.496, g
20.7757, 10.0606, 2.2201, 0.5964, 0.3524, 5.4293, -16.4601, 10.1672, 0.513, 172.443, g
71.8, 26.9932, 3.0418, 0.2552, 0.1367, -30.5358, 51.2983, -7.8641, 8.8913, 312.859, g
38.0252, 16.247, 2.5045, 0.3631, 0.1925, 25.0606, 23.2398, -7.8137, 10.748, 188.724, g
91.2235, 37.9047, 3.3754, 0.1706, 0.1064, -47.2725, 72.3117, 37.2558, 3.586, 294.102, g
42.9665, 19.5815, 2.5769, 0.3444, 0.2397, -32.0133, -32.2305, 9.8792, 10.1005, 174.968, g
27.0994, 10.6958, 2.4969, 0.4841, 0.2723, 8.453, 15.2155, 7.4016, 1.5977, 145.424, g
32.5748, 15.0008, 2.7563, 0.3348, 0.1814, 16.1207, 24.9912, -5.1209, 11.958, 137.527, g
30.2098, 15.3863, 2.3692, 0.3932, 0.2158, 20.7711, 27.7257, 9.4231, 32.907, 160.716, g
24.8621, 17.4983, 2.6469, 0.3811, 0.1995, 22.3126, 25.0444, 6.9124, 30.876, 127.088, g
30.0467, 10.9231, 2.5004, 0.6161, 0.4502, -31.1992, -15.3189, 7.6776, 5.4907, 299.255, g
30.7181, 12.8074, 2.4479, 0.3565, 0.1872, 40.5432, 18.625, 8.8148, 32.599, 66.5004, g
20.5128, 15.7439, 2.4314, 0.4704, 0.2389, -29.0561, 11.2712, -3.7516, 21.6049, 237.156, g
20.683, 7.2158, 2.0233, 0.7014, 0.3649, -1.1217, 7.933, -5.933, 56.923, 137.98, g
53.238, 20.45, 3.0406, 0.2723, 0.1389, 54.0039, 43.6942, 12.9959, 5.6926, 235.78, g
47.3271, 23.1339, 2.9248, 0.22, 0.1266, 59.9661, -8.1362, 10.4029, 2.982, 210.249, g
26.9276, 11.8845, 2.2636, 0.485, 0.248, 9.3925, 11.4899, -10.1253, 40.449, 80.5489, g
20.2727, 17.4175, 2.2978, 0.5189, 0.2796, -13.2956, 9.4409, -9.9013, 53.508, 203.631, g
50.3466, 12.072, 2.8899, 0.3814, 0.2313, -74.4798, 31.4862, -5.7697, 3.915, 266.534, g
31.6176, 17.0671, 2.7767, 0.3629, 0.1931, 25.9072, 11.435, -7.234, 2.98, 146.036, g
26.8162, 11.3829, 2.4983, 0.4825, 0.2714, 5.2307, 17.1539, 7.9106, 5.414, 84.3117, g
27.2526, 12.0575, 2.5289, 0.503, 0.3417, 11.7728, 19.6799, 8.7618, 24.439, 90.4348, g
26.1326, 18.5898, 2.5211, 0.3524, 0.1883, 20.9308, -17.7381, -6.7491, 32.28, 167.964, g
30.5845, 8.2482, 2.4057, 0.5187, 0.2652, 10.4659, 20.0241, -9.7223, 21.175, 163.808, g
21.2515, 12.6117, 2.4433, 0.5586, 0.3081, 24.3302, 15.152, 8.9115, 51.1727, 204.287, g
67.4091, 28.3873, 3.3531, 0.1925, 0.1005, -34.7103, 59.8156, 19.0554, 1.25, 306.06, g
18.201, 10.4319, 2.2304, 0.6118, 0.3147, 22.7985, 10.0788, 5.6341, 13.241, 209.209, g
33.2811, 19.5014, 2.9405, 0.2982, 0.1898, 31.2557, 23.35, -9.5882, 48.571, 132.193, g
33.1404, 16.3341, 2.7312, 0.3733, 0.2071, 38.4614, 26.0079, -10.1173, 22.533, 170.77, g
70.3815, 23.4882, 3.3391, 0.1425, 0.0726, 87.5186, 54.971, 9.9238, 5.247, 238.101, g
89.8985, 22.9147, 3.1324, 0.3597, 0.2127, 16.7531, -46.1802, -14.3551, 6.8413, 346.746, g
35.0826, 11.6809, 2.7016, 0.4115, 0.2495, 20.2943, 27.6659, 5.0863, 4.466, 260.512, g
21.5926, 12.1154, 2.4338, 0.5193, 0.2744, -28.9153, 9.924, 7.1984, 3.6518, 108.756, g
26.9212, 23.6803, 2.846, 0.2865, 0.1504, 36.2038, 20.6749, 10.8888, 26.9893, 144.937, g
13.0542, 10.9495, 2.1189, 0.7605, 0.4449, -14.1919, 5.4015, -10.6661, 33.5722, 97.4161, g
19.0832, 16.6809, 2.2999, 0.5163, 0.2882, 16.2506, 16.7689, 14.2638, 20.1371, 151.706, g
63.6221, 25.8677, 3.3082, 0.211, 0.1094, 31.5371, 50.6832, -11.8233, 5.5598, 269.896, g
64.5569, 12.6296, 2.658, 0.3956, 0.2099, 41.4269, 66.4731, 1.7769, 1.1676, 191.294, g
27.3626, 15.8354, 2.905, 0.4144, 0.2259, -12.9592, 4.2514, 11.4487, 9.808, 168.391, g
78.8829, 27.055, 3.4497, 0.1811, 0.0932, 53.4896, 66.8412, -14.5304, 3.939, 291.219, g
22.0089, 6.6671, 2.1599, 0.7266, 0.4118, -23.5534, -12.2394, -6.6602, 60.2891, 114.668, g
83.6276, 29.8467, 3.7147, 0.1416, 0.0753, -82.4063, 61.4144, 15.4813, 0.439, 258.645, g
33.4462, 20.624, 2.7555, 0.2581, 0.1308, 11.7123, -19.2229, 4.5362, 8.614, 255.488, g
80.2907, 26.6736, 3.5756, 0.1791, 0.1024, 53.0573, 81.0599, 13.8783, 4.036, 212.309, g
45.3587, 23.5549, 2.9643, 0.2562, 0.1341, 33.3632, 42.5896, -17.3978, 22.3299, 244.676, g
49.4834, 16.9858, 2.995, 0.2418, 0.1229, 45.0047, -29.7567, -4.8865, 0.9353, 212.0, g
31.7355, 15.0095, 2.616, 0.3995, 0.2458, -10.8927, 17.559, 12.4594, 3.6204, 176.033, g
23.0777, 14.9545, 2.4306, 0.59, 0.3432, -16.0997, 11.6551, 15.0027, 17.559, 248.763, g
17.776, 7.3984, 2.3149, 0.8087, 0.5254, -2.8991, 5.0062, -4.2669, 66.1517, 160.953, g
77.3579, 17.2747, 2.8672, 0.3435, 0.1799, -86.4656, 51.3282, -12.7658, 6.171, 333.319, g
96.3203, 18.1063, 3.0596, 0.2389, 0.1364, -41.6331, -97.759, 10.7497, 84.7342, 29.2971, g
102.704, 28.4177, 3.2973, 0.2249, 0.1162, -115.627, 74.9095, 23.9032, 1.4659, 318.44, g
38.5646, 19.5065, 2.6355, 0.2569, 0.1377, 63.6538, 12.5302, -6.9413, 8.2142, 199.937, g
64.0183, 26.8934, 3.2139, 0.19, 0.1072, 4.0659, 47.5424, 16.6488, 2.9665, 171.319, g
33.368, 17.4968, 2.7328, 0.2831, 0.1434, -33.0433, -28.6138, 7.831, 6.1441, 177.243, g
40.4156, 17.715, 2.7835, 0.2634, 0.1342, 25.6924, -16.5241, 8.8004, 0.8645, 235.717, g
43.6408, 30.945, 3.2459, 0.1822, 0.0911, -10.3238, -31.642, -3.7498, 69.045, 138.003, g
19.1106, 16.0598, 2.6609, 0.5087, 0.2587, 18.4076, 15.3466, 9.5807, 19.125, 185.174, g
47.8975, 17.0376, 2.7828, 0.3067, 0.1608, 57.744, -19.6382, 10.2557, 4.0989, 187.607, g
31.3405, 12.2545, 2.6721, 0.4021, 0.2521, 23.587, 18.6957, 7.7438, 4.2591, 172.568, g
30.3691, 9.7181, 2.5416, 0.4741, 0.2371, -0.7359, 21.0918, -4.1161, 6.5706, 128.943, g
71.9537, 29.1003, 3.3115, 0.265, 0.1388, -7.0561, 57.3965, -25.5727, 5.185, 318.982, g
29.0658, 12.5468, 2.5422, 0.4849, 0.3458, 16.9941, 24.7784, -11.5755, 8.953, 154.319, g
34.8464, 17.0481, 2.5237, 0.4701, 0.262, 21.9106, 26.797, 14.1093, 24.113, 185.467, g
80.2192, 25.8956, 3.4586, 0.24, 0.147, -46.6524, 68.0245, 18.4844, 0.146, 315.008, g
28.8411, 22.1879, 3.041, 0.2994, 0.1706, -1.76, 16.486, 12.5005, 15.814, 147.604, g
22.7309, 9.7914, 2.3502, 0.5938, 0.3415, 23.2255, 18.6712, 11.1305, 23.725, 182.808, g
28.1928, 16.9707, 2.7376, 0.3202, 0.1711, 5.2327, -19.0277, -12.4645, 10.515, 241.152, g
25.0814, 17.2814, 2.8176, 0.4521, 0.2686, 0.6169, 9.6426, -4.942, 16.3615, 130.519, g
52.0388, 18.2574, 3.062, 0.254, 0.1348, 14.3893, 50.9938, -8.9008, 13.2931, 118.554, g
27.6835, 19.5474, 2.6542, 0.2971, 0.1608, 15.5486, -9.2544, -11.9985, 17.02, 104.301, g
33.5855, 17.5786, 2.899, 0.2562, 0.1281, 1.7194, -15.6455, 11.0716, 0.441, 235.85, g
65.045, 35.0272, 3.6171, 0.1519, 0.0805, 1.6442, 64.1156, 23.5996, 18.4316, 212.489, g
19.9609, 10.8728, 2.2878, 0.6186, 0.3325, -7.15, 17.3875, -7.5802, 9.768, 190.531, g
15.8344, 11.8559, 2.3075, 0.6256, 0.3276, -1.4905, 4.782, -4.4923, 46.6386, 226.351, g
85.4467, 26.031, 3.1723, 0.1796, 0.1032, -36.6928, -76.9321, -11.8496, 1.241, 208.859, g
26.4593, 18.108, 2.6937, 0.33, 0.167, -24.6802, -18.5717, -11.002, 2.407, 171.907, g
15.3363, 11.9173, 2.433, 0.6458, 0.3819, 2.5184, -2.8457, -7.3405, 69.2522, 251.288, g
19.1668, 12.8584, 2.3901, 0.5662, 0.3646, 11.856, 14.0295, -8.336, 8.459, 147.072, g
13.0451, 10.91, 2.1319, 0.7601, 0.4539, 14.0221, -5.3863, 10.2706, 81.2793, 136.507, g
46.0957, 20.4503, 3.1313, 0.2365, 0.126, -3.517, -32.3875, 14.2109, 9.399, 206.323, g
12.9574, 11.0568, 2.2162, 0.7416, 0.4529, 14.1686, -7.0158, -8.2891, 43.9589, 148.238, g
16.9836, 10.7925, 2.2553, 0.6278, 0.4028, 0.7126, -4.2068, 7.8356, 33.7063, 126.62, g
26.9416, 9.7191, 2.2467, 0.4646, 0.2408, -11.4888, 15.2022, 4.2848, 10.626, 91.5343, g
27.1848, 14.0718, 2.4893, 0.4052, 0.2188, -17.8425, 14.9077, 7.5929, 47.377, 183.708, g
117.783, 21.0132, 2.6781, 0.3274, 0.1668, -195.988, 108.425, -12.4734, 4.6097, 292.307, g
35.4974, 13.6935, 2.7675, 0.4048, 0.2143, 34.6276, 26.5913, -7.2684, 17.915, 229.756, g
35.5217, 16.5461, 2.6613, 0.3664, 0.2236, 16.6081, -16.7064, 7.5723, 11.586, 213.452, g
33.5874, 17.46, 2.5821, 0.3979, 0.2134, -49.0296, -7.6514, 5.127, 25.657, 166.95, g
20.9356, 6.9256, 2.1945, 0.7476, 0.4249, 21.7343, 13.7395, 6.0542, 24.9416, 201.145, g
53.4872, 22.0174, 2.9317, 0.2153, 0.1106, 58.172, 51.079, -15.7064, 16.4569, 168.167, g
34.1115, 15.4917, 2.382, 0.4191, 0.2261, 40.1648, 28.083, 15.7419, 9.2366, 145.657, g
28.1635, 15.807, 2.42, 0.4259, 0.249, -17.9803, -13.7842, -8.3405, 17.1252, 248.03, g
21.1285, 10.8588, 2.1461, 0.5786, 0.2893, 6.0936, -17.8457, -7.355, 52.67, 205.329, g
20.9383, 12.8664, 2.3294, 0.4918, 0.2834, 16.3342, 11.7025, 2.9347, 52.554, 289.005, g
29.669, 19.4103, 2.5521, 0.4011, 0.223, -22.4237, -21.0367, -13.4138, 12.24, 232.553, g
23.133, 8.7943, 2.2856, 0.6425, 0.3446, 28.3743, -8.3202, -9.7853, 12.164, 158.306, g
25.7294, 18.3896, 2.7501, 0.4587, 0.3102, 22.7825, 23.4762, 8.6497, 7.882, 126.857, g
16.8779, 11.3454, 2.2068, 0.5776, 0.3261, -0.532, 4.3752, -5.6694, 12.7782, 132.603, g
19.1154, 11.6816, 2.3962, 0.6345, 0.3675, 11.4349, 18.9858, 2.3154, 31.686, 124.917, g
27.0017, 18.6292, 2.7105, 0.3603, 0.1899, -4.236, 13.4257, -15.8383, 80.473, 65.16, g
101.123, 31.8764, 3.6532, 0.0982, 0.0508, -141.096, 83.8861, 19.517, 3.415, 245.022, g
20.2951, 7.2298, 2.1156, 0.7433, 0.3793, -3.1951, 10.8325, 5.5408, 33.3381, 188.921, g
42.5309, 24.629, 3.0116, 0.2278, 0.1222, 11.5399, 37.5428, 15.7883, 27.4131, 250.684, g
16.9577, 11.2403, 2.3096, 0.5784, 0.326, 2.114, -7.0445, -5.9002, 49.1001, 41.8865, g
36.2636, 17.6444, 2.7235, 0.344, 0.1843, 13.5703, -19.4499, 15.0681, 8.7759, 170.281, g
73.5065, 33.3536, 3.2636, 0.3221, 0.2466, -1.6256, 61.0495, 31.2638, 12.7952, 360.797, g
67.8372, 24.1273, 2.9664, 0.2442, 0.1226, 21.4801, 76.6759, 17.3767, 5.0087, 204.394, g
138.252, 24.8473, 2.7226, 0.2936, 0.1487, -81.6875, -169.189, -14.7528, 45.867, 188.461, g
63.3708, 17.3288, 2.78, 0.3685, 0.1934, 54.319, 66.7165, -12.1851, 7.406, 281.545, g
92.9059, 38.1139, 3.9986, 0.132, 0.0684, -21.3504, 65.0133, -21.5186, 0.21, 319.265, g
29.054, 25.8172, 3.0193, 0.2611, 0.143, 7.3167, 23.9303, 18.8811, 31.0087, 99.172, g
43.4795, 17.4512, 2.6758, 0.2827, 0.1466, 57.1446, -29.7525, 15.0303, 2.912, 244.237, g
20.3858, 10.6093, 2.3483, 0.6278, 0.3341, -5.7295, 16.844, -5.1049, 27.036, 100.209, g
13.0087, 10.6477, 2.2589, 0.7603, 0.4931, -13.1488, 2.7445, -7.7198, 18.8501, 66.5816, g
19.9257, 14.538, 2.3664, 0.5204, 0.2602, 7.5638, -17.9796, 4.6488, 49.8459, 33.8975, g
66.4813, 23.6457, 3.1509, 0.2713, 0.1756, -71.7939, -28.1662, 16.9882, 2.0401, 258.257, g
48.8751, 19.4472, 3.0643, 0.2458, 0.1376, 35.7772, 43.6727, -9.921, 15.5752, 175.166, g
37.7137, 20.7618, 2.902, 0.3195, 0.2074, 15.2691, 37.6813, -14.553, 25.831, 143.532, g
56.5201, 12.8995, 2.3766, 0.4244, 0.2248, 55.0485, 41.577, -6.8586, 7.327, 159.928, g
38.0373, 11.0431, 2.5347, 0.3942, 0.2058, 18.973, 29.8108, -7.0664, 3.244, 169.007, g
21.0689, 13.6215, 2.6042, 0.5149, 0.2724, 22.6513, 12.6911, 8.8932, 5.3844, 180.055, g
28.3287, 10.0515, 2.404, 0.5838, 0.357, 12.0269, 17.9473, -5.6699, 18.23, 224.705, g
27.651, 20.0275, 2.8222, 0.2696, 0.1348, 13.9912, 12.4708, -9.64, 23.851, 71.6871, g
20.3129, 9.3418, 2.2625, 0.612, 0.3197, -25.271, -7.367, -1.8277, 5.5511, 157.327, g
35.9312, 22.143, 2.8136, 0.2704, 0.1406, -6.3018, 29.1571, -17.475, 15.5754, 144.56, g
43.8485, 15.3149, 2.6613, 0.362, 0.2454, 19.1025, 32.0309, 9.3811, 9.1753, 109.133, g
19.1601, 16.0307, 2.5289, 0.4793, 0.2855, 0.3788, -12.8277, 5.7442, 6.2697, 216.192, g
19.6803, 10.2929, 2.3385, 0.6376, 0.3647, 7.7187, -16.8126, 10.5979, 67.183, 238.819, g
