@relation  monk-2
@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute Class {0,1}


@data
1, 3, 2, 2, 2, 1, 0
1, 1, 2, 2, 4, 1, 0
1, 3, 1, 2, 1, 1, 0
2, 3, 1, 1, 4, 2, 0
1, 1, 1, 2, 4, 2, 0
3, 3, 2, 1, 2, 2, 0
2, 2, 2, 2, 4, 2, 0
1, 1, 2, 3, 4, 2, 0
2, 3, 1, 1, 1, 2, 0
2, 1, 1, 1, 4, 1, 0
2, 3, 2, 1, 4, 1, 0
1, 3, 1, 3, 2, 2, 0
3, 3, 1, 2, 3, 2, 0
3, 1, 2, 2, 4, 1, 0
2, 3, 2, 1, 1, 1, 0
3, 3, 1, 3, 2, 2, 0
1, 3, 2, 3, 4, 2, 0
1, 2, 2, 3, 4, 1, 0
1, 3, 2, 3, 2, 1, 0
2, 2, 1, 1, 4, 2, 0
3, 3, 2, 2, 3, 1, 0
2, 1, 1, 1, 3, 1, 1
2, 1, 2, 1, 2, 2, 1
1, 1, 1, 2, 1, 2, 1
1, 1, 1, 3, 3, 1, 1
1, 2, 2, 1, 3, 1, 1
2, 1, 2, 2, 1, 1, 1
1, 3, 1, 1, 3, 2, 1
2, 1, 2, 3, 3, 2, 1
1, 1, 1, 1, 3, 2, 1
1, 1, 2, 1, 2, 2, 1
2, 1, 1, 1, 2, 1, 1
2, 3, 1, 1, 3, 2, 1
1, 1, 1, 3, 1, 1, 1
2, 1, 2, 3, 2, 1, 1
2, 1, 1, 2, 3, 1, 1
1, 1, 1, 3, 1, 2, 1
2, 2, 2, 3, 1, 1, 1
2, 2, 1, 2, 1, 2, 1
3, 2, 1, 3, 2, 1, 1
3, 2, 2, 2, 2, 1, 1
2, 1, 1, 2, 1, 2, 1
3, 2, 2, 1, 1, 1, 1
1, 1, 2, 3, 2, 2, 1
