@relation  movement_libras
@attribute 1st_coordinate_abcissa numeric
@attribute 1st_coordinate_ordinate numeric
@attribute 2st_coordinate_abcissa numeric
@attribute 2st_coordinate_ordinate numeric
@attribute 3st_coordinate_abcissa numeric
@attribute 3st_coordinate_ordinate numeric
@attribute 4st_coordinate_abcissa numeric
@attribute 4st_coordinate_ordinate numeric
@attribute 5st_coordinate_abcissa numeric
@attribute 5st_coordinate_ordinate numeric
@attribute 6st_coordinate_abcissa numeric
@attribute 6st_coordinate_ordinate numeric
@attribute 7st_coordinate_abcissa numeric
@attribute 7st_coordinate_ordinate numeric
@attribute 8st_coordinate_abcissa numeric
@attribute 8st_coordinate_ordinate numeric
@attribute 9st_coordinate_abcissa numeric
@attribute 9st_coordinate_ordinate numeric
@attribute 10st_coordinate_abcissa numeric
@attribute 10st_coordinate_ordinate numeric
@attribute 11st_coordinate_abcissa numeric
@attribute 11st_coordinate_ordinate numeric
@attribute 12st_coordinate_abcissa numeric
@attribute 12st_coordinate_ordinate numeric
@attribute 13st_coordinate_abcissa numeric
@attribute 13st_coordinate_ordinate numeric
@attribute 14st_coordinate_abcissa numeric
@attribute 14st_coordinate_ordinate numeric
@attribute 15st_coordinate_abcissa numeric
@attribute 15st_coordinate_ordinate numeric
@attribute 16st_coordinate_abcissa numeric
@attribute 16st_coordinate_ordinate numeric
@attribute 17st_coordinate_abcissa numeric
@attribute 17st_coordinate_ordinate numeric
@attribute 18st_coordinate_abcissa numeric
@attribute 18st_coordinate_ordinate numeric
@attribute 19st_coordinate_abcissa numeric
@attribute 19st_coordinate_ordinate numeric
@attribute 20st_coordinate_abcissa numeric
@attribute 20st_coordinate_ordinate numeric
@attribute 21st_coordinate_abcissa numeric
@attribute 21st_coordinate_ordinate numeric
@attribute 22st_coordinate_abcissa numeric
@attribute 22st_coordinate_ordinate numeric
@attribute 23st_coordinate_abcissa numeric
@attribute 23st_coordinate_ordinate numeric
@attribute 24st_coordinate_abcissa numeric
@attribute 24st_coordinate_ordinate numeric
@attribute 25st_coordinate_abcissa numeric
@attribute 25st_coordinate_ordinate numeric
@attribute 26st_coordinate_abcissa numeric
@attribute 26st_coordinate_ordinate numeric
@attribute 27st_coordinate_abcissa numeric
@attribute 27st_coordinate_ordinate numeric
@attribute 28st_coordinate_abcissa numeric
@attribute 28st_coordinate_ordinate numeric
@attribute 29st_coordinate_abcissa numeric
@attribute 29st_coordinate_ordinate numeric
@attribute 30st_coordinate_abcissa numeric
@attribute 30st_coordinate_ordinate numeric
@attribute 31st_coordinate_abcissa numeric
@attribute 31st_coordinate_ordinate numeric
@attribute 32st_coordinate_abcissa numeric
@attribute 32st_coordinate_ordinate numeric
@attribute 33st_coordinate_abcissa numeric
@attribute 33st_coordinate_ordinate numeric
@attribute 34st_coordinate_abcissa numeric
@attribute 34st_coordinate_ordinate numeric
@attribute 35st_coordinate_abcissa numeric
@attribute 35st_coordinate_ordinate numeric
@attribute 36st_coordinate_abcissa numeric
@attribute 36st_coordinate_ordinate numeric
@attribute 37st_coordinate_abcissa numeric
@attribute 37st_coordinate_ordinate numeric
@attribute 38st_coordinate_abcissa numeric
@attribute 38st_coordinate_ordinate numeric
@attribute 39st_coordinate_abcissa numeric
@attribute 39st_coordinate_ordinate numeric
@attribute 40st_coordinate_abcissa numeric
@attribute 40st_coordinate_ordinate numeric
@attribute 41st_coordinate_abcissa numeric
@attribute 41st_coordinate_ordinate numeric
@attribute 42st_coordinate_abcissa numeric
@attribute 42st_coordinate_ordinate numeric
@attribute 43st_coordinate_abcissa numeric
@attribute 43st_coordinate_ordinate numeric
@attribute 44st_coordinate_abcissa numeric
@attribute 44st_coordinate_ordinate numeric
@attribute 45st_coordinate_abcissa numeric
@attribute 45st_coordinate_ordinate numeric
@attribute Class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}


@data
0.4971, 0.67361, 0.4971, 0.6713, 0.4971, 0.67361, 0.49323, 0.66898, 0.47582, 0.65509, 0.44487, 0.64583, 0.40232, 0.63657, 0.34236, 0.63426, 0.27853, 0.64352, 0.22244, 0.62269, 0.18569, 0.63426, 0.12379, 0.7037, 0.12959, 0.69676, 0.15667, 0.64815, 0.17795, 0.61111, 0.2147, 0.58796, 0.27273, 0.53935, 0.34429, 0.4838, 0.41973, 0.44213, 0.48743, 0.42361, 0.55513, 0.4213, 0.62476, 0.46065, 0.66925, 0.53935, 0.67892, 0.56019, 0.67311, 0.54398, 0.65184, 0.50231, 0.60735, 0.46528, 0.54739, 0.45139, 0.47969, 0.45602, 0.41973, 0.47917, 0.36557, 0.5162, 0.32495, 0.56481, 0.2882, 0.61806, 0.24371, 0.65972, 0.22244, 0.6713, 0.23404, 0.66435, 0.25725, 0.6412, 0.29207, 0.59722, 0.33075, 0.53241, 0.37718, 0.4838, 0.43133, 0.44676, 0.4971, 0.42361, 0.56093, 0.42361, 0.61509, 0.46528, 0.65377, 0.55556, 1
0.24565, 0.31713, 0.24371, 0.31481, 0.24178, 0.31713, 0.25532, 0.30093, 0.2882, 0.28241, 0.34043, 0.26389, 0.40812, 0.26389, 0.47389, 0.28704, 0.53772, 0.32407, 0.59768, 0.38426, 0.64603, 0.46065, 0.68279, 0.54861, 0.70019, 0.62269, 0.70019, 0.67361, 0.69632, 0.69213, 0.69052, 0.6875, 0.67892, 0.65741, 0.6499, 0.58565, 0.60928, 0.48843, 0.55126, 0.3912, 0.47389, 0.31713, 0.3675, 0.28241, 0.25725, 0.28241, 0.18182, 0.30556, 0.15087, 0.3125, 0.1412, 0.31713, 0.13733, 0.32176, 0.1412, 0.3125, 0.15667, 0.29861, 0.19342, 0.28704, 0.25145, 0.26389, 0.34236, 0.25231, 0.43714, 0.25694, 0.52418, 0.29861, 0.59574, 0.3912, 0.66344, 0.49306, 0.71373, 0.57407, 0.72534, 0.59722, 0.71954, 0.60417, 0.7118, 0.62037, 0.69246, 0.57176, 0.64217, 0.47222, 0.57834, 0.37269, 0.49903, 0.30324, 0.40812, 0.27778, 1
0.71373, 0.40741, 0.706, 0.40972, 0.70986, 0.40972, 0.7176, 0.40972, 0.72147, 0.40972, 0.706, 0.40741, 0.6441, 0.39583, 0.56673, 0.38657, 0.49903, 0.37731, 0.44294, 0.37731, 0.39265, 0.37963, 0.35397, 0.38426, 0.32882, 0.39583, 0.32689, 0.40278, 0.34043, 0.40046, 0.37718, 0.39352, 0.43714, 0.37963, 0.50677, 0.37269, 0.57834, 0.36806, 0.6441, 0.36806, 0.70793, 0.37037, 0.76596, 0.37963, 0.81044, 0.38426, 0.83559, 0.3912, 0.82592, 0.3912, 0.7853, 0.38657, 0.7176, 0.37963, 0.63443, 0.37269, 0.54739, 0.37269, 0.47002, 0.375, 0.40619, 0.37963, 0.35783, 0.38426, 0.32495, 0.39583, 0.30561, 0.40509, 0.29981, 0.40972, 0.31528, 0.40509, 0.3501, 0.40278, 0.40232, 0.40046, 0.46422, 0.39583, 0.52805, 0.39352, 0.58801, 0.3912, 0.64797, 0.39352, 0.70406, 0.40046, 0.75048, 0.40741, 0.78723, 0.41435, 2
0.23598, 0.43519, 0.23791, 0.43287, 0.23791, 0.44213, 0.25338, 0.4537, 0.30174, 0.47222, 0.38491, 0.47685, 0.47195, 0.47917, 0.55319, 0.48148, 0.62089, 0.4838, 0.66538, 0.49074, 0.69052, 0.48843, 0.70406, 0.4838, 0.70406, 0.48148, 0.69052, 0.48148, 0.65764, 0.47685, 0.61315, 0.47222, 0.55706, 0.46991, 0.48162, 0.47454, 0.39458, 0.47454, 0.30368, 0.47454, 0.23791, 0.46759, 0.20696, 0.46065, 0.19342, 0.45602, 0.17795, 0.45833, 0.16441, 0.46296, 0.17408, 0.46065, 0.20116, 0.45833, 0.24758, 0.47685, 0.31335, 0.48148, 0.38878, 0.47685, 0.46422, 0.47222, 0.53965, 0.47222, 0.60542, 0.47685, 0.66151, 0.4838, 0.70406, 0.48611, 0.73501, 0.48843, 0.75048, 0.48843, 0.75435, 0.48843, 0.74468, 0.48843, 0.7176, 0.48843, 0.66925, 0.4838, 0.60348, 0.48611, 0.52418, 0.48611, 0.44101, 0.4838, 0.3617, 0.4838, 2
0.51064, 0.71528, 0.51064, 0.71065, 0.51451, 0.69907, 0.51064, 0.68287, 0.5087, 0.63889, 0.5029, 0.58102, 0.50677, 0.50694, 0.51064, 0.43519, 0.50484, 0.36574, 0.50097, 0.30324, 0.49516, 0.25926, 0.48936, 0.22685, 0.49516, 0.19907, 0.49323, 0.18287, 0.48936, 0.18519, 0.48936, 0.20833, 0.4971, 0.23611, 0.50097, 0.27546, 0.51064, 0.33796, 0.51451, 0.41204, 0.51838, 0.47454, 0.51064, 0.53009, 0.51064, 0.59028, 0.51838, 0.63426, 0.52031, 0.67361, 0.52418, 0.70602, 0.52224, 0.72917, 0.51838, 0.74537, 0.51257, 0.75694, 0.50097, 0.74769, 0.4971, 0.72222, 0.48356, 0.68287, 0.46422, 0.62963, 0.44874, 0.5787, 0.44487, 0.52083, 0.44681, 0.45602, 0.44874, 0.38889, 0.45068, 0.3287, 0.45068, 0.28009, 0.44681, 0.24537, 0.44101, 0.22454, 0.44101, 0.21065, 0.4352, 0.21296, 0.43327, 0.21065, 0.43327, 0.22685, 3
0.78917, 0.65509, 0.78917, 0.65972, 0.78917, 0.65741, 0.78917, 0.65741, 0.7911, 0.65741, 0.7911, 0.65278, 0.7911, 0.65046, 0.7853, 0.63889, 0.77756, 0.60417, 0.77369, 0.54398, 0.77176, 0.47454, 0.77176, 0.40741, 0.77563, 0.35185, 0.77563, 0.30324, 0.77756, 0.26389, 0.7795, 0.22917, 0.78143, 0.21065, 0.78143, 0.2037, 0.7795, 0.21296, 0.77563, 0.23843, 0.76983, 0.28241, 0.76209, 0.33333, 0.76015, 0.39815, 0.75822, 0.46759, 0.75435, 0.53009, 0.75629, 0.58796, 0.76402, 0.62269, 0.76789, 0.65972, 0.76402, 0.69676, 0.75822, 0.71991, 0.75629, 0.72917, 0.75435, 0.73148, 0.75629, 0.7338, 0.76015, 0.71991, 0.76596, 0.69907, 0.76983, 0.65972, 0.76789, 0.62037, 0.76596, 0.5787, 0.77176, 0.5162, 0.7795, 0.44907, 0.7853, 0.39583, 0.7911, 0.34259, 0.79884, 0.29861, 0.80271, 0.2662, 0.80464, 0.23611, 3
0.52611, 0.40972, 0.52611, 0.40972, 0.52611, 0.40741, 0.52418, 0.40972, 0.52418, 0.40972, 0.52224, 0.40972, 0.52031, 0.40741, 0.51644, 0.40741, 0.50677, 0.40278, 0.49516, 0.39815, 0.48162, 0.3912, 0.46422, 0.38657, 0.44487, 0.38194, 0.42166, 0.37731, 0.39652, 0.375, 0.3675, 0.38426, 0.33849, 0.3912, 0.31335, 0.40278, 0.28627, 0.41898, 0.26112, 0.4375, 0.24178, 0.4537, 0.22631, 0.45833, 0.21277, 0.47222, 0.20116, 0.49074, 0.19536, 0.51157, 0.19342, 0.53009, 0.19536, 0.5625, 0.20116, 0.58796, 0.21277, 0.6088, 0.22437, 0.63426, 0.24565, 0.65741, 0.26692, 0.67824, 0.29594, 0.69676, 0.32495, 0.71528, 0.35977, 0.72917, 0.39265, 0.73611, 0.41973, 0.74306, 0.44874, 0.74306, 0.47389, 0.73843, 0.5029, 0.73148, 0.52418, 0.72222, 0.54352, 0.71759, 0.55126, 0.71065, 0.55513, 0.70833, 0.55513, 0.70602, 4
0.73694, 0.30324, 0.73501, 0.30324, 0.73501, 0.30093, 0.73694, 0.30093, 0.73501, 0.30556, 0.73501, 0.30093, 0.73501, 0.30093, 0.73308, 0.30093, 0.73501, 0.30093, 0.73308, 0.30093, 0.72921, 0.29861, 0.72147, 0.29398, 0.70793, 0.28704, 0.69439, 0.27315, 0.67505, 0.2662, 0.65377, 0.25463, 0.6325, 0.24537, 0.60735, 0.24074, 0.58027, 0.23611, 0.55319, 0.23611, 0.52805, 0.23843, 0.5029, 0.24769, 0.47776, 0.25926, 0.45841, 0.27546, 0.44487, 0.29167, 0.43327, 0.3125, 0.42553, 0.33333, 0.41973, 0.35417, 0.41779, 0.37963, 0.41779, 0.40972, 0.41973, 0.43981, 0.42553, 0.46991, 0.43133, 0.49769, 0.43907, 0.52778, 0.45068, 0.55324, 0.46228, 0.57639, 0.47389, 0.59954, 0.48743, 0.62037, 0.4971, 0.6412, 0.50677, 0.65972, 0.52224, 0.67593, 0.53772, 0.6875, 0.55899, 0.69213, 0.5764, 0.69676, 0.60155, 0.69907, 4
0.60928, 0.20602, 0.60928, 0.2037, 0.61122, 0.20139, 0.61509, 0.19907, 0.61896, 0.19676, 0.62669, 0.19213, 0.63636, 0.18981, 0.65571, 0.18519, 0.67892, 0.18519, 0.70406, 0.18981, 0.73114, 0.19676, 0.75822, 0.21065, 0.78723, 0.22454, 0.81431, 0.24537, 0.83946, 0.27083, 0.86267, 0.30324, 0.87814, 0.33565, 0.88781, 0.375, 0.88781, 0.40741, 0.88588, 0.43981, 0.88008, 0.47222, 0.86847, 0.49074, 0.853, 0.50231, 0.83172, 0.52083, 0.81044, 0.5463, 0.78917, 0.57176, 0.76402, 0.59491, 0.74081, 0.61343, 0.71954, 0.62731, 0.69826, 0.63657, 0.67311, 0.64815, 0.65957, 0.65046, 0.63056, 0.65741, 0.60542, 0.65741, 0.58027, 0.65741, 0.55706, 0.65509, 0.53385, 0.64815, 0.51257, 0.63889, 0.4971, 0.62963, 0.48936, 0.62037, 0.48549, 0.61806, 0.48743, 0.61806, 0.48743, 0.62037, 0.48743, 0.62037, 0.48743, 0.62269, 5
0.40619, 0.40509, 0.40619, 0.40278, 0.40619, 0.40278, 0.40812, 0.40509, 0.41006, 0.40278, 0.41199, 0.40278, 0.41973, 0.40046, 0.4294, 0.39583, 0.44101, 0.39352, 0.45841, 0.3912, 0.47582, 0.3912, 0.49323, 0.39583, 0.51064, 0.40509, 0.52998, 0.41898, 0.54932, 0.4375, 0.56867, 0.45602, 0.58607, 0.47685, 0.59961, 0.50231, 0.61122, 0.52315, 0.61896, 0.55093, 0.62282, 0.5787, 0.62669, 0.60417, 0.63056, 0.62963, 0.6325, 0.65509, 0.6325, 0.67593, 0.62669, 0.69676, 0.62089, 0.71296, 0.61122, 0.72454, 0.59768, 0.72917, 0.5764, 0.73611, 0.55899, 0.74074, 0.54159, 0.74074, 0.52031, 0.74074, 0.49903, 0.74306, 0.47776, 0.74537, 0.45841, 0.74537, 0.43907, 0.74074, 0.41973, 0.73611, 0.39845, 0.73148, 0.37911, 0.72685, 0.35977, 0.71991, 0.34429, 0.71296, 0.33269, 0.70833, 0.32689, 0.7037, 0.32108, 0.69676, 5
