@relation  page-blocks
@attribute Height numeric
@attribute Lenght numeric
@attribute Area numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute P_and numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Blackand numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}


@data
8, 9, 72, 1.125, 0.458, 0.986, 2.2, 33, 71, 15, 1
10, 41, 410, 4.1, 0.463, 0.968, 2.79, 190, 397, 68, 1
9, 180, 1620, 20.0, 0.343, 0.738, 2.47, 555, 1196, 225, 1
5, 6, 30, 1.2, 0.367, 0.767, 3.67, 11, 23, 3, 1
13, 10, 130, 0.769, 0.3, 0.808, 6.5, 39, 105, 6, 1
11, 11, 121, 1.0, 0.455, 0.818, 5.5, 55, 99, 10, 1
8, 9, 72, 1.125, 0.361, 0.792, 1.53, 26, 57, 17, 1
9, 33, 297, 3.667, 0.36, 0.818, 2.02, 107, 243, 53, 1
9, 20, 180, 2.222, 0.261, 0.617, 1.68, 47, 111, 28, 1
12, 72, 864, 6.0, 0.281, 0.807, 2.15, 243, 697, 113, 1
10, 28, 280, 2.8, 0.293, 0.8, 2.0, 82, 224, 41, 1
7, 4, 28, 0.571, 0.286, 0.357, 8.0, 8, 10, 1, 1
5, 15, 75, 3.0, 0.36, 0.933, 1.35, 27, 70, 20, 1
11, 60, 660, 5.455, 0.271, 0.85, 1.97, 179, 561, 91, 1
9, 465, 4185, 51.667, 0.157, 0.644, 1.24, 658, 2694, 532, 1
8, 40, 320, 5.0, 0.35, 0.906, 1.81, 112, 290, 62, 1
9, 331, 2979, 36.778, 0.195, 0.78, 1.29, 582, 2323, 452, 1
12, 410, 4920, 34.167, 0.333, 0.661, 2.69, 1636, 3254, 608, 1
8, 17, 136, 2.125, 0.309, 0.676, 2.33, 42, 92, 18, 1
9, 80, 720, 8.889, 0.333, 0.878, 2.02, 240, 632, 119, 1
1, 47, 47, 47.0, 0.34, 1.0, 1.14, 16, 47, 14, 1
7, 192, 1344, 27.429, 0.136, 0.385, 1.36, 183, 518, 135, 1
7, 108, 756, 15.429, 0.362, 0.807, 2.11, 274, 610, 130, 1
9, 76, 684, 8.444, 0.358, 0.795, 2.19, 245, 544, 112, 1
11, 20, 220, 1.818, 0.564, 0.909, 8.27, 124, 200, 15, 1
7, 26, 182, 3.714, 0.396, 1.0, 2.0, 72, 182, 36, 1
9, 49, 441, 5.444, 0.58, 0.995, 2.98, 256, 439, 86, 1
10, 4, 40, 0.4, 0.375, 0.4, 15.0, 15, 16, 1, 1
12, 69, 828, 5.75, 0.407, 0.833, 3.15, 337, 690, 107, 1
7, 40, 280, 5.714, 0.229, 0.682, 1.25, 64, 191, 51, 1
10, 98, 980, 9.8, 0.463, 0.945, 2.72, 454, 926, 167, 1
8, 8, 64, 1.0, 0.359, 0.766, 1.64, 23, 49, 14, 1
7, 11, 77, 1.571, 0.351, 0.87, 1.8, 27, 67, 15, 1
