@relation  page-blocks
@attribute Height integer[1,804]
@attribute Lenght integer[1,553]
@attribute Area integer[7,143993]
@attribute Eccen real[0.0070,537.0]
@attribute P_black real[0.052,1.0]
@attribute P_and real[0.062,1.0]
@attribute Mean_tr real[1.0,4955.0]
@attribute Blackpix integer[1,33017]
@attribute Blackand integer[7,46133]
@attribute Wb_trans integer[1,3212]
@attribute Class{1,2,3,4,5}
@inputs Height,Lenght,Area,Eccen,P_black,P_and,Mean_tr,Blackpix,Blackand,Wb_trans
@outputs Class
@data
8, 9, 72, 1.125, 0.431, 1.0, 2.38, 31, 72, 13, 1
8, 52, 416, 6.5, 0.38, 0.88, 1.88, 158, 366, 84, 1
9, 179, 1611, 19.889, 0.341, 0.745, 2.4, 550, 1200, 229, 1
5, 6, 30, 1.2, 0.4, 0.867, 2.0, 12, 26, 6, 1
7, 18, 126, 2.571, 0.27, 0.825, 1.31, 34, 104, 26, 1
12, 10, 120, 0.833, 0.442, 0.792, 5.3, 53, 95, 10, 1
8, 9, 72, 1.125, 0.361, 0.792, 2.17, 26, 57, 12, 1
10, 30, 300, 3.0, 0.367, 0.783, 2.29, 110, 235, 48, 1
6, 31, 186, 5.167, 0.199, 0.565, 1.85, 37, 105, 20, 1
9, 96, 864, 10.667, 0.281, 0.815, 1.96, 243, 704, 124, 1
7, 39, 273, 5.571, 0.253, 0.853, 1.33, 69, 233, 52, 1
8, 4, 32, 0.5, 0.25, 0.344, 8.0, 8, 11, 1, 1
4, 19, 76, 4.75, 0.421, 0.921, 1.78, 32, 70, 18, 1
10, 67, 670, 6.7, 0.321, 0.81, 2.29, 215, 543, 94, 1
8, 535, 4280, 66.875, 0.164, 0.6, 1.35, 704, 2566, 520, 1
8, 40, 320, 5.0, 0.372, 0.919, 1.75, 119, 294, 68, 1
13, 227, 2951, 17.462, 0.226, 0.837, 3.11, 668, 2470, 215, 1
14, 359, 5026, 25.643, 0.368, 0.615, 4.56, 1848, 3093, 405, 1
7, 19, 133, 2.714, 0.286, 0.669, 1.36, 38, 89, 28, 1
9, 80, 720, 8.889, 0.304, 0.838, 1.8, 219, 603, 122, 1
6, 8, 48, 1.333, 0.417, 1.0, 2.86, 20, 48, 7, 1
11, 112, 1232, 10.182, 0.217, 0.469, 1.73, 267, 578, 154, 1
10, 75, 750, 7.5, 0.451, 0.86, 2.84, 338, 645, 119, 1
12, 58, 696, 4.833, 0.343, 0.803, 3.85, 239, 559, 62, 1
11, 20, 220, 1.818, 0.577, 0.882, 8.47, 127, 194, 15, 1
8, 23, 184, 2.875, 0.38, 0.989, 1.75, 70, 182, 40, 1
9, 49, 441, 5.444, 0.592, 0.998, 2.97, 261, 440, 88, 1
8, 5, 40, 0.625, 0.35, 0.6, 3.5, 14, 24, 4, 1
10, 83, 830, 8.3, 0.266, 0.827, 2.1, 221, 686, 105, 1
7, 40, 280, 5.714, 0.232, 0.707, 1.38, 65, 198, 47, 1
10, 99, 990, 9.9, 0.443, 0.912, 2.64, 439, 903, 166, 1
8, 8, 64, 1.0, 0.438, 0.813, 4.67, 28, 52, 6, 1
7, 11, 77, 1.571, 0.338, 0.883, 1.63, 26, 68, 16, 1
9, 151, 1359, 16.778, 0.139, 0.549, 1.17, 189, 746, 162, 1
