@relation  phoneme
@attribute Aa real[-1.7,4.107]
@attribute Ao real[-1.327,4.378]
@attribute Dcl real[-1.823,3.199]
@attribute Iy real[-1.581,2.826]
@attribute Sh real[-1.284,2.719]
@attribute Class{0,1}
@inputs Aa,Ao,Dcl,Iy,Sh
@outputs Class
@data
0.765, 2.815, -0.525, 0.811, -0.284, 0
0.098, 0.526, 1.126, 0.0, 0.0, 0
0.122, 0.573, 1.393, 2.191, 0.0, 0
0.352, 2.01, 0.611, 0.314, -0.135, 0
0.559, 2.887, -0.677, 0.487, 0.942, 0
0.265, 0.819, 2.521, -0.627, -0.34, 0
0.609, 1.765, 1.198, 0.905, 1.245, 0
1.487, 1.568, 1.605, -0.261, -0.131, 0
1.518, 1.187, 0.444, 0.248, -0.18, 0
0.595, 2.984, -0.599, -0.252, -0.174, 0
1.963, 1.677, -0.332, -0.109, 0.102, 0
0.096, 0.337, 0.513, 1.485, 0.0, 0
0.225, 1.555, 1.428, 0.732, -0.22, 0
0.614, 1.697, -0.442, -0.163, -0.105, 0
-1.046, -1.081, -0.35, -0.149, -0.126, 0
0.495, 2.202, -0.38, -0.156, -0.088, 0
1.236, 1.94, -0.356, -0.177, -0.107, 0
0.245, 0.569, 0.456, 0.971, 1.058, 0
0.131, 0.858, 1.839, -0.834, -0.411, 0
1.246, 1.017, 0.35, 0.208, 0.131, 0
0.333, 0.427, 0.952, 2.152, -0.796, 0
2.046, 0.532, 2.079, -0.445, -0.161, 0
2.374, 1.034, 0.256, 0.187, 0.2, 0
0.438, 3.131, -0.521, 0.324, 0.76, 0
0.327, 1.764, 0.575, 0.277, -0.096, 0
2.935, 1.03, 0.732, -0.147, -0.075, 0
0.647, 0.483, 0.776, 1.912, -0.599, 0
1.806, 1.66, -0.352, -0.111, 0.11, 0
0.314, 2.164, 1.565, 0.995, 1.038, 0
0.17, 0.463, 0.585, -0.848, 0.0, 0
0.289, 0.832, 1.765, 0.835, 0.489, 0
1.492, 0.795, -0.142, 0.108, 0.082, 0
3.259, 0.65, 0.176, 0.112, -0.066, 0
0.205, 1.266, 1.981, -0.874, 0.0, 0
0.791, 1.38, -0.238, -0.12, 0.0, 0
2.242, 1.108, -0.148, 0.11, -0.056, 0
0.401, 1.813, 1.245, 0.505, -0.234, 0
1.271, 1.743, -0.315, -0.404, 1.494, 0
0.77, 1.607, 0.427, 0.183, -0.079, 0
0.796, 1.331, -0.325, -0.101, -0.062, 0
0.146, 0.402, 0.495, -0.677, 1.775, 0
0.119, 0.298, 0.627, 1.522, 0.934, 0
1.183, 1.857, -0.264, -0.114, 0.095, 0
1.645, 0.996, 0.502, -0.137, -0.052, 0
1.108, 1.182, 0.35, -0.091, 0.077, 0
0.669, 2.047, 0.887, -0.248, -0.124, 0
0.38, 1.585, 0.644, -0.244, -0.128, 0
0.969, 2.226, -0.436, -0.178, -0.124, 0
3.079, 0.491, -0.124, -0.084, 0.071, 0
0.461, 1.913, 0.667, 0.247, -0.095, 0
0.557, 2.04, 0.945, -0.511, 1.753, 0
0.083, 0.282, 0.248, 0.402, 0.0, 0
0.89, 3.092, -0.538, 0.417, 0.337, 0
1.836, 0.751, 0.152, 0.134, -0.158, 0
0.066, 0.295, 0.345, -0.621, 0.0, 0
0.412, 3.66, -0.606, -0.343, -0.159, 0
3.246, -0.32, -0.14, 0.111, -0.06, 0
0.289, 1.436, 2.611, -0.659, -0.315, 0
0.489, 2.921, -0.47, 0.255, -0.161, 0
0.111, 0.558, 1.359, 2.035, -0.662, 0
1.406, 2.253, -0.535, -0.201, 0.1, 0
1.162, 0.738, 0.243, 0.208, -0.088, 0
3.13, 0.54, 0.201, -0.067, -0.038, 0
0.381, 0.55, 1.864, 1.204, -0.368, 0
1.91, 1.253, -0.21, -0.097, -0.062, 0
1.223, 2.363, -0.336, -0.153, 0.235, 0
1.932, 0.888, -0.324, 0.439, -0.329, 0
1.977, 1.376, -0.303, 0.236, -0.095, 0
0.155, 0.799, 1.515, 1.596, 0.0, 0
0.391, 1.762, 1.66, -0.448, 0.0, 0
0.189, 0.529, 2.646, -0.704, 0.382, 0
2.765, 1.015, 0.509, 0.546, 0.385, 0
0.555, 2.557, 1.385, 0.578, 0.0, 0
1.29, 2.79, -0.443, -0.266, -0.17, 0
2.746, 0.554, 1.133, -0.278, -0.145, 0
0.221, 1.321, 1.726, -0.503, -0.229, 0
0.394, 0.968, 2.311, 1.118, 0.58, 0
0.559, 2.521, 1.509, 0.648, -0.272, 0
1.509, 1.557, 0.482, 0.283, -0.169, 0
1.101, 0.717, -0.101, 0.068, -0.068, 0
0.295, 1.883, 1.139, 0.84, -0.434, 0
2.234, 0.546, 0.171, 0.094, 0.069, 0
2.059, 1.637, 0.746, -0.169, 0.157, 0
0.987, 1.977, -0.433, 1.578, -0.482, 0
3.026, -0.273, 0.17, 0.27, -0.095, 0
0.67, 3.124, -0.576, -0.285, -0.366, 0
0.619, 2.238, -0.417, -0.184, -0.125, 0
0.25, 1.016, 2.009, -0.493, -0.262, 0
0.435, 2.408, 1.477, 0.701, 0.0, 0
0.356, 0.551, 1.79, 1.089, 0.986, 0
0.212, 1.047, 1.964, -0.541, 0.0, 0
2.581, 0.735, 0.341, -0.08, 0.067, 0
0.227, 1.064, 2.302, 1.11, -0.354, 0
0.191, 0.395, 0.643, 0.544, 0.0, 0
0.253, 1.877, -0.412, 0.262, -0.106, 0
0.576, 2.703, 1.06, 0.599, -0.229, 0
0.705, 1.8, -0.386, -0.152, -0.086, 0
0.583, 3.025, 0.989, -0.302, -0.153, 0
2.504, 0.461, 0.21, 0.17, -0.066, 0
0.116, 0.399, 0.49, 1.139, 0.0, 0
0.832, 2.759, -0.452, -0.184, -0.13, 0
2.832, -0.255, 0.122, 0.118, -0.058, 0
0.096, 0.344, 0.316, 0.476, -0.469, 0
2.724, 0.297, 0.192, 0.222, -0.084, 0
0.166, 0.873, 2.163, -0.837, -0.398, 0
2.852, 0.393, -0.115, 0.11, 0.099, 0
0.327, 2.3, -0.574, 0.333, -0.19, 0
-0.18, 1.99, 0.772, 0.489, -0.208, 0
3.227, 0.521, -0.127, -0.08, -0.039, 0
2.559, 1.059, 1.477, -0.32, -0.123, 0
1.065, 2.259, -0.485, 0.252, 0.343, 0
0.735, 2.461, 1.539, -0.412, -0.208, 0
3.5, -0.292, 0.161, -0.086, -0.085, 0
0.88, 2.143, 0.546, 0.306, -0.234, 0
0.268, 2.128, 1.794, -0.614, -0.269, 0
1.237, 1.274, -0.234, -0.1, -0.061, 0
0.189, 0.533, 0.612, 1.954, 0.987, 0
0.637, 3.102, -0.465, -0.27, -0.21, 0
0.363, 0.994, 2.446, -0.692, -0.384, 0
0.54, 2.787, -0.667, -0.242, -0.157, 0
2.168, 0.402, -0.122, -0.083, -0.051, 0
1.831, 2.751, -0.372, -0.169, -0.099, 0
2.21, 1.84, 0.387, 0.952, -0.245, 0
0.237, 1.009, 2.565, -0.848, 0.614, 0
