@relation  ring
@attribute A1 real[-6879.0,6285.0]
@attribute A2 real[-7141.0,6921.0]
@attribute A3 real[-7734.0,7611.0]
@attribute A4 real[-6627.0,7149.0]
@attribute A5 real[-7184.0,6383.0]
@attribute A6 real[-6946.0,6743.0]
@attribute A7 real[-7781.0,6285.0]
@attribute A8 real[-6882.0,6357.0]
@attribute A9 real[-7184.0,7487.0]
@attribute A10 real[-7232.0,6757.0]
@attribute A11 real[-7803.0,7208.0]
@attribute A12 real[-7395.0,6791.0]
@attribute A13 real[-7096.0,6403.0]
@attribute A14 real[-7472.0,7261.0]
@attribute A15 real[-7342.0,7372.0]
@attribute A16 real[-7121.0,6905.0]
@attribute A17 real[-7163.0,7175.0]
@attribute A18 real[-8778.0,6896.0]
@attribute A19 real[-7554.0,5726.0]
@attribute A20 real[-6722.0,7627.0]
@attribute Class {0,1}


@data
1318.0, 455.0, -1.0, 586.0, 888.0, -1022.0, 1856.0, -2282.0, -871.0, -1963.0, 479.0, 2587.0, 109.0, 926.0, 1893.0, 1049.0, -1187.0, 2521.0, -614.0, -928.0, 0
1471.0, 707.0, 2638.0, -3128.0, -1747.0, -364.0, 1038.0, -142.0, 1841.0, 1217.0, -2619.0, 1741.0, 4761.0, 1956.0, 208.0, 1787.0, 3121.0, -2058.0, 2663.0, -2455.0, 0
-2725.0, -429.0, 638.0, 3962.0, -211.0, 2713.0, 443.0, 2287.0, -3178.0, -122.0, 1296.0, 3466.0, 2978.0, -121.0, -813.0, -1222.0, 2689.0, 2804.0, 205.0, 828.0, 0
-92.0, 413.0, 1029.0, -2225.0, -3468.0, -1266.0, 2521.0, 303.0, 1549.0, 1796.0, 1844.0, -2105.0, 1647.0, 1142.0, -1018.0, 3216.0, 275.0, -1602.0, -987.0, 2801.0, 0
-68.0, -694.0, -1912.0, 36.0, -188.0, -877.0, 398.0, -307.0, 825.0, 1684.0, -776.0, 977.0, 793.0, -1505.0, 6158.0, -416.0, 1655.0, 1125.0, 2763.0, 588.0, 0
1934.0, -67.0, 2157.0, -3763.0, 216.0, -696.0, 1594.0, 984.0, -2724.0, -702.0, 19.0, -4929.0, -2945.0, 306.0, -1424.0, -544.0, 2333.0, -1478.0, -1064.0, -1732.0, 0
139.0, -761.0, -1978.0, -4192.0, -33.0, -1946.0, -5804.0, -1782.0, -638.0, 1168.0, 436.0, 452.0, -133.0, 851.0, 2994.0, -248.0, -2008.0, -1814.0, 3248.0, -2251.0, 0
1941.0, -1421.0, 2838.0, -43.0, -123.0, -743.0, 18.0, 727.0, 2899.0, 2991.0, 219.0, -1236.0, 2229.0, 192.0, -6316.0, 2975.0, 1995.0, 127.0, 2254.0, -37.0, 0
1012.0, 1671.0, -3115.0, 3725.0, -1678.0, -3581.0, 274.0, -2183.0, -1548.0, 84.0, 246.0, -706.0, 2197.0, 606.0, 834.0, -143.0, 2099.0, 2922.0, -206.0, -94.0, 0
5561.0, -1264.0, 188.0, -2538.0, 2946.0, -1885.0, 2727.0, -356.0, 226.0, -404.0, -3124.0, 1054.0, -77.0, -1924.0, 8.0, 2972.0, -516.0, -172.0, -398.0, 1796.0, 0
