@relation  ring
@attribute A1 real[-6879.0,6285.0]
@attribute A2 real[-7141.0,6921.0]
@attribute A3 real[-7734.0,7611.0]
@attribute A4 real[-6627.0,7149.0]
@attribute A5 real[-7184.0,6383.0]
@attribute A6 real[-6946.0,6743.0]
@attribute A7 real[-7781.0,6285.0]
@attribute A8 real[-6882.0,6357.0]
@attribute A9 real[-7184.0,7487.0]
@attribute A10 real[-7232.0,6757.0]
@attribute A11 real[-7803.0,7208.0]
@attribute A12 real[-7395.0,6791.0]
@attribute A13 real[-7096.0,6403.0]
@attribute A14 real[-7472.0,7261.0]
@attribute A15 real[-7342.0,7372.0]
@attribute A16 real[-7121.0,6905.0]
@attribute A17 real[-7163.0,7175.0]
@attribute A18 real[-8778.0,6896.0]
@attribute A19 real[-7554.0,5726.0]
@attribute A20 real[-6722.0,7627.0]
@attribute Class{0,1}
@inputs A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
@outputs Class
@data
-413.0, 519.0, 2263.0, -132.0, 1683.0, -391.0, 1803.0, -148.0, -281.0, 325.0, 588.0, -502.0, 536.0, 1826.0, 1593.0, 2729.0, -1034.0, 3079.0, -124.0, 437.0, 0
3164.0, -169.0, 388.0, 1372.0, 464.0, -85.0, -591.0, -908.0, 2116.0, -313.0, -2828.0, 1757.0, 3457.0, 893.0, 537.0, 1644.0, -1784.0, 464.0, 528.0, -2484.0, 0
994.0, -1328.0, -87.0, 1958.0, -907.0, 1656.0, -1805.0, 1517.0, -301.0, -861.0, 809.0, 3846.0, -95.0, -1158.0, -638.0, -615.0, 484.0, 5202.0, 202.0, 1185.0, 0
422.0, -1409.0, 593.0, -1769.0, -803.0, -1518.0, 2726.0, 3999.0, 1466.0, 914.0, 1883.0, 1253.0, -1892.0, 831.0, -1967.0, 2728.0, 527.0, -907.0, 78.0, 263.0, 0
-211.0, -2881.0, -1034.0, 45.0, 115.0, -1817.0, 2003.0, -368.0, 465.0, 1752.0, 2145.0, 381.0, -1529.0, -549.0, 2022.0, -513.0, 2656.0, 1262.0, -34.0, -28.0, 0
1792.0, -1112.0, 2584.0, -1313.0, -135.0, -1555.0, 3267.0, -223.0, -654.0, 694.0, 1622.0, -1361.0, -3078.0, 132.0, 864.0, -2113.0, 2468.0, -276.0, 141.0, -2096.0, 0
1078.0, 251.0, -1965.0, -2363.0, -819.0, -752.0, -2474.0, -1043.0, 482.0, -276.0, -77.0, 583.0, -224.0, 248.0, -643.0, 504.0, 465.0, -167.0, -1108.0, -2299.0, 0
1626.0, -1524.0, 2835.0, -278.0, 3593.0, -621.0, 1728.0, 721.0, 112.0, 452.0, 648.0, -1288.0, 2984.0, -1627.0, 265.0, 3658.0, -975.0, -234.0, 2276.0, -1654.0, 0
-672.0, 1766.0, -2178.0, 1992.0, -1619.0, 183.0, -2057.0, -2009.0, -804.0, 411.0, -331.0, -1006.0, -1117.0, 1567.0, 1507.0, -72.0, -133.0, 2535.0, 85.0, -3254.0, 0
2348.0, 548.0, 1947.0, -1504.0, -109.0, -1728.0, 1498.0, -172.0, -1868.0, -1153.0, -2803.0, 1626.0, -246.0, -928.0, 495.0, -0.0, -2173.0, -664.0, 2012.0, 2232.0, 0
1328.0, -1501.0, -17.0, -602.0, -1335.0, -236.0, 2099.0, 1501.0, -2892.0, 717.0, 2746.0, 3052.0, 2131.0, 3189.0, 323.0, -836.0, -282.0, 4038.0, -187.0, -64.0, 0
-1389.0, -565.0, -648.0, 1352.0, 2281.0, -186.0, -1628.0, -3312.0, 3126.0, 439.0, -994.0, -3193.0, 486.0, -631.0, -233.0, -141.0, 16.0, 1699.0, -1399.0, -65.0, 0
917.0, -1322.0, -397.0, 1255.0, 363.0, 1498.0, -536.0, -272.0, -957.0, 332.0, 72.0, -3045.0, -439.0, -66.0, -1506.0, -3389.0, 878.0, 728.0, 771.0, -611.0, 0
2134.0, -0.0, 595.0, -1209.0, 1971.0, 232.0, -2337.0, 5226.0, 1664.0, 4202.0, -445.0, 684.0, -109.0, -495.0, -794.0, -1774.0, -634.0, 1435.0, -1761.0, -47.0, 0
2173.0, 215.0, 1893.0, 407.0, -672.0, -28.0, -831.0, 1532.0, 1702.0, 248.0, -118.0, 2067.0, 871.0, -611.0, 4219.0, -1881.0, 474.0, 1812.0, -364.0, 1132.0, 0
-207.0, 3492.0, 418.0, -351.0, 67.0, -1928.0, 538.0, -2201.0, -1618.0, -1366.0, 1558.0, -78.0, -2492.0, 91.0, -1062.0, 29.0, 2257.0, -1581.0, -1252.0, -102.0, 0
624.0, -279.0, -371.0, 2767.0, -424.0, -556.0, 284.0, -1015.0, -1512.0, -928.0, -696.0, 1512.0, 85.0, -244.0, -1994.0, -1871.0, -2838.0, 1781.0, 564.0, -2206.0, 0
535.0, 1022.0, -3667.0, 834.0, 264.0, 2985.0, 5.0, -1104.0, -228.0, -119.0, 417.0, 204.0, 537.0, 716.0, -714.0, 1204.0, 1837.0, -1203.0, -2591.0, 157.0, 0
1457.0, 962.0, -2726.0, 584.0, -235.0, 62.0, -1084.0, -54.0, -271.0, 807.0, -1031.0, 2669.0, -2435.0, -1337.0, -7.0, 929.0, 1478.0, -804.0, -439.0, -303.0, 0
-487.0, -715.0, -338.0, 487.0, -2886.0, -211.0, 1323.0, 4028.0, -268.0, -3106.0, 174.0, -1345.0, -1436.0, -3402.0, 1552.0, 162.0, 723.0, -4135.0, -1539.0, -1736.0, 0
551.0, 1731.0, 217.0, 29.0, -121.0, 1881.0, 674.0, -453.0, -65.0, 2214.0, -11.0, 2646.0, 4053.0, -21.0, -1239.0, -1368.0, 1689.0, 1258.0, -1185.0, -356.0, 0
-44.0, 2329.0, -185.0, 117.0, 218.0, -1421.0, -1071.0, -87.0, 1148.0, -2009.0, -1554.0, -423.0, 185.0, 16.0, -64.0, -2647.0, 2413.0, -2312.0, 1104.0, -128.0, 0
313.0, 2522.0, 2327.0, 7.0, 874.0, 54.0, 378.0, -11.0, -668.0, -814.0, -329.0, -17.0, -212.0, -837.0, -2768.0, -338.0, 3014.0, 171.0, 568.0, 136.0, 0
-914.0, -3238.0, 431.0, -1058.0, -215.0, -964.0, -994.0, -1528.0, -1544.0, 679.0, -1969.0, 1122.0, -1582.0, -1354.0, 2261.0, 174.0, -228.0, 1872.0, -3254.0, 1555.0, 0
39.0, 817.0, -1545.0, -883.0, 1469.0, -126.0, 815.0, 361.0, 1874.0, -972.0, 186.0, -3057.0, 4501.0, -2118.0, 517.0, -1309.0, -643.0, 2209.0, 1776.0, -534.0, 0
-2149.0, 946.0, 479.0, -3534.0, -3408.0, 463.0, 615.0, -1665.0, 2199.0, -174.0, -483.0, -3358.0, -261.0, 2.0, -1023.0, -2.0, -332.0, 251.0, 386.0, -1249.0, 0
-1638.0, -3109.0, 176.0, 538.0, -512.0, 3549.0, 1257.0, 1.0, -53.0, 899.0, 1257.0, -874.0, 34.0, 1526.0, -1273.0, -3004.0, -191.0, 532.0, 1821.0, -1816.0, 0
-339.0, 921.0, -18.0, -154.0, 1.0, 2068.0, 3136.0, -1192.0, 2293.0, -586.0, -102.0, -688.0, -238.0, -17.0, 2105.0, 461.0, -526.0, 694.0, -2606.0, -2974.0, 0
-2537.0, 275.0, 2764.0, -1531.0, 1031.0, 256.0, 979.0, -724.0, 4209.0, -431.0, 3205.0, 234.0, 2664.0, -2535.0, 676.0, -462.0, 904.0, 1375.0, -2253.0, 632.0, 0
24.0, 958.0, -1404.0, -102.0, -859.0, 2034.0, -3032.0, -198.0, 293.0, -1047.0, 905.0, -712.0, -1275.0, 2158.0, 604.0, -148.0, 3274.0, 646.0, 465.0, 388.0, 0
364.0, -106.0, -2717.0, 1943.0, 408.0, 1248.0, -2237.0, -2963.0, 222.0, 367.0, 1565.0, -2811.0, -62.0, -1715.0, -477.0, -1553.0, -572.0, -3672.0, 4179.0, 1562.0, 0
922.0, 799.0, 1931.0, -1862.0, -1244.0, -353.0, -244.0, 85.0, -2357.0, -26.0, 4359.0, -2837.0, 2318.0, -816.0, 9.0, -281.0, -2397.0, -1962.0, 4156.0, -525.0, 0
-434.0, -2505.0, -8.0, 1153.0, 3162.0, 341.0, -999.0, -1392.0, -501.0, -545.0, 1178.0, 136.0, 825.0, 703.0, -1614.0, 1913.0, -159.0, 1298.0, -129.0, 1584.0, 0
-3167.0, 688.0, 2388.0, -564.0, 782.0, -3938.0, -876.0, -1768.0, 144.0, -1155.0, -285.0, 2935.0, -1224.0, -616.0, 1359.0, -2669.0, 408.0, 91.0, 1267.0, -279.0, 0
