@relation  texture
@attribute A1 real[-1.45,0.774]
@attribute A2 real[-1.2,0.33]
@attribute A3 real[-1.31,0.344]
@attribute A4 real[-1.11,0.588]
@attribute A5 real[-1.053,0.439]
@attribute A6 real[-1.003,0.452]
@attribute A7 real[-1.208,0.525]
@attribute A8 real[-1.08,0.398]
@attribute A9 real[-1.057,0.437]
@attribute A10 real[-1.258,0.355]
@attribute A11 real[-1.45,0.774]
@attribute A12 real[-1.083,0.372]
@attribute A13 real[-1.119,0.635]
@attribute A14 real[-1.018,0.157]
@attribute A15 real[-0.943,0.164]
@attribute A16 real[-0.994,0.036]
@attribute A17 real[-1.172,0.02]
@attribute A18 real[-1.017,0.115]
@attribute A19 real[-1.004,0.083]
@attribute A20 real[-1.18,0.439]
@attribute A21 real[-1.45,0.774]
@attribute A22 real[-1.228,0.596]
@attribute A23 real[-1.341,0.446]
@attribute A24 real[-1.177,0.688]
@attribute A25 real[-1.137,0.41]
@attribute A26 real[-1.11,0.373]
@attribute A27 real[-1.239,0.612]
@attribute A28 real[-1.154,0.422]
@attribute A29 real[-1.132,0.392]
@attribute A30 real[-1.422,0.472]
@attribute A31 real[-1.45,0.774]
@attribute A32 real[-1.179,0.565]
@attribute A33 real[-1.147,0.675]
@attribute A34 real[-1.123,0.313]
@attribute A35 real[-1.015,0.34]
@attribute A36 real[-1.03,0.156]
@attribute A37 real[-1.253,0.09]
@attribute A38 real[-1.097,0.194]
@attribute A39 real[-1.076,0.202]
@attribute A40 real[-1.215,0.465]
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}


@data
-1.182, -0.597, -0.656, -0.391, -0.282, -0.2, -0.57, -0.441, -0.358, -0.711, -1.182, -0.662, -0.453, -0.635, -0.464, -0.571, -0.779, -0.521, -0.507, -0.54, -1.182, -0.792, -0.919, -0.632, -0.57, -0.426, -0.795, -0.654, -0.582, -0.95, -1.182, -0.619, -0.4, -0.596, -0.412, -0.511, -0.752, -0.471, -0.429, -0.447, 2
-1.159, -0.804, -0.924, -0.655, -0.608, -0.501, -0.788, -0.67, -0.594, -0.89, -1.159, -0.81, -0.806, -0.749, -0.683, -0.727, -0.915, -0.765, -0.73, -0.875, -1.159, -0.849, -0.965, -0.72, -0.661, -0.52, -0.883, -0.755, -0.69, -1.035, -1.159, -0.768, -0.695, -0.719, -0.597, -0.658, -0.901, -0.698, -0.657, -0.779, 2
-0.805, -0.606, -0.819, -0.549, -0.606, -0.538, -0.646, -0.618, -0.587, -0.79, -0.805, -0.651, -0.703, -0.695, -0.68, -0.733, -0.867, -0.789, -0.786, -0.88, -0.805, -0.65, -0.886, -0.569, -0.628, -0.577, -0.659, -0.65, -0.639, -0.893, -0.805, -0.588, -0.462, -0.58, -0.449, -0.458, -0.74, -0.567, -0.529, -0.62, 2
-1.052, -0.582, -0.742, -0.386, -0.357, -0.206, -0.563, -0.442, -0.324, -0.691, -1.052, -0.623, -0.425, -0.6, -0.402, -0.473, -0.765, -0.487, -0.453, -0.515, -1.052, -0.821, -0.938, -0.663, -0.632, -0.486, -0.762, -0.677, -0.584, -0.855, -1.052, -0.655, -0.525, -0.619, -0.484, -0.569, -0.79, -0.573, -0.553, -0.65, 2
-1.228, -0.706, -0.716, -0.514, -0.36, -0.285, -0.696, -0.497, -0.429, -0.746, -1.228, -0.789, -0.604, -0.732, -0.562, -0.629, -0.907, -0.653, -0.619, -0.71, -1.228, -0.882, -0.952, -0.766, -0.685, -0.575, -0.926, -0.768, -0.705, -1.033, -1.228, -0.689, -0.449, -0.678, -0.463, -0.55, -0.846, -0.545, -0.503, -0.537, 2
-1.41, -1.029, -1.013, -0.895, -0.762, -0.676, -1.043, -0.851, -0.775, -1.037, -1.41, -1.083, -0.894, -1.015, -0.825, -0.829, -1.172, -0.941, -0.891, -1.01, -1.41, -1.081, -1.094, -0.932, -0.808, -0.681, -1.071, -0.899, -0.812, -1.074, -1.41, -0.919, -0.77, -0.847, -0.663, -0.723, -1.013, -0.748, -0.698, -0.817, 2
-1.212, -0.813, -0.86, -0.656, -0.548, -0.427, -0.809, -0.628, -0.538, -0.837, -1.212, -0.841, -0.791, -0.776, -0.676, -0.704, -0.944, -0.765, -0.704, -0.84, -1.212, -0.882, -1.005, -0.718, -0.662, -0.478, -0.867, -0.75, -0.644, -0.997, -1.212, -0.741, -0.571, -0.694, -0.501, -0.565, -0.866, -0.59, -0.548, -0.646, 2
-1.113, -0.733, -0.724, -0.598, -0.474, -0.375, -0.742, -0.556, -0.484, -0.767, -1.113, -0.749, -0.556, -0.699, -0.513, -0.518, -0.875, -0.636, -0.59, -0.692, -1.113, -0.83, -0.866, -0.661, -0.592, -0.453, -0.796, -0.673, -0.576, -0.838, -1.113, -0.706, -0.501, -0.648, -0.457, -0.512, -0.815, -0.552, -0.509, -0.6, 2
-1.173, -0.624, -0.782, -0.447, -0.387, -0.225, -0.642, -0.515, -0.407, -0.783, -1.173, -0.712, -0.493, -0.693, -0.494, -0.544, -0.872, -0.588, -0.532, -0.567, -1.173, -0.846, -0.897, -0.68, -0.591, -0.422, -0.843, -0.679, -0.566, -0.898, -1.173, -0.699, -0.507, -0.67, -0.498, -0.537, -0.852, -0.596, -0.543, -0.584, 2
-1.065, -0.703, -0.911, -0.604, -0.587, -0.512, -0.743, -0.645, -0.624, -0.97, -1.065, -0.803, -0.777, -0.774, -0.709, -0.761, -0.94, -0.807, -0.806, -0.954, -1.065, -0.829, -1.011, -0.724, -0.741, -0.659, -0.825, -0.763, -0.724, -0.995, -1.065, -0.676, -0.68, -0.638, -0.572, -0.677, -0.794, -0.635, -0.621, -0.764, 2
-1.011, -0.583, -0.837, -0.451, -0.424, -0.307, -0.604, -0.506, -0.477, -0.934, -1.011, -0.672, -0.614, -0.653, -0.552, -0.633, -0.837, -0.654, -0.659, -0.816, -1.011, -0.798, -0.999, -0.688, -0.691, -0.586, -0.783, -0.709, -0.664, -0.926, -1.011, -0.61, -0.622, -0.611, -0.524, -0.651, -0.765, -0.587, -0.571, -0.706, 2
-1.147, -0.677, -0.765, -0.515, -0.42, -0.311, -0.697, -0.551, -0.473, -0.847, -1.147, -0.756, -0.6, -0.7, -0.541, -0.593, -0.882, -0.64, -0.605, -0.73, -1.147, -0.817, -0.96, -0.692, -0.648, -0.511, -0.829, -0.706, -0.642, -0.997, -1.147, -0.658, -0.446, -0.651, -0.45, -0.527, -0.803, -0.529, -0.474, -0.507, 2
-1.032, -0.541, -0.619, -0.382, -0.352, -0.299, -0.559, -0.442, -0.378, -0.623, -1.032, -0.662, -0.55, -0.625, -0.514, -0.57, -0.819, -0.635, -0.592, -0.685, -1.032, -0.8, -0.907, -0.705, -0.678, -0.599, -0.813, -0.716, -0.671, -0.9, -1.032, -0.618, -0.414, -0.614, -0.443, -0.551, -0.792, -0.541, -0.529, -0.593, 2
-1.087, -0.695, -0.793, -0.584, -0.492, -0.404, -0.721, -0.544, -0.495, -0.793, -1.087, -0.797, -0.732, -0.768, -0.657, -0.689, -0.933, -0.756, -0.728, -0.85, -1.087, -0.857, -1.062, -0.731, -0.734, -0.603, -0.83, -0.769, -0.713, -1.014, -1.087, -0.711, -0.553, -0.673, -0.509, -0.555, -0.831, -0.603, -0.559, -0.654, 2
-1.101, -0.621, -0.775, -0.46, -0.444, -0.33, -0.628, -0.503, -0.411, -0.775, -1.101, -0.745, -0.639, -0.718, -0.608, -0.643, -0.894, -0.703, -0.665, -0.725, -1.101, -0.72, -0.838, -0.568, -0.496, -0.344, -0.725, -0.583, -0.504, -0.851, -1.101, -0.541, -0.318, -0.52, -0.329, -0.438, -0.679, -0.378, -0.36, -0.393, 2
-1.29, -0.934, -0.959, -0.807, -0.708, -0.64, -0.949, -0.79, -0.73, -0.989, -1.29, -0.978, -0.823, -0.92, -0.764, -0.778, -1.084, -0.882, -0.846, -0.973, -1.29, -0.979, -1.027, -0.84, -0.741, -0.605, -0.973, -0.82, -0.736, -1.017, -1.29, -0.834, -0.696, -0.766, -0.595, -0.642, -0.932, -0.678, -0.631, -0.755, 2
-1.169, -0.701, -0.669, -0.547, -0.445, -0.377, -0.688, -0.502, -0.459, -0.705, -1.169, -0.752, -0.577, -0.717, -0.562, -0.63, -0.886, -0.658, -0.644, -0.729, -1.169, -0.873, -0.936, -0.74, -0.688, -0.601, -0.872, -0.756, -0.697, -0.955, -1.169, -0.754, -0.579, -0.728, -0.58, -0.645, -0.907, -0.68, -0.653, -0.716, 2
-1.199, -0.86, -0.904, -0.735, -0.623, -0.52, -0.856, -0.675, -0.619, -0.892, -1.199, -0.905, -0.836, -0.853, -0.733, -0.741, -0.998, -0.82, -0.78, -0.91, -1.199, -0.961, -1.081, -0.837, -0.794, -0.675, -0.938, -0.837, -0.769, -1.016, -1.199, -0.839, -0.69, -0.786, -0.632, -0.646, -0.95, -0.737, -0.677, -0.77, 2
-1.055, -0.608, -0.714, -0.462, -0.423, -0.336, -0.607, -0.483, -0.419, -0.704, -1.055, -0.686, -0.596, -0.627, -0.539, -0.577, -0.788, -0.618, -0.579, -0.665, -1.055, -0.75, -0.873, -0.594, -0.562, -0.423, -0.725, -0.608, -0.526, -0.811, -1.055, -0.613, -0.339, -0.585, -0.376, -0.444, -0.749, -0.476, -0.455, -0.5, 2
-1.141, -0.725, -0.752, -0.579, -0.489, -0.383, -0.734, -0.562, -0.471, -0.736, -1.141, -0.811, -0.695, -0.781, -0.649, -0.66, -0.96, -0.761, -0.699, -0.784, -1.141, -0.909, -1.037, -0.768, -0.771, -0.656, -0.885, -0.835, -0.753, -1.012, -1.141, -0.74, -0.478, -0.721, -0.506, -0.56, -0.9, -0.62, -0.592, -0.651, 2
-1.014, -0.663, -0.774, -0.554, -0.478, -0.391, -0.68, -0.533, -0.485, -0.787, -1.014, -0.698, -0.629, -0.69, -0.569, -0.637, -0.863, -0.669, -0.653, -0.786, -1.014, -0.772, -0.924, -0.666, -0.653, -0.578, -0.783, -0.705, -0.667, -0.932, -1.014, -0.668, -0.532, -0.644, -0.502, -0.559, -0.812, -0.61, -0.583, -0.675, 2
-1.273, -0.852, -0.975, -0.714, -0.633, -0.508, -0.871, -0.703, -0.629, -0.967, -1.273, -0.942, -0.904, -0.887, -0.785, -0.82, -1.039, -0.858, -0.837, -0.975, -1.273, -1.068, -1.087, -0.976, -0.892, -0.817, -1.047, -0.922, -0.883, -1.064, -1.273, -0.87, -0.737, -0.791, -0.622, -0.655, -0.946, -0.702, -0.653, -0.779, 2
-0.939, -0.46, -0.623, -0.353, -0.355, -0.336, -0.525, -0.438, -0.402, -0.721, -0.939, -0.563, -0.494, -0.579, -0.485, -0.611, -0.779, -0.602, -0.592, -0.7, -0.939, -0.713, -0.938, -0.591, -0.618, -0.478, -0.715, -0.663, -0.6, -0.909, -0.939, -0.498, -0.366, -0.477, -0.381, -0.459, -0.635, -0.446, -0.43, -0.465, 2
-1.198, -0.834, -0.94, -0.7, -0.617, -0.501, -0.834, -0.707, -0.657, -1.003, -1.198, -0.866, -0.797, -0.826, -0.691, -0.743, -0.994, -0.789, -0.766, -0.926, -1.198, -0.9, -1.043, -0.787, -0.726, -0.595, -0.911, -0.772, -0.719, -1.05, -1.198, -0.764, -0.65, -0.724, -0.577, -0.657, -0.89, -0.647, -0.611, -0.713, 2
-1.131, -0.63, -0.782, -0.453, -0.4, -0.295, -0.632, -0.511, -0.432, -0.814, -1.131, -0.714, -0.558, -0.681, -0.552, -0.614, -0.852, -0.632, -0.605, -0.661, -1.131, -0.744, -0.893, -0.61, -0.574, -0.438, -0.768, -0.633, -0.565, -0.91, -1.131, -0.59, -0.382, -0.58, -0.405, -0.498, -0.74, -0.464, -0.42, -0.461, 2
-1.199, -0.86, -0.867, -0.772, -0.669, -0.611, -0.898, -0.736, -0.702, -0.936, -1.199, -0.904, -0.841, -0.861, -0.743, -0.764, -1.019, -0.839, -0.809, -0.946, -1.199, -0.944, -1.058, -0.842, -0.799, -0.702, -0.952, -0.845, -0.804, -1.084, -1.199, -0.86, -0.647, -0.812, -0.614, -0.623, -0.974, -0.734, -0.69, -0.786, 2
-1.359, -0.955, -0.936, -0.765, -0.625, -0.479, -0.931, -0.736, -0.624, -0.928, -1.359, -0.963, -0.887, -0.873, -0.759, -0.766, -1.033, -0.846, -0.777, -0.915, -1.359, -1.046, -1.068, -0.902, -0.8, -0.667, -1.047, -0.888, -0.791, -1.058, -1.359, -0.895, -0.702, -0.824, -0.62, -0.662, -1.002, -0.722, -0.664, -0.775, 2
-1.192, -0.722, -0.81, -0.569, -0.478, -0.376, -0.746, -0.577, -0.504, -0.857, -1.192, -0.771, -0.667, -0.706, -0.579, -0.62, -0.881, -0.672, -0.613, -0.723, -1.192, -0.81, -0.899, -0.655, -0.565, -0.438, -0.836, -0.671, -0.59, -0.938, -1.192, -0.71, -0.574, -0.647, -0.499, -0.581, -0.819, -0.579, -0.559, -0.657, 2
-1.3, -0.854, -0.965, -0.719, -0.613, -0.448, -0.892, -0.696, -0.596, -0.964, -1.3, -0.919, -0.873, -0.883, -0.766, -0.821, -1.055, -0.846, -0.824, -0.963, -1.3, -1.051, -1.106, -0.957, -0.877, -0.789, -1.058, -0.917, -0.868, -1.089, -1.3, -0.858, -0.724, -0.792, -0.618, -0.675, -0.958, -0.702, -0.66, -0.79, 2
-1.246, -0.805, -0.774, -0.627, -0.47, -0.35, -0.793, -0.582, -0.487, -0.785, -1.246, -0.868, -0.684, -0.788, -0.601, -0.613, -0.943, -0.691, -0.634, -0.73, -1.246, -0.904, -0.987, -0.737, -0.652, -0.495, -0.878, -0.74, -0.649, -0.981, -1.246, -0.76, -0.546, -0.683, -0.5, -0.541, -0.845, -0.585, -0.529, -0.603, 2
-1.035, -0.526, -0.811, -0.394, -0.403, -0.259, -0.593, -0.516, -0.444, -0.933, -1.035, -0.648, -0.551, -0.622, -0.503, -0.583, -0.806, -0.58, -0.561, -0.667, -1.035, -0.671, -0.857, -0.506, -0.476, -0.331, -0.665, -0.554, -0.462, -0.827, -1.035, -0.544, -0.32, -0.553, -0.373, -0.489, -0.667, -0.431, -0.4, -0.427, 2
-1.078, -0.658, -0.742, -0.546, -0.431, -0.333, -0.678, -0.486, -0.419, -0.723, -1.078, -0.764, -0.655, -0.754, -0.607, -0.661, -0.925, -0.712, -0.687, -0.814, -1.078, -0.861, -1.002, -0.747, -0.733, -0.639, -0.839, -0.755, -0.717, -0.968, -1.078, -0.687, -0.47, -0.675, -0.469, -0.549, -0.841, -0.563, -0.537, -0.613, 2
