@relation  twonorm
@attribute A1 real[-4.2497,3.5782]
@attribute A2 real[-3.9606,4.3451]
@attribute A3 real[-4.4798,4.4039]
@attribute A4 real[-3.8891,4.2589]
@attribute A5 real[-3.9099,5.6395]
@attribute A6 real[-4.0095,3.9901]
@attribute A7 real[-3.7334,4.4522]
@attribute A8 real[-4.5744,3.8648]
@attribute A9 real[-3.8136,4.254]
@attribute A10 real[-4.1999,4.0829]
@attribute A11 real[-3.9204,4.0953]
@attribute A12 real[-3.8262,4.3025]
@attribute A13 real[-3.9451,3.7817]
@attribute A14 real[-3.8516,4.1238]
@attribute A15 real[-3.6978,3.5485]
@attribute A16 real[-3.6976,4.2439]
@attribute A17 real[-3.9428,3.7233]
@attribute A18 real[-4.0653,4.0557]
@attribute A19 real[-4.1218,4.3238]
@attribute A20 real[-3.7831,4.279]
@attribute Class {0,1}


@data
1.0922, 0.2579, 1.3792, -0.0721, -0.9379, 0.9459, 0.4218, -0.0175, -0.8286, 0.555, -0.1732, 0.3814, 0.0189, 0.8503, 0.1188, 0.8498, 0.4736, -0.6724, -0.8858, 1.4818, 0
-0.5857, 1.67, 1.2588, -0.168, -0.0039, 1.3504, 1.1616, 0.4863, -0.0952, 1.1861, -0.5428, 2.2629, -0.6425, -0.0481, -0.7664, 0.7044, 1.7615, 1.2268, -0.9457, 0.1511, 0
0.0971, 1.2932, 2.3388, 2.3561, 0.728, -0.1793, 0.3882, -0.6498, 1.1837, 0.7251, -0.656, 0.634, 0.6285, 0.3776, -0.2621, 2.1169, 1.3399, 0.8953, 0.0731, 1.1102, 0
-0.179, -0.1403, 1.7923, 0.1099, 1.5542, -0.0048, 0.1287, 0.0217, 1.9751, 0.2332, 0.8271, 1.2574, 1.4762, -0.6651, -0.521, 0.1684, 0.9643, 1.495, -0.398, -0.3656, 0
0.7838, 0.9318, 1.5367, -0.0513, 0.3791, 0.4735, 0.196, 1.2463, -0.5485, 0.4253, -1.562, 0.1093, 0.1329, 0.9166, 0.6227, -0.786, -0.1148, 0.3079, 0.0595, 1.5215, 0
1.0633, 1.4248, -0.3061, 0.2031, -0.6353, 0.6533, 1.2161, 0.6051, 1.4264, -0.4748, 1.0499, 0.8229, -0.4479, -0.479, 0.3561, 1.2514, 0.1487, -0.0712, 0.1762, -0.0904, 0
0.9821, -0.2059, -0.2798, 0.0369, -0.5068, 1.4162, 1.3023, 0.7258, 0.5743, 1.0862, 0.5915, -1.2536, 0.6862, 0.4371, 0.5797, -0.0541, 0.5952, 0.2865, -0.4671, 1.1249, 0
0.5468, 0.2073, 2.0364, 0.8625, 0.1839, 1.9205, -0.3392, 0.2367, 0.8631, -0.3561, 1.9232, 0.8097, 0.0342, 1.1636, 1.3013, 0.0641, 0.3793, -0.4683, 0.2567, 0.7519, 0
2.2452, 1.2062, -0.4814, -0.0532, -0.8279, -0.0476, -0.0511, -0.9076, 1.3491, 0.4474, 1.1406, 0.1729, 0.6113, 0.5263, 0.8417, -0.2143, 0.5366, 0.4397, -0.669, 0.2949, 0
0.8726, -0.2172, 0.1775, 0.6614, 0.6999, 1.0413, 0.7015, 1.5577, 0.6552, 0.8431, 0.2248, 1.2136, 0.7693, -0.3316, 0.6044, 1.1337, 0.0643, 0.1339, 1.9424, 0.5569, 0
1.4635, 1.4147, 2.1243, 1.3302, 1.8329, 1.273, 0.8917, 1.6273, 1.0233, 0.9948, -0.7639, 0.7713, 1.2, 0.0218, 1.7449, 1.3565, 0.1845, 0.8824, -0.2832, -0.1737, 0
0.0701, -0.2659, -0.1783, -0.1304, -0.5481, -0.4209, -0.7481, -0.5125, 0.6335, -0.3124, 0.5126, 0.0067, 0.2536, 1.1762, -0.5183, 1.327, -0.2614, -0.6063, -0.236, -0.1392, 0
-0.8076, 2.2781, 0.3964, 1.3419, 1.6005, -0.5653, 0.9345, -0.1805, 1.0105, -0.6071, -0.5902, 1.2694, 0.3644, 0.8109, -0.0464, -1.9846, 0.2286, 0.7952, 1.193, 0.1184, 0
-0.031, -1.0766, 1.0107, 1.0131, -0.1104, 0.3267, 1.3825, 2.0192, -0.2276, -0.5984, -0.7772, 0.5667, 0.3185, -0.713, 0.5099, 0.6542, -0.916, 0.0994, 0.6671, 0.183, 0
0.6152, 0.3417, 1.1508, 0.696, 0.3953, 0.058, -0.0434, -0.2861, 0.1282, 0.6418, -0.0107, -0.0895, 0.5388, 1.0209, 0.634, 1.1885, 0.6362, 0.795, 0.6327, 0.9312, 0
0.5046, -0.9425, -0.4625, 0.7296, -0.3458, 0.0994, 0.4576, 0.0143, -1.0409, 1.5887, 0.3499, 0.6924, -1.2279, -0.6031, -0.0162, -0.2091, 1.6385, 0.2931, 0.2281, -0.8813, 0
-0.7204, 0.8057, 0.4364, 0.0736, 1.4183, 0.0565, 0.8097, -1.3585, -1.9668, 1.6237, 2.951, 0.9898, 0.1146, 2.8041, -0.4566, -0.0096, -0.0608, 0.5654, 0.193, 0.8155, 0
