@relation  vowel
@attribute TT integer[0,1]
@attribute SpeakerNumber integer[0,14]
@attribute Sex integer[0,1]
@attribute F0 real[-5.211,-0.941]
@attribute F1 real[-1.274,5.074]
@attribute F2 real[-2.487,1.431]
@attribute F3 real[-1.409,2.377]
@attribute F4 real[-2.127,1.831]
@attribute F5 real[-0.836,2.327]
@attribute F6 real[-1.537,1.403]
@attribute F7 real[-1.293,2.039]
@attribute F8 real[-1.613,1.309]
@attribute F9 real[-1.68,1.396]
@attribute Class{0,1,2,3,4,5,6,7,8,9,10}
@inputs TT,SpeakerNumber,Sex,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9
@outputs Class
@data
1, 10, 0, -3.894, 0.117, -0.407, 1.973, 0.043, 1.891, 0.411, -0.095, -0.436, -1.015, 0
0, 3, 0, -2.058, -0.61, -1.497, 0.696, 0.072, 1.802, 0.626, 1.303, -0.192, -0.538, 0
0, 5, 1, -3.781, -0.011, 0.102, 1.115, 1.036, 0.651, 0.615, -1.082, -1.272, 0.05, 0
1, 11, 0, -2.391, -0.347, -1.474, 0.843, 0.089, 2.021, 0.417, 0.502, -0.86, -0.978, 0
1, 8, 0, -2.698, -1.027, -0.94, 1.796, 0.392, 1.33, 0.866, 0.781, -0.838, -0.663, 0
1, 14, 1, -3.836, 0.508, 0.645, 1.721, 0.28, 0.303, -0.911, -0.592, -0.631, 1.023, 0
0, 1, 0, -4.158, -0.342, 0.9, 1.09, 0.56, 0.955, 0.395, -0.328, -1.52, -0.498, 0
0, 4, 1, -3.693, -0.568, 0.727, 1.236, 0.612, 1.502, -0.804, -0.763, -0.346, 0.788, 0
0, 0, 0, -3.624, 0.305, -0.708, 1.758, -0.194, 1.675, -0.273, 0.561, -0.577, -0.843, 0
0, 4, 1, -3.049, 0.084, 0.981, 1.193, 0.761, 0.495, -0.714, -0.466, -0.568, -0.149, 1
0, 2, 0, -1.077, 0.511, -2.006, 0.305, -0.584, 1.962, 0.089, 1.406, -0.669, -0.027, 1
1, 14, 1, -3.584, 1.252, -0.062, 1.646, 0.787, 1.134, 0.096, -0.292, -1.133, 0.472, 1
0, 6, 1, -2.889, -0.039, -0.494, 0.719, 1.104, 1.003, -0.415, 0.097, -0.855, 0.356, 1
1, 11, 0, -2.919, 0.463, -0.716, 0.957, 0.635, 0.833, 0.501, 0.048, -0.134, -0.638, 1
1, 9, 0, -3.871, 1.694, -0.606, 1.428, 0.044, 0.844, -0.013, 0.126, -1.218, -0.553, 1
0, 1, 0, -1.372, -0.03, -1.003, -0.388, -0.471, 1.141, 0.654, 0.823, 0.558, 0.043, 1
0, 3, 0, -1.537, 0.043, -1.125, -0.213, -0.378, 1.265, 0.33, 0.87, 0.293, -0.393, 1
1, 12, 1, -3.439, 1.007, 0.02, 1.491, 0.777, 0.257, -0.777, -0.282, -0.707, 0.746, 1
0, 6, 1, -2.103, 0.655, -0.84, 1.195, 0.377, 0.135, -0.504, -0.549, -0.404, 0.602, 2
0, 5, 1, -3.091, 0.935, -0.574, 1.36, 0.416, 0.764, -0.48, -0.144, -1.295, 0.696, 2
1, 14, 1, -3.369, 1.784, -0.603, 1.303, 0.0070, -0.044, -0.459, -0.012, -0.591, 1.047, 2
1, 8, 0, -2.677, 0.486, -0.061, 0.517, 0.222, 1.102, -0.425, -0.096, -0.373, -0.484, 2
0, 0, 0, -2.081, 1.05, -1.778, 0.411, -0.518, 1.46, -0.576, 0.735, -0.866, -0.172, 2
0, 3, 0, -1.764, 0.888, -1.001, 0.197, 0.3, 0.66, 0.159, 0.557, -0.301, -0.65, 2
0, 1, 0, -1.816, 0.458, -0.947, -0.341, 0.085, 0.75, 0.144, 0.462, -0.24, -0.266, 2
1, 11, 0, -2.306, 1.086, -0.59, 0.106, 0.931, 0.733, 0.213, 0.274, -0.684, -0.911, 2
1, 12, 1, -2.64, 1.322, -0.111, 0.861, 0.026, -0.354, -0.425, 0.083, -0.235, 0.781, 2
0, 4, 1, -1.577, 0.907, -0.291, 0.0070, -0.256, -0.233, 0.187, -0.052, -0.627, 0.238, 3
0, 2, 0, -1.57, 1.655, -1.04, 1.16, -0.923, 0.961, -0.231, 0.955, -0.273, 0.065, 3
1, 9, 0, -1.928, 1.578, -0.997, 0.672, -1.287, 0.381, 0.249, 0.0060, -0.167, -0.637, 3
0, 7, 1, -3.654, 1.222, -0.574, 0.248, -0.299, 0.158, 0.154, 0.553, -0.58, 0.617, 3
0, 6, 1, -1.885, 2.214, -0.673, 0.147, -0.148, -0.4, 0.252, -0.098, -0.874, 0.245, 3
1, 12, 1, -1.959, 2.285, -0.089, -0.262, -0.013, 0.019, -0.233, -0.068, -0.268, -0.022, 3
0, 0, 0, -2.312, 1.746, -1.51, 1.019, -0.99, 0.941, -0.488, 0.208, 0.033, -0.847, 3
1, 11, 0, -2.104, 1.6, -0.297, -0.071, -0.172, 0.285, 0.152, -0.089, -0.296, -0.37, 3
1, 14, 1, -2.627, 2.089, -1.434, 0.937, -0.615, 0.43, -0.311, -0.203, 0.038, 0.933, 3
0, 3, 0, -2.554, 1.532, 0.812, 0.367, -1.208, -0.352, -0.252, 0.894, 0.05, 0.084, 4
0, 5, 1, -2.859, 2.255, -0.676, 0.098, -1.086, 0.041, 0.732, 0.305, -0.141, -0.636, 4
0, 6, 1, -2.563, 2.829, -0.283, -0.368, -1.593, 0.408, 0.121, 0.933, -0.946, -0.356, 4
1, 11, 0, -2.723, 1.975, -0.636, 0.336, -0.677, 0.156, -0.342, 0.479, 0.381, -0.729, 4
0, 1, 0, -2.748, 3.217, -0.976, -0.213, -0.792, 0.771, -0.032, 0.223, 0.043, -0.825, 4
0, 4, 1, -2.942, 2.091, -0.353, -0.364, -0.61, 0.401, 0.864, 0.191, -0.764, -0.235, 4
1, 12, 1, -2.305, 3.625, -1.203, -0.665, -0.296, 0.775, 0.197, -0.282, -0.842, 0.188, 4
1, 9, 0, -2.797, 2.706, -1.936, 0.147, -0.921, 1.24, -0.082, -0.0060, -0.214, -0.064, 4
1, 14, 1, -3.018, 3.014, -1.486, -0.105, -0.131, 0.929, 0.226, -0.463, -0.555, 0.598, 4
1, 10, 0, -2.445, 2.678, -0.816, -0.743, 0.076, 1.117, -0.057, 0.018, 0.281, -0.72, 5
1, 8, 0, -2.592, 1.617, 0.267, 0.38, -0.777, 0.487, -0.206, 0.733, 0.592, -0.403, 5
0, 5, 1, -2.497, 1.692, -0.607, 0.02, -0.71, 0.612, 0.093, 0.272, -0.06, -0.507, 5
0, 7, 1, -3.417, 1.984, -1.148, 0.234, -0.778, 0.411, 0.494, 0.13, -0.704, 0.764, 5
1, 12, 1, -2.594, 2.584, -0.37, -0.524, -0.177, 0.515, -0.137, 0.095, -0.731, 0.072, 5
0, 0, 0, -3.089, 2.339, -0.973, 0.463, -1.169, 0.543, 0.598, -0.45, -0.08, -0.039, 5
1, 14, 1, -2.904, 2.741, -1.123, 0.014, 0.071, 0.654, 0.212, -0.454, -0.815, 0.752, 5
0, 4, 1, -3.253, 1.025, -0.286, 0.713, -0.036, 0.539, 0.476, -0.116, -0.945, -0.108, 5
0, 1, 0, -2.321, 1.303, 0.32, -0.085, -0.278, 0.0010, -0.094, -0.283, 0.852, 0.022, 5
0, 7, 1, -4.065, 2.876, -0.856, -0.221, -0.533, 0.232, 0.855, 0.633, -1.452, 0.272, 6
1, 9, 0, -3.173, 3.166, -1.501, -0.37, -0.437, 0.974, 0.179, 0.556, -0.794, -0.549, 6
0, 4, 1, -3.682, 3.672, 0.041, -0.508, -0.905, 0.028, 0.492, 0.654, -0.722, -0.318, 6
1, 8, 0, -2.764, 1.111, 0.727, 1.54, -0.855, 0.261, -1.11, 0.227, 0.42, 0.991, 6
1, 14, 1, -3.027, 2.903, -0.799, -0.452, -0.503, 1.044, 0.679, 0.483, -0.776, -0.062, 6
1, 12, 1, -2.818, 3.685, -1.413, -0.558, 0.025, 0.871, 0.688, -0.144, -0.93, 0.282, 6
0, 5, 1, -3.124, 2.733, -0.857, -0.334, -0.312, 0.587, 0.849, 0.475, -0.174, -0.899, 6
0, 0, 0, -3.559, 2.126, -0.445, 1.053, -1.765, 0.349, 0.546, 0.321, 0.443, -0.118, 6
1, 11, 0, -3.117, 2.876, -0.746, -0.047, -0.427, -0.053, 0.453, 0.305, 0.541, -0.489, 6
0, 7, 1, -4.373, 4.643, -0.792, -1.332, -0.202, 0.597, 0.192, 1.133, -1.131, -0.28, 7
0, 3, 0, -3.566, 1.504, 0.94, 1.829, -1.224, 0.178, -1.454, 0.92, 0.767, 1.059, 7
0, 5, 1, -4.172, 3.188, -0.375, 1.028, -1.41, 0.0080, 0.513, 0.635, 0.802, -0.28, 7
1, 12, 1, -3.44, 3.203, -0.698, -0.86, -0.542, 1.503, 0.922, 0.467, -0.183, -0.919, 7
1, 13, 1, -3.792, 4.29, -1.531, -0.125, -0.312, 0.624, 0.324, -0.053, -0.942, -0.301, 7
1, 9, 0, -4.069, 4.205, -0.614, -0.06, -1.462, 0.476, 0.381, 0.589, 0.405, -0.259, 7
1, 10, 0, -4.089, 3.712, 0.315, -0.05, -0.929, 0.018, -0.35, 1.77, 0.244, -0.301, 7
1, 14, 1, -3.706, 3.627, -0.889, -0.789, -0.093, 1.223, 0.814, 0.563, 0.062, -0.449, 7
0, 1, 0, -3.941, 3.353, 0.486, -0.506, -1.12, 0.101, 0.297, 0.711, -0.078, 0.648, 7
0, 3, 0, -3.155, 1.021, 0.455, 0.624, -1.306, 0.842, -0.123, 0.909, 0.328, 0.876, 8
0, 4, 1, -4.129, 2.686, 0.308, -0.125, 0.117, 0.393, 0.199, 0.308, -0.478, -0.909, 8
1, 13, 1, -4.052, 2.335, -0.415, 0.732, 0.234, 0.426, -0.49, -0.218, -0.618, 0.34, 8
0, 0, 0, -3.712, 1.816, -1.171, 0.647, -0.767, 1.698, -0.347, 0.92, 0.159, -0.359, 8
0, 7, 1, -4.58, 4.116, -0.753, -0.849, 0.516, 0.498, 0.117, 0.181, -1.256, -0.119, 8
1, 8, 0, -3.915, 2.158, 0.781, 0.643, -1.023, 0.598, -0.718, 0.274, 0.376, 0.77, 8
1, 12, 1, -3.905, 3.147, -1.259, 0.304, -0.216, 1.055, 0.578, 0.353, -0.517, -0.871, 8
1, 9, 0, -4.174, 3.54, -1.43, 0.417, 0.267, 0.918, -0.118, -0.267, -0.162, -0.71, 8
0, 6, 1, -3.984, 2.29, -0.103, -0.707, 0.297, 0.317, 0.857, 1.403, -1.253, -0.298, 8
1, 9, 0, -4.782, 3.325, -0.071, 0.663, -0.913, 1.012, -0.033, -0.103, 0.483, -0.202, 9
1, 12, 1, -4.386, 3.055, 0.075, -0.018, -0.436, 0.566, -0.288, 0.936, -0.577, -1.01, 9
1, 11, 0, -4.022, 0.941, -0.623, 1.461, 0.02, 1.904, -0.074, 0.464, -0.541, -0.211, 9
0, 3, 0, -4.066, 1.05, -0.049, 0.458, -0.357, 1.331, -0.129, 0.848, 0.509, 0.317, 9
0, 4, 1, -4.497, 3.018, 0.609, 0.115, 0.673, 0.709, -0.03, 0.861, -0.704, -1.038, 9
0, 6, 1, -5.069, 2.119, 0.826, -0.274, 0.576, 0.145, 0.308, 1.001, -1.412, -0.306, 9
1, 8, 0, -4.717, 0.829, 0.853, 1.98, -0.546, 0.688, -0.434, -0.424, -0.636, 1.245, 9
0, 0, 0, -3.869, 1.86, -1.646, 1.612, 0.044, 1.531, -0.493, 0.862, -0.106, -1.001, 9
1, 14, 1, -4.008, 2.141, -0.18, 1.041, 0.688, 0.712, -0.879, -0.201, -1.066, -0.549, 9
0, 0, 0, -2.859, 1.627, -1.14, 0.769, -0.948, 1.39, -0.608, 0.956, -0.204, -0.727, 10
1, 14, 1, -3.291, 2.324, -0.679, 0.285, 0.441, 0.557, -0.227, 0.115, -1.046, 0.697, 10
0, 3, 0, -2.608, 0.839, 0.203, 0.305, -0.851, 0.78, -0.143, 0.607, 0.344, 0.106, 10
0, 7, 1, -4.115, 1.856, -0.738, 0.132, 0.658, 0.329, -0.252, -0.123, -0.53, 0.456, 10
1, 11, 0, -3.209, 1.85, -0.394, 0.555, 0.425, 0.313, 0.067, 0.077, -0.163, -0.944, 10
0, 1, 0, -3.03, 1.185, 0.314, -0.121, -0.591, 0.965, 0.353, -0.137, -0.221, 0.075, 10
0, 5, 1, -3.006, 1.407, -0.875, 0.945, -0.495, 0.721, 0.212, 0.75, -0.037, -1.054, 10
1, 8, 0, -2.895, 0.682, -0.151, 0.218, -0.689, 1.118, -0.264, 0.922, 0.757, 0.327, 10
1, 12, 1, -3.012, 2.252, -0.806, 0.389, -0.11, 0.649, -0.328, 0.321, -0.559, 0.234, 10
