@relation  winequality-red
@attribute FixedAcidity numeric
@attribute VolatileAcidity numeric
@attribute CitricAcid numeric
@attribute ResidualSugar numeric
@attribute Chlorides numeric
@attribute FreeSulfurDioxide numeric
@attribute TotalSulfurDioxide numeric
@attribute Density numeric
@attribute PH numeric
@attribute Sulphates numeric
@attribute Alcohol numeric
@attribute Quality {0,1,2,3,4,5,6,7,8,9,10}


@data
7.4, 1.185, 0.0, 4.25, 0.097, 5.0, 14.0, 0.9966, 3.63, 0.54, 10.7, 3
8.3, 0.845, 0.01, 2.2, 0.07, 5.0, 14.0, 0.9967, 3.32, 0.58, 11.0, 4
8.1, 0.87, 0.0, 3.3, 0.096, 26.0, 61.0, 1.00025, 3.6, 0.72, 9.8, 4
6.8, 0.68, 0.09, 3.9, 0.068, 15.0, 29.0, 0.99524, 3.41, 0.52, 11.1, 4
12.5, 0.46, 0.49, 4.5, 0.07, 26.0, 49.0, 0.9981, 3.05, 0.57, 9.6, 4
7.5, 0.685, 0.07, 2.5, 0.058, 5.0, 9.0, 0.99632, 3.38, 0.55, 10.9, 4
7.8, 0.43, 0.7, 1.9, 0.464, 22.0, 67.0, 0.9974, 3.13, 1.28, 9.4, 5
7.4, 0.49, 0.19, 3.0, 0.077, 16.0, 37.0, 0.9966, 3.37, 0.51, 10.5, 5
9.0, 0.45, 0.49, 2.6, 0.084, 21.0, 75.0, 0.9987, 3.35, 0.57, 9.7, 5
7.0, 0.6, 0.3, 4.5, 0.068, 20.0, 110.0, 0.99914, 3.3, 1.17, 10.2, 5
10.6, 0.36, 0.59, 2.2, 0.152, 6.0, 18.0, 0.9986, 3.04, 1.05, 9.4, 5
7.0, 0.58, 0.12, 1.9, 0.091, 34.0, 124.0, 0.9956, 3.44, 0.48, 10.5, 5
6.4, 0.64, 0.21, 1.8, 0.081, 14.0, 31.0, 0.99689, 3.59, 0.66, 9.8, 5
8.3, 0.615, 0.22, 2.6, 0.087, 6.0, 19.0, 0.9982, 3.26, 0.61, 9.3, 5
12.3, 0.5, 0.49, 2.2, 0.089, 5.0, 14.0, 1.0002, 3.19, 0.44, 9.6, 5
7.4, 0.5, 0.47, 2.0, 0.086, 21.0, 73.0, 0.997, 3.36, 0.57, 9.1, 5
8.8, 0.41, 0.64, 2.2, 0.093, 9.0, 42.0, 0.9986, 3.54, 0.66, 10.5, 5
10.2, 0.24, 0.49, 2.4, 0.075, 10.0, 28.0, 0.9978, 3.14, 0.61, 10.4, 5
8.2, 0.5, 0.35, 2.9, 0.077, 21.0, 127.0, 0.9976, 3.23, 0.62, 9.4, 5
6.8, 0.64, 0.1, 2.1, 0.085, 18.0, 101.0, 0.9956, 3.34, 0.52, 10.2, 5
8.5, 0.34, 0.44, 1.7, 0.079, 6.0, 12.0, 0.99605, 3.52, 0.63, 10.7, 5
8.2, 0.28, 0.6, 3.0, 0.104, 10.0, 22.0, 0.99828, 3.39, 0.68, 10.6, 5
9.6, 0.88, 0.28, 2.4, 0.086, 30.0, 147.0, 0.9979, 3.24, 0.53, 9.4, 5
6.9, 0.67, 0.06, 2.1, 0.08, 8.0, 33.0, 0.99845, 3.68, 0.71, 9.6, 5
8.1, 0.78, 0.23, 2.6, 0.059, 5.0, 15.0, 0.997, 3.37, 0.56, 11.3, 5
8.3, 0.65, 0.1, 2.9, 0.089, 17.0, 40.0, 0.99803, 3.29, 0.55, 9.5, 5
9.5, 0.37, 0.52, 2.0, 0.082, 6.0, 26.0, 0.998, 3.18, 0.51, 9.5, 5
8.4, 0.56, 0.08, 2.1, 0.105, 16.0, 44.0, 0.9958, 3.13, 0.52, 11.0, 5
6.1, 0.715, 0.1, 2.6, 0.053, 13.0, 27.0, 0.99362, 3.57, 0.5, 11.9, 5
6.7, 0.58, 0.08, 1.8, 0.097, 15.0, 65.0, 0.9959, 3.28, 0.54, 9.2, 5
7.4, 0.64, 0.07, 1.8, 0.1, 8.0, 23.0, 0.9961, 3.3, 0.58, 9.6, 5
7.5, 0.6, 0.03, 1.8, 0.095, 25.0, 99.0, 0.995, 3.35, 0.54, 10.1, 5
7.5, 0.42, 0.32, 2.7, 0.067, 7.0, 25.0, 0.99628, 3.24, 0.44, 10.4, 5
8.0, 0.28, 0.44, 1.8, 0.081, 28.0, 68.0, 0.99501, 3.36, 0.66, 11.2, 5
7.6, 0.645, 0.03, 1.9, 0.086, 14.0, 57.0, 0.9969, 3.37, 0.46, 10.3, 5
6.4, 0.795, 0.0, 2.2, 0.065, 28.0, 52.0, 0.99378, 3.49, 0.52, 11.6, 5
7.9, 0.35, 0.21, 1.9, 0.073, 46.0, 102.0, 0.9964, 3.27, 0.58, 9.5, 5
5.9, 0.46, 0.0, 1.9, 0.077, 25.0, 44.0, 0.99385, 3.5, 0.53, 11.2, 5
7.4, 0.39, 0.48, 2.0, 0.082, 14.0, 67.0, 0.9972, 3.34, 0.55, 9.2, 5
7.8, 0.43, 0.32, 2.8, 0.08, 29.0, 58.0, 0.9974, 3.31, 0.64, 10.3, 5
8.0, 0.39, 0.3, 1.9, 0.074, 32.0, 84.0, 0.99717, 3.39, 0.61, 9.0, 5
7.0, 0.805, 0.0, 2.5, 0.068, 7.0, 20.0, 0.9969, 3.48, 0.56, 9.6, 5
8.2, 0.39, 0.49, 2.3, 0.099, 47.0, 133.0, 0.9979, 3.38, 0.99, 9.8, 5
7.2, 0.725, 0.05, 4.65, 0.086, 4.0, 11.0, 0.9962, 3.41, 0.39, 10.9, 5
6.9, 0.52, 0.25, 2.6, 0.081, 10.0, 37.0, 0.99685, 3.46, 0.5, 11.0, 5
7.4, 0.61, 0.01, 2.0, 0.074, 13.0, 38.0, 0.99748, 3.48, 0.65, 9.8, 5
9.2, 0.43, 0.49, 2.4, 0.086, 23.0, 116.0, 0.9976, 3.23, 0.64, 9.5, 5
7.3, 1.07, 0.09, 1.7, 0.178, 10.0, 89.0, 0.9962, 3.3, 0.57, 9.0, 5
8.7, 0.625, 0.16, 2.0, 0.101, 13.0, 49.0, 0.9962, 3.14, 0.57, 11.0, 5
8.6, 0.52, 0.38, 1.5, 0.096, 5.0, 18.0, 0.99666, 3.2, 0.52, 9.4, 5
6.0, 0.64, 0.05, 1.9, 0.066, 9.0, 17.0, 0.99496, 3.52, 0.78, 10.6, 5
8.4, 0.62, 0.09, 2.2, 0.084, 11.0, 108.0, 0.9964, 3.15, 0.66, 9.8, 5
7.2, 0.62, 0.06, 2.7, 0.077, 15.0, 85.0, 0.99746, 3.51, 0.54, 9.5, 5
6.8, 0.67, 0.0, 1.9, 0.08, 22.0, 39.0, 0.99701, 3.4, 0.74, 9.7, 5
6.9, 0.63, 0.02, 1.9, 0.078, 18.0, 30.0, 0.99712, 3.4, 0.75, 9.8, 5
9.9, 0.54, 0.26, 2.0, 0.111, 7.0, 60.0, 0.99709, 2.94, 0.98, 10.2, 5
7.8, 0.56, 0.19, 1.8, 0.104, 12.0, 47.0, 0.9964, 3.19, 0.93, 9.5, 5
10.7, 0.43, 0.39, 2.2, 0.106, 8.0, 32.0, 0.9986, 2.89, 0.5, 9.6, 5
15.6, 0.645, 0.49, 4.2, 0.095, 10.0, 23.0, 1.00315, 2.92, 0.74, 11.1, 5
9.5, 0.57, 0.27, 2.3, 0.082, 23.0, 144.0, 0.99782, 3.27, 0.55, 9.4, 5
7.3, 0.32, 0.23, 2.3, 0.066, 35.0, 70.0, 0.99588, 3.43, 0.62, 10.1, 5
9.0, 0.66, 0.17, 3.0, 0.077, 5.0, 13.0, 0.9976, 3.29, 0.55, 10.4, 5
7.5, 0.61, 0.26, 1.9, 0.073, 24.0, 88.0, 0.99612, 3.3, 0.53, 9.8, 5
8.0, 1.18, 0.21, 1.9, 0.083, 14.0, 41.0, 0.99532, 3.34, 0.47, 10.5, 5
7.0, 0.735, 0.05, 2.0, 0.081, 13.0, 54.0, 0.9966, 3.39, 0.57, 9.8, 5
7.5, 0.58, 0.2, 2.0, 0.073, 34.0, 44.0, 0.99494, 3.1, 0.43, 9.3, 5
6.6, 0.63, 0.0, 4.3, 0.093, 51.0, 77.5, 0.99558, 3.2, 0.45, 9.5, 5
8.6, 0.37, 0.65, 6.4, 0.08, 3.0, 8.0, 0.99817, 3.27, 0.58, 11.0, 5
10.6, 0.28, 0.39, 15.5, 0.069, 6.0, 23.0, 1.0026, 3.12, 0.66, 9.2, 5
7.1, 0.52, 0.03, 2.6, 0.076, 21.0, 92.0, 0.99745, 3.5, 0.6, 9.8, 5
