@relation  banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class {-1.0,1.0}


@data
-0.398, -1.28, -1.0
-0.279, -1.06, -1.0
-0.619, -0.748, -1.0
-0.52, 1.2, -1.0
0.505, 1.45, -1.0
0.365, 0.632, -1.0
-0.882, 1.29, -1.0
0.999, 0.811, -1.0
-0.439, 1.37, -1.0
0.253, -1.3, -1.0
1.1, 0.604, -1.0
1.03, 1.29, -1.0
0.444, 1.14, -1.0
-0.226, -1.45, -1.0
-1.68, 0.93, -1.0
0.211, -1.28, -1.0
0.428, -1.43, -1.0
0.994, 0.0734, -1.0
-0.126, -1.67, -1.0
1.23, -0.00847, -1.0
0.0604, 1.64, -1.0
1.14, 0.376, -1.0
1.06, -0.232, -1.0
1.11, 0.989, -1.0
0.0909, -1.39, -1.0
-0.59, -1.04, -1.0
1.64, 0.513, -1.0
1.47, -0.0578, -1.0
-1.12, -1.39, -1.0
0.238, 1.74, -1.0
1.2, 0.298, -1.0
0.722, 0.153, -1.0
-0.779, 1.09, -1.0
-0.689, -1.45, -1.0
-0.285, 1.39, -1.0
0.465, -1.26, -1.0
-0.342, -1.31, -1.0
-0.926, 0.916, -1.0
0.924, 0.701, -1.0
1.4, 0.855, -1.0
-1.98, 0.345, -1.0
-0.676, 0.797, -1.0
0.923, 0.933, -1.0
-0.932, -1.02, -1.0
1.57, -0.0786, -1.0
-0.512, -0.954, -1.0
0.199, -0.86, -1.0
-1.34, 0.54, -1.0
-0.124, -0.95, -1.0
-0.298, -1.26, -1.0
-0.165, -0.697, -1.0
0.258, -0.85, -1.0
0.143, -0.786, -1.0
0.0886, -0.844, -1.0
-1.05, 0.72, -1.0
0.924, 0.861, -1.0
0.198, -1.19, -1.0
0.932, 0.501, -1.0
-0.862, 1.01, -1.0
0.157, 0.956, -1.0
0.794, 1.01, -1.0
1.01, 0.555, -1.0
-0.741, 0.979, -1.0
0.568, 0.244, -1.0
1.09, 0.614, -1.0
-0.0113, -0.78, -1.0
0.177, -1.07, -1.0
-1.01, -1.53, -1.0
-0.384, -1.08, -1.0
-0.734, 1.25, -1.0
-0.412, -0.689, -1.0
-0.117, 1.47, -1.0
1.41, 0.83, -1.0
0.659, 0.913, -1.0
-1.55, 0.695, -1.0
-0.139, -1.26, -1.0
-0.79, -0.823, -1.0
-0.471, -0.919, -1.0
-1.62, 0.102, -1.0
1.3, 0.648, -1.0
-0.736, -1.14, -1.0
0.952, 0.616, -1.0
-1.3, 0.867, -1.0
1.33, 0.335, -1.0
-0.936, -1.5, -1.0
1.38, 0.131, -1.0
1.11, -0.106, -1.0
1.29, 0.23, -1.0
0.0949, -1.56, -1.0
-1.04, 0.984, -1.0
-0.434, -1.16, -1.0
1.36, 0.258, -1.0
0.0128, 1.29, -1.0
-0.56, 1.06, -1.0
0.17, -0.719, -1.0
1.11, 0.431, -1.0
-0.806, 0.941, -1.0
1.34, -0.261, -1.0
-0.162, 1.84, -1.0
1.27, -0.685, -1.0
0.552, 0.942, -1.0
-1.13, 1.01, -1.0
0.592, 0.973, -1.0
0.0533, -1.02, -1.0
0.469, 1.91, -1.0
0.217, -0.961, -1.0
1.3, -0.028, -1.0
0.321, 1.58, -1.0
-0.162, -1.24, -1.0
-1.37, 0.928, -1.0
-0.995, -0.937, -1.0
-1.19, 1.14, -1.0
-1.14, 0.915, -1.0
0.194, -1.27, -1.0
0.431, -1.46, -1.0
-0.375, -1.39, -1.0
1.18, -0.0335, -1.0
0.657, 1.05, -1.0
-1.04, -1.08, -1.0
-0.137, -1.16, -1.0
-0.467, -1.51, -1.0
0.032, -1.5, -1.0
1.22, 0.423, -1.0
-0.0571, -1.5, -1.0
-0.779, -1.14, -1.0
-0.0868, -1.33, -1.0
-0.369, -0.965, -1.0
-0.279, -1.25, -1.0
-0.416, -0.941, -1.0
-0.0545, -1.45, -1.0
-0.8, 1.66, -1.0
0.359, 1.52, -1.0
1.24, 0.828, -1.0
-0.758, 0.794, -1.0
-0.433, -1.13, -1.0
-1.78, 0.819, -1.0
-1.15, 0.729, -1.0
0.0301, -0.894, -1.0
-1.69, 0.706, -1.0
-0.155, -1.03, -1.0
-0.00264, -1.02, -1.0
-0.647, 1.08, -1.0
-0.227, -1.19, -1.0
-0.534, -1.4, -1.0
0.35, 0.889, -1.0
-0.835, -1.06, -1.0
-1.54, 0.503, -1.0
-1.02, 0.968, -1.0
1.49, 0.365, -1.0
-0.626, -1.18, -1.0
-0.667, -0.895, -1.0
1.19, 0.594, -1.0
0.263, -1.48, -1.0
-0.0476, -1.24, -1.0
0.784, 1.39, -1.0
1.23, -0.115, -1.0
-0.364, -1.4, -1.0
-0.86, -1.27, -1.0
1.18, 0.204, -1.0
-0.701, 1.17, -1.0
0.383, -0.987, -1.0
0.234, 0.958, -1.0
1.05, 0.444, -1.0
0.328, 1.28, -1.0
0.314, 1.54, -1.0
-0.583, -0.743, -1.0
-2.32, 0.0861, -1.0
-0.794, 1.24, -1.0
1.28, -0.236, -1.0
0.07, 1.7, -1.0
-0.203, 1.26, -1.0
1.07, 0.512, -1.0
-0.652, -1.54, -1.0
-0.357, 1.51, -1.0
0.809, 0.741, -1.0
1.29, 0.525, -1.0
-0.0172, -1.03, -1.0
-1.54, 0.643, -1.0
-0.623, 1.24, -1.0
1.45, 0.211, -1.0
1.22, 1.04, -1.0
-0.932, -1.15, -1.0
0.0624, -1.05, -1.0
0.432, 0.749, -1.0
0.387, 1.71, -1.0
-0.021, -1.09, -1.0
-0.642, -1.35, -1.0
0.0292, -1.21, -1.0
-1.08, -1.17, -1.0
-1.63, 0.293, -1.0
-0.0264, -0.952, -1.0
1.49, -0.886, -1.0
-0.307, 0.938, -1.0
0.405, -1.2, -1.0
1.85, -0.558, -1.0
1.19, 0.997, -1.0
-0.869, 1.38, -1.0
0.711, 0.787, -1.0
0.444, 1.99, -1.0
1.22, -0.0466, -1.0
0.504, 1.78, -1.0
-0.558, -1.67, -1.0
-1.16, -1.01, -1.0
-0.0461, 1.65, -1.0
-0.911, -0.908, -1.0
-0.811, -1.35, -1.0
-1.66, 0.835, -1.0
0.388, 0.863, -1.0
0.479, 1.48, -1.0
-0.0261, -1.38, -1.0
0.176, -1.11, -1.0
-0.0697, 1.56, -1.0
-0.783, -1.33, -1.0
0.291, 1.34, -1.0
-0.487, -1.19, -1.0
0.422, 2.33, -1.0
-0.737, -0.617, -1.0
-0.27, -1.28, -1.0
1.42, -0.146, -1.0
-0.968, -0.912, -1.0
-0.25, -1.23, -1.0
0.934, 0.32, -1.0
0.21, -1.26, -1.0
0.351, -0.964, -1.0
-0.731, -0.906, -1.0
1.89, -0.243, -1.0
-2.0, 0.403, -1.0
0.625, 1.67, -1.0
0.123, -1.24, -1.0
0.127, 1.94, -1.0
0.604, 0.555, -1.0
-1.8, 0.529, -1.0
0.354, 1.06, -1.0
0.847, 1.4, -1.0
-0.376, 1.33, -1.0
1.64, -0.605, -1.0
-1.41, 1.09, -1.0
-0.391, 1.03, -1.0
-0.496, 1.41, -1.0
-0.956, 1.11, -1.0
-0.599, 1.44, -1.0
-1.11, 1.1, -1.0
-0.524, -0.857, -1.0
-0.951, 1.39, -1.0
0.386, 1.55, -1.0
0.675, 0.886, -1.0
-0.0957, -1.06, -1.0
-0.83, -1.08, -1.0
0.726, 0.289, -1.0
-0.0338, 1.52, -1.0
-1.96, 0.445, -1.0
-0.617, -1.02, -1.0
-1.46, 0.657, -1.0
0.851, 0.598, -1.0
-0.817, -0.783, -1.0
-0.753, 1.1, -1.0
-0.414, -1.28, -1.0
1.02, 0.858, -1.0
0.85, 0.726, -1.0
0.879, 1.03, -1.0
-0.761, -1.44, -1.0
0.545, 1.28, -1.0
-0.615, -0.97, -1.0
-0.372, 1.54, -1.0
-0.181, -1.1, -1.0
-1.15, 0.587, -1.0
-0.888, -1.59, -1.0
0.735, 0.932, -1.0
-0.666, -1.1, -1.0
-2.37, -0.01, -1.0
-0.876, -1.0, -1.0
-0.753, -1.08, -1.0
-0.509, 0.912, -1.0
-0.187, -1.38, -1.0
0.0935, 2.1, -1.0
-0.0699, -1.2, -1.0
0.372, -0.809, -1.0
1.72, -0.259, -1.0
1.04, 0.952, -1.0
-0.798, -1.21, -1.0
0.867, 0.81, -1.0
-0.539, -1.21, -1.0
-0.443, 1.86, -1.0
-1.04, -1.42, -1.0
1.19, 0.812, -1.0
0.0598, -1.26, -1.0
0.265, -1.06, -1.0
-0.63, 0.949, -1.0
0.196, 1.27, -1.0
1.4, 0.377, -1.0
-0.753, 1.18, -1.0
0.535, 1.4, -1.0
0.216, -1.12, -1.0
-1.52, 0.388, -1.0
0.81, 1.93, -1.0
0.746, 0.441, -1.0
-0.724, -0.973, -1.0
0.489, 0.904, -1.0
1.3, 0.186, -1.0
-1.25, -1.1, -1.0
1.31, -0.254, -1.0
0.117, -1.07, -1.0
-0.301, 1.69, -1.0
2.06, -0.482, -1.0
-1.26, -0.912, -1.0
0.401, -1.31, -1.0
0.521, -1.04, -1.0
1.47, 0.574, -1.0
1.41, -0.447, -1.0
-0.435, -1.53, -1.0
-0.142, 1.65, -1.0
0.91, 0.665, -1.0
-0.275, -1.6, -1.0
-1.01, -1.36, -1.0
1.77, 0.239, -1.0
-0.138, -1.37, -1.0
-0.68, -1.07, -1.0
-1.74, 0.975, -1.0
0.802, 0.133, -1.0
-1.2, 0.455, -1.0
-1.57, 0.905, -1.0
-0.447, -1.0, -1.0
-0.862, 1.53, -1.0
-0.446, -1.28, -1.0
0.446, -1.07, -1.0
-0.0723, -1.08, -1.0
0.249, -1.46, -1.0
1.77, 0.013, -1.0
1.59, -0.0963, -1.0
-1.58, 0.456, -1.0
-0.999, 1.2, -1.0
-1.4, 0.553, -1.0
-1.47, 0.96, -1.0
1.57, -0.389, -1.0
0.308, -1.06, -1.0
1.11, 0.685, -1.0
1.07, 0.441, -1.0
0.781, 0.415, -1.0
-0.96, 0.644, -1.0
0.144, 1.56, -1.0
0.63, -1.23, -1.0
0.0973, -1.33, -1.0
1.13, 1.48, -1.0
1.5, 0.0442, -1.0
0.719, 0.759, -1.0
-0.523, -1.31, -1.0
-0.638, 1.32, -1.0
-0.509, -0.824, -1.0
0.121, 1.63, -1.0
1.22, 1.35, -1.0
-0.372, -1.11, -1.0
0.676, 0.925, -1.0
1.39, 0.504, -1.0
-0.31, -1.38, -1.0
1.0, 0.654, -1.0
0.915, 1.15, -1.0
0.805, 0.42, -1.0
1.64, 0.0477, -1.0
0.802, 0.852, -1.0
1.97, -0.772, -1.0
1.21, 0.151, -1.0
0.546, -1.12, -1.0
0.303, -1.35, -1.0
-0.817, -1.19, -1.0
-0.946, 1.02, -1.0
-0.424, 2.01, -1.0
1.42, -0.656, -1.0
1.53, 0.0838, -1.0
0.229, 1.63, -1.0
1.95, -1.02, -1.0
-0.413, 1.17, -1.0
-1.59, 0.763, -1.0
0.0941, 1.44, -1.0
0.155, 1.88, -1.0
0.557, 1.38, -1.0
