@relation  phoneme
@attribute Aa real[-1.7,4.107]
@attribute Ao real[-1.327,4.378]
@attribute Dcl real[-1.823,3.199]
@attribute Iy real[-1.581,2.826]
@attribute Sh real[-1.284,2.719]
@attribute Class {0,1}


@data
1.138, 2.163, -0.383, 0.261, -0.189, 0
2.88, 0.332, 0.196, 0.084, 0.108, 0
0.742, 3.039, -0.471, -0.191, 0.189, 0
3.074, 0.471, -0.12, -0.069, -0.049, 0
0.41, 1.803, 1.288, 0.483, -0.278, 0
1.203, 1.319, 0.321, 0.196, 0.163, 0
2.075, 2.142, 0.539, 0.457, 0.301, 0
0.355, 1.816, 2.572, -0.621, -0.272, 0
0.279, 1.213, 2.769, -0.858, -0.372, 0
0.996, 1.089, 0.307, 0.177, -0.103, 0
2.329, 0.794, 0.311, -0.082, 0.075, 0
2.859, -0.254, -0.116, 0.081, 0.068, 0
0.117, 0.276, 0.554, 1.391, 1.095, 0
0.158, 0.416, 0.499, 2.135, -0.893, 0
-0.385, -0.797, -0.293, -0.102, -0.069, 0
1.18, 0.843, 0.243, 0.104, 0.104, 0
-0.18, -0.322, -0.604, 1.05, 0.0, 0
1.009, 2.476, -0.405, 0.426, 1.02, 0
0.438, 0.442, 1.164, 1.157, 0.813, 0
0.189, 0.533, 0.612, 1.954, 0.987, 0
1.956, 1.436, -0.279, 0.231, -0.102, 0
0.531, 2.105, -0.397, -0.201, -0.103, 0
0.389, 3.191, -0.499, -0.204, -0.136, 0
1.575, 1.624, 0.778, 0.398, 0.394, 0
0.174, 0.619, 1.468, 1.262, 0.0, 0
1.204, 0.779, 0.25, -0.105, 0.122, 0
0.229, 1.09, -0.266, 0.525, 0.0, 0
0.271, 1.286, 2.305, -0.702, 0.0, 0
0.243, 1.014, 2.373, 1.039, 0.0, 0
0.762, 1.413, 0.5, 0.195, -0.081, 0
1.347, 0.967, -0.186, 0.094, 0.0, 0
0.642, 2.75, 0.852, 0.322, 0.188, 0
2.242, 1.295, 0.702, -0.169, 0.202, 0
2.544, 0.78, 0.363, 0.243, 0.533, 0
0.38, 2.328, -0.485, 0.285, -0.111, 0
0.412, 1.999, -0.332, -0.174, -0.087, 0
-0.146, 2.06, 1.0, 0.441, 0.0, 0
0.864, 2.73, -0.456, -0.199, -0.122, 0
0.237, 1.471, 2.037, 0.986, 1.198, 0
0.139, 0.342, 0.668, 1.827, 0.0, 0
0.083, 0.345, 0.349, 1.171, 1.321, 0
0.587, 2.481, 1.733, -0.49, -0.215, 0
0.249, 1.315, 1.175, 0.572, 0.0, 0
0.495, 2.202, -0.38, -0.156, -0.088, 0
0.486, 2.458, -0.453, -0.202, 0.0, 0
0.288, 2.901, -0.434, 0.25, 0.164, 0
0.609, 1.765, 1.198, 0.905, 1.245, 0
0.175, 1.247, 1.442, 0.482, -0.184, 0
