@relation  ring
@attribute A1 real[-6879.0,6285.0]
@attribute A2 real[-7141.0,6921.0]
@attribute A3 real[-7734.0,7611.0]
@attribute A4 real[-6627.0,7149.0]
@attribute A5 real[-7184.0,6383.0]
@attribute A6 real[-6946.0,6743.0]
@attribute A7 real[-7781.0,6285.0]
@attribute A8 real[-6882.0,6357.0]
@attribute A9 real[-7184.0,7487.0]
@attribute A10 real[-7232.0,6757.0]
@attribute A11 real[-7803.0,7208.0]
@attribute A12 real[-7395.0,6791.0]
@attribute A13 real[-7096.0,6403.0]
@attribute A14 real[-7472.0,7261.0]
@attribute A15 real[-7342.0,7372.0]
@attribute A16 real[-7121.0,6905.0]
@attribute A17 real[-7163.0,7175.0]
@attribute A18 real[-8778.0,6896.0]
@attribute A19 real[-7554.0,5726.0]
@attribute A20 real[-6722.0,7627.0]
@attribute Class {0,1}


@data
535.0, 1022.0, -3667.0, 834.0, 264.0, 2985.0, 5.0, -1104.0, -228.0, -119.0, 417.0, 204.0, 537.0, 716.0, -714.0, 1204.0, 1837.0, -1203.0, -2591.0, 157.0, 0
-374.0, -195.0, -1181.0, -477.0, -338.0, -2359.0, -651.0, 8.0, -2317.0, 3345.0, -946.0, 2653.0, -4277.0, 1111.0, 1686.0, 2505.0, -2733.0, -105.0, 2499.0, 912.0, 0
1587.0, -409.0, -2343.0, -1377.0, -649.0, -2787.0, 2384.0, 116.0, -2418.0, -884.0, 391.0, -1243.0, -703.0, 57.0, -1832.0, -1472.0, -2527.0, -3421.0, -1172.0, -3435.0, 0
-245.0, -478.0, -1502.0, -1414.0, 715.0, -1926.0, 1532.0, 474.0, -1243.0, 1361.0, -3838.0, 2179.0, 1307.0, -3695.0, 2213.0, 2028.0, 1657.0, -525.0, 1168.0, 828.0, 0
372.0, -536.0, 642.0, 68.0, -1032.0, 317.0, -203.0, 5778.0, -3891.0, 84.0, -1895.0, 3594.0, -577.0, 97.0, 376.0, 1665.0, -1722.0, -327.0, 744.0, 27.0, 0
4634.0, 3873.0, 2578.0, 917.0, -1747.0, -462.0, 2885.0, -1255.0, 453.0, -1479.0, -1267.0, 1459.0, 1817.0, 165.0, -2551.0, 1411.0, 3601.0, 2383.0, 1036.0, 2221.0, 0
-4681.0, 855.0, -1887.0, -997.0, 861.0, 225.0, -223.0, -3016.0, 2987.0, -2042.0, -335.0, -99.0, -71.0, 1179.0, 21.0, 9.0, 1044.0, 1473.0, -807.0, 181.0, 0
1865.0, -1509.0, -588.0, -1738.0, 824.0, -4141.0, 2725.0, 154.0, 1815.0, 56.0, 1208.0, -113.0, 1377.0, -3278.0, -81.0, 172.0, -244.0, 2004.0, 1896.0, -759.0, 0
1374.0, -1928.0, -953.0, -129.0, -2954.0, 172.0, -1774.0, 1008.0, 82.0, -2673.0, -1529.0, -951.0, -353.0, 2168.0, -1548.0, -346.0, 426.0, -2852.0, -726.0, -45.0, 0
-919.0, -54.0, 1182.0, 1657.0, 216.0, 5712.0, 698.0, 2739.0, -2051.0, 206.0, 1228.0, -2196.0, -9.0, -1785.0, -2203.0, -1301.0, 179.0, -103.0, -137.0, 85.0, 0
1259.0, 1365.0, 97.0, 97.0, 2937.0, -271.0, 1815.0, -1107.0, 2528.0, 186.0, -3195.0, 677.0, -1235.0, 2531.0, 6033.0, -507.0, -1256.0, -2229.0, -1558.0, -3252.0, 0
