@relation  segment
@attribute Region-centroid-col real[1.0,254.0]
@attribute Region-centroid-row real[11.0,251.0]
@attribute Region-pixel-count real[9.0,10.0]
@attribute Short-line-density-5 real[0.0,0.33333334]
@attribute Short-line-density-2 real[0.0,0.22222222]
@attribute Vedge-mean real[0.0,29.222221]
@attribute Vegde-sd real[0.0,991.7184]
@attribute Hedge-mean real[0.0,44.722225]
@attribute Hedge-sd real[-1.5894573E-8,1386.3292]
@attribute Intensity-mean real[0.0,143.44444]
@attribute Rawred-mean real[0.0,137.11111]
@attribute Rawblue-mean real[0.0,150.88889]
@attribute Rawgreen-mean real[0.0,142.55556]
@attribute Exred-mean real[-49.666668,9.888889]
@attribute Exblue-mean real[-12.444445,82.0]
@attribute Exgreen-mean real[-33.88889,24.666666]
@attribute Value-mean real[0.0,150.88889]
@attribute Saturatoin-mean real[0.0,1.0]
@attribute Hue-mean real[-3.0441751,2.9124804]
@attribute Class{1,2,3,4,5,6,7}
@inputs Region-centroid-col,Region-centroid-row,Region-pixel-count,Short-line-density-5,Short-line-density-2,Vedge-mean,Vegde-sd,Hedge-mean,Hedge-sd,Intensity-mean,Rawred-mean,Rawblue-mean,Rawgreen-mean,Exred-mean,Exblue-mean,Exgreen-mean,Value-mean,Saturatoin-mean,Hue-mean
@outputs Class
@data
34.0, 137.0, 9.0, 0.0, 0.0, 0.5000002, 0.16666673, 1.111111, 0.47407418, 5.851852, 7.7777777, 6.4444447, 3.3333333, 5.7777777, 1.7777778, -7.5555553, 7.7777777, 0.57363313, -0.74427164, 1
73.0, 103.0, 9.0, 0.0, 0.0, 1.2777773, 0.32962978, 1.1111107, 1.5407397, 18.333334, 19.222221, 22.555555, 13.222222, 2.6666667, 12.666667, -15.333333, 22.555555, 0.41030627, -1.3974138, 1
33.0, 149.0, 9.0, 0.0, 0.0, 0.5555556, 0.25185165, 0.72222227, 0.15185171, 5.4444447, 4.111111, 8.666667, 3.5555556, -4.0, 9.666667, -5.6666665, 8.666667, 0.5783389, -1.9857028, 1
30.0, 56.0, 9.0, 0.0, 0.0, 1.5555553, 0.4296295, 1.4999996, 1.2777773, 23.703703, 22.11111, 31.333334, 17.666668, -4.7777777, 22.88889, -18.11111, 31.333334, 0.43595982, -1.7488347, 1
4.0, 87.0, 9.0, 0.11111111, 0.0, 2.7777777, 3.0962942, 2.722222, 4.3740745, 17.333334, 18.222221, 21.0, 12.777778, 2.6666667, 11.0, -13.666667, 21.11111, 0.39173108, -1.3183731, 1
23.0, 85.0, 9.0, 0.0, 0.0, 1.4444445, 1.0518525, 1.777778, 0.96296287, 17.962963, 18.88889, 21.88889, 13.111111, 2.7777777, 11.777778, -14.555555, 21.88889, 0.39975148, -1.386867, 1
193.0, 142.0, 9.0, 0.11111111, 0.0, 0.38888887, 0.06296293, 1.7222223, 0.15185216, 4.814815, 6.7777777, 5.2222223, 2.4444444, 5.888889, 1.2222222, -7.111111, 6.7777777, 0.646164, -0.675123, 1
72.0, 118.0, 9.0, 0.0, 0.0, 0.27777776, 0.06296293, 0.5555556, 0.11851845, 5.4814816, 6.5555553, 6.6666665, 3.2222223, 3.2222223, 3.5555556, -6.7777777, 7.111111, 0.5458554, -1.053347, 1
239.0, 122.0, 9.0, 0.0, 0.0, 0.27777776, 0.06296293, 0.33333334, 0.17777774, 5.5555553, 7.0, 6.6666665, 3.0, 4.3333335, 3.3333333, -7.6666665, 7.2222223, 0.5813492, -0.95343477, 1
121.0, 113.0, 9.0, 0.0, 0.0, 1.722222, 1.5296303, 2.944444, 1.5296295, 20.25926, 20.0, 25.444445, 15.333333, -0.7777778, 15.555555, -14.777778, 25.444445, 0.39658895, -1.5856091, 1
136.0, 70.0, 9.0, 0.0, 0.0, 1.0, 0.31111133, 1.7222223, 2.196296, 26.037037, 24.444445, 34.0, 19.666668, -4.7777777, 23.88889, -19.11111, 34.0, 0.42128146, -1.7451795, 1
