@relation  twonorm
@attribute A1 real[-4.2497,3.5782]
@attribute A2 real[-3.9606,4.3451]
@attribute A3 real[-4.4798,4.4039]
@attribute A4 real[-3.8891,4.2589]
@attribute A5 real[-3.9099,5.6395]
@attribute A6 real[-4.0095,3.9901]
@attribute A7 real[-3.7334,4.4522]
@attribute A8 real[-4.5744,3.8648]
@attribute A9 real[-3.8136,4.254]
@attribute A10 real[-4.1999,4.0829]
@attribute A11 real[-3.9204,4.0953]
@attribute A12 real[-3.8262,4.3025]
@attribute A13 real[-3.9451,3.7817]
@attribute A14 real[-3.8516,4.1238]
@attribute A15 real[-3.6978,3.5485]
@attribute A16 real[-3.6976,4.2439]
@attribute A17 real[-3.9428,3.7233]
@attribute A18 real[-4.0653,4.0557]
@attribute A19 real[-4.1218,4.3238]
@attribute A20 real[-3.7831,4.279]
@attribute Class{0,1}
@inputs A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
@outputs Class
@data
0.1999, 1.3259, 0.5859, 1.5749, 0.9276, 0.6628, 0.4391, 1.9917, -0.1991, 0.0962, 0.6011, 0.5584, -0.858, 2.3258, 2.7319, 0.6759, 0.5953, 0.1564, 0.9841, 0.7975, 0
1.6957, -0.208, 0.7636, 0.5256, -0.2174, 0.4135, 0.9908, -0.728, 0.0782, -1.6106, 0.4619, 1.3764, 2.0868, 0.0896, 1.6641, 2.0777, 0.3347, 0.2534, -0.166, 0.0357, 0
1.287, 1.0352, 0.0697, -0.1796, 0.5075, 1.3509, 0.3285, 0.5926, 0.1624, -0.2047, 0.9745, -1.2791, -0.6404, -0.1753, -0.2006, 1.249, 0.8384, 0.7032, 2.0933, -0.8198, 0
0.707, 0.3436, -1.8499, -1.3462, -1.8147, 2.0424, 1.3225, 0.3079, 0.1613, 0.1877, -0.1755, 0.9179, 1.4803, 0.7899, 0.3695, 0.6707, 0.9503, 0.8585, -0.0562, 0.2673, 0
-0.3575, 0.4662, 2.3263, 0.149, 1.4581, 0.1076, 0.0528, 0.7051, 0.9854, -1.2561, -0.2886, -1.5483, 0.6976, 0.1453, 0.0076, -0.8482, -0.4779, 0.8987, 0.2834, 0.6629, 0
0.8475, 0.4503, -0.7069, 0.2077, 0.2216, 0.6149, 0.4196, 0.5977, -0.1424, 0.0983, 1.5765, -0.3665, 0.0844, -0.0206, 0.4455, -0.1749, -0.1143, 0.2938, 0.2584, -0.663, 0
0.9365, 0.8022, -1.2781, -0.3633, 1.4692, 0.2282, 0.155, 0.9839, 0.106, 0.4074, 0.7239, -0.7822, 1.1102, 0.0376, -0.0687, -0.7105, -0.3408, -0.273, 0.8427, -0.6915, 0
0.6788, -0.335, -0.7995, -0.0988, -0.1275, -0.7172, 0.6283, 2.4246, 0.9285, 0.3573, 1.2527, 0.063, 0.9036, 0.6676, 0.7015, 0.9879, 0.6421, -1.3942, 0.286, 1.0962, 0
0.6257, -0.3624, -1.159, 0.9889, 0.6318, 1.082, 1.534, -1.2856, 0.2696, -0.772, -0.8706, 0.477, 0.4804, -0.0957, 1.3865, 1.2142, -0.0148, -0.3275, -1.505, 0.645, 0
-0.1648, 1.9793, 0.7802, 0.6303, 1.6617, 1.5949, 0.5359, 1.2126, 2.8256, 0.6417, 0.2206, 1.5015, -1.1448, 2.389, 1.0939, 0.5053, 2.5167, -0.3547, -0.1889, 0.1948, 0
0.5044, 0.6733, 0.089, 0.0943, 1.1707, -1.0952, 0.1684, -0.7588, -0.8035, -0.29, 2.0757, -0.5256, 0.4686, 1.3443, 0.7977, 1.392, 0.5406, 0.4898, 1.0662, 1.0554, 0
0.8365, 0.2637, -0.1299, -1.0389, 1.0211, -0.0667, 0.1503, 1.1729, 0.1215, 0.68, -1.5138, 1.6009, -0.4249, 0.9554, 0.604, 0.1386, 0.1801, 1.5143, 1.0405, 0.4291, 0
0.2255, 0.6844, 0.6051, 1.6244, 1.2661, 1.2254, -0.6662, 0.6546, 0.7741, 1.0732, -0.7417, 0.8945, 0.6646, 0.9305, 0.3348, -0.7826, 0.5211, 0.8698, 0.708, -0.0743, 0
0.5331, -0.9938, 0.9731, 0.1083, 0.4783, -1.825, 0.093, -0.0679, 0.2698, -0.4905, 2.0307, 0.0757, -0.2116, 0.5952, -1.4851, 0.9423, 0.044, 1.1766, 0.0065, -0.8998, 0
2.4622, 0.168, 0.8421, 0.0459, 0.5017, 1.8559, 1.559, -0.2945, -1.13, 0.1215, 0.7229, 0.2166, -1.1217, 0.7313, 2.1693, -0.277, 1.0023, -0.8635, 1.5884, 0.5078, 0
0.4307, -0.21, 0.467, 0.1649, 0.0234, 0.9918, 1.0528, 0.5348, 1.2828, 1.8156, 0.877, -1.2471, 1.0969, 0.4375, 0.1932, 1.2296, 0.5052, -0.4348, -1.3622, 0.1893, 0
-0.364, 0.9297, 0.5104, 0.9, 0.8688, 0.1246, 0.7386, 1.3809, 0.6539, 0.273, 1.7992, 2.6523, 2.0136, -1.2069, 1.2397, 0.9398, 0.1128, -0.7081, -0.103, 0.7558, 0
1.6011, 1.2812, 0.88, 2.3128, -0.2613, 1.367, 1.6772, 1.1266, -1.5491, -0.568, 0.0618, -0.0537, 1.8242, 1.0194, 2.2622, 1.9445, 0.9256, 0.7838, 0.8648, 1.478, 0
-0.8106, 0.3134, 0.7647, 0.7086, 0.1091, 0.4843, 0.2271, 0.195, 0.6864, -0.1621, 0.4804, 1.1927, 1.7807, 1.464, 0.5598, 0.4876, 1.9215, 0.2855, 0.6788, 0.425, 0
-0.4136, -0.0047, 0.1697, -0.4484, -1.5682, 0.5766, -0.1363, 0.3516, 1.987, -0.7339, -1.5461, -0.6389, 0.1312, 0.1685, 0.5544, -0.5699, 0.2146, 0.8478, 1.3985, -1.2165, 0
0.5598, 1.5174, 0.5304, 0.1714, -0.6085, 1.5867, 1.7592, -0.1816, 0.6741, -0.326, 1.1235, 1.7129, 0.4018, 0.9048, 1.1343, -0.0938, 0.1504, 1.143, 0.3252, -0.4435, 0
0.5616, 0.3383, 0.0050, -0.0347, -0.7992, 0.26, 0.0152, 0.2441, -0.2442, 1.0582, -1.0148, 0.9833, 1.4279, 0.9994, 0.4082, -0.5443, -0.8564, -0.4882, 0.8853, -0.8928, 0
1.1298, -1.2587, 0.8153, 0.626, -0.1545, 0.8732, -0.8575, -1.4326, 0.3558, 1.4602, -0.0319, -0.4861, 1.1354, 0.3774, 0.2752, 0.6883, 0.8809, 0.8474, -0.4332, -0.0999, 0
0.2436, 1.0363, 0.8518, 0.4543, 0.503, -1.4232, 0.7252, 0.4604, 0.4226, 0.2822, -0.4562, 0.227, -0.0678, 0.0563, 1.3175, -0.062, -0.1643, 0.7098, 1.3161, 1.3975, 0
1.0239, 0.2142, 1.4332, -0.0402, 0.6863, -0.4034, 0.7342, 1.4201, -0.0978, 1.1046, -0.4119, -0.6007, -0.3283, 0.1527, 0.3351, 0.7229, -0.1734, 0.4335, 0.3626, 0.4625, 0
-0.828, 0.5653, 0.0546, 0.1118, 0.1237, 0.7148, 1.4475, 0.9755, 0.1332, 0.5659, -0.2034, -0.1288, 0.9341, 0.5752, -0.3133, -0.5639, 3.2551, 0.4099, -0.3237, 2.4043, 0
1.0876, -0.4711, 0.2405, -0.8851, -0.271, 1.3105, 0.5894, -0.599, 2.227, 0.2956, -0.3875, 0.9755, -0.8483, 0.3682, -0.4001, -0.4932, -0.7466, -0.9174, 2.2324, 1.2131, 0
1.2577, 1.1562, 0.0887, 0.8507, 0.6377, -0.3001, 0.7158, 0.0787, 0.781, 0.5508, -1.3943, -0.7717, 0.5526, -0.5323, 0.2669, 1.4056, 0.5254, 0.5228, 1.9915, 1.0302, 0
0.5468, 0.2073, 2.0364, 0.8625, 0.1839, 1.9205, -0.3392, 0.2367, 0.8631, -0.3561, 1.9232, 0.8097, 0.0342, 1.1636, 1.3013, 0.0641, 0.3793, -0.4683, 0.2567, 0.7519, 0
2.0776, -0.0214, 0.3514, 0.5824, 1.3797, 0.3211, 2.4934, 1.095, -0.3575, 0.9841, 0.6934, -0.0409, 1.7094, 1.8689, 2.2847, 0.3312, 0.0797, -0.2378, 0.1871, 1.0068, 0
0.129, -0.6291, 0.2569, 0.8394, -0.0809, 0.7822, 0.3152, 0.011, 0.8977, -0.1898, 0.1876, 0.1662, -0.6116, 0.9264, 1.5683, -0.1416, 0.816, 0.86, 1.3567, 2.0094, 0
0.7864, 1.45, 1.7393, -0.1326, 0.3285, 0.3753, 0.3502, 0.2702, -0.3308, 0.5278, -0.4705, 0.3, 0.599, -1.7527, 1.3734, 0.3455, 1.2184, 0.405, -0.5586, -0.9066, 0
0.7118, 0.2214, 0.866, 0.1347, -0.5497, -0.2214, -1.2529, 0.6087, 0.164, -0.0752, 0.5626, -0.1348, 0.5491, 0.4014, 0.4228, -0.415, 0.588, 1.5207, -0.5792, -0.2156, 0
-0.1622, 0.1319, -0.0957, 1.7741, -0.2768, 0.2257, -0.1196, 1.854, 0.143, -0.5428, 0.7862, 0.511, 0.9375, 0.1595, -0.789, 1.0009, 0.9485, 0.0166, -0.3147, 0.2949, 0
1.4668, 0.9498, -0.1777, 0.3446, 0.3065, -0.7183, -0.1987, 1.558, -0.4607, 0.4041, 0.491, -0.8733, -0.4578, 0.5354, -0.2986, -0.3982, -1.0204, -0.4128, -0.4403, 1.4505, 0
1.0483, 0.1187, 0.7054, 0.0464, 0.2384, -0.2492, 0.8387, -1.5587, 1.1937, 1.6015, 1.0032, 0.2759, 1.0974, 0.1398, 0.104, -2.477, 0.7855, 1.4833, 0.2275, 1.2636, 0
0.6753, 1.2957, -0.0167, -0.3608, 2.1288, 1.1131, 0.9011, -0.0806, 0.8213, -0.8522, 0.8412, 1.5274, 0.6536, 0.4591, 1.4563, -0.6587, 0.1957, 0.9267, 0.6348, 0.7458, 0
-0.2613, 1.5885, 1.4456, 0.5658, -0.095, -0.0493, 0.5383, 0.8674, 0.083, 2.1183, -0.0699, 0.2039, 0.7037, -0.0925, -0.1729, 1.6624, 0.9164, 1.1857, 0.3985, 2.0299, 0
0.4119, 0.7422, 0.3213, 0.7247, 1.6413, 0.0394, -1.0421, 1.3007, -0.3772, 1.1728, -0.0129, 2.33, 0.7458, 1.3844, 1.2391, 0.5231, -0.0273, 0.3931, 1.9961, -0.2098, 0
1.1543, -1.4347, 0.8692, 1.4052, -0.0090, 2.193, -0.61, 0.106, -0.646, 1.0102, 0.2967, 0.0627, 1.3448, -0.2022, 0.592, 0.4726, -0.5464, 0.4059, -0.2876, 0.1734, 0
0.6675, 0.5575, 1.1577, 1.7955, 0.4628, 1.9303, 0.8449, 0.3982, 0.9235, 0.1757, 0.7974, 0.6005, 0.9907, 0.0156, 0.3499, 0.2372, 0.6546, 0.6159, -0.7795, 0.0068, 0
-0.0638, 0.0010, 1.5035, -0.1951, 1.455, 0.664, -0.6194, 1.2428, 0.8422, -0.045, 0.8477, 0.0638, 0.3979, 0.9668, 1.3874, 1.5902, 0.3018, 1.1538, 0.3177, 1.0676, 0
0.4015, 0.8903, -2.2881, 1.6922, -0.9311, 1.0576, 0.8793, 0.7155, 1.2054, -1.2439, -0.0901, 0.0494, 2.0539, -0.2494, -0.9336, -0.3363, -0.7931, 0.2211, 0.8364, 0.4598, 0
1.8207, -0.9154, 1.5569, 0.2243, 1.2845, 1.0398, 1.9815, -0.1705, 0.5582, 0.0298, 0.4328, 2.1021, 0.8313, -0.9396, -0.6031, 0.6388, 0.6262, 0.1847, 0.8019, 1.3511, 0
0.7885, 0.22, -0.4367, 0.7073, 2.4096, 0.7963, 0.1379, 0.9909, 1.9764, 2.254, 0.0323, -0.4399, 0.1142, 0.8926, 0.3654, -0.7265, -0.3675, 0.7886, 0.7667, 0.1896, 0
1.2033, -0.1075, 0.9742, 0.4236, -0.4195, 1.0874, 0.511, 1.4093, 0.1405, 1.2447, 2.7647, -1.2683, 0.1459, -0.4168, 0.8489, 1.3975, 1.1126, -0.1192, 0.0948, 1.0712, 0
1.2676, -0.4857, 0.8329, 0.4979, 0.1087, 2.2081, -1.1185, -0.6502, 0.9761, -0.7019, 1.0008, 0.7481, -0.6081, 0.638, 1.1193, -0.194, 0.7226, 0.2651, -1.5851, 0.262, 0
-0.0486, 0.6581, 0.4206, 0.5436, -0.701, 0.2631, 0.951, 2.5262, 0.6298, -0.4993, 1.3111, -0.732, 1.4041, 0.9966, -0.1106, -0.3996, 0.3798, 0.4946, 1.5906, 1.0339, 0
1.304, -0.8378, 1.4675, -0.4842, 0.6596, 0.2258, 1.8323, 0.5594, 0.434, 0.9097, -0.274, 0.769, 0.8554, 0.8317, 1.0994, 1.5649, 1.3828, -0.3285, -1.1476, 1.9841, 0
-0.8609, 2.0396, -0.089, -0.1591, 1.4005, 1.8224, -0.1588, 1.227, 0.0985, -0.3107, 0.5199, 0.1275, 0.5001, 2.0708, 0.1811, -0.0296, 0.024, -0.6341, 0.4223, -0.526, 0
0.9995, -0.0327, 0.2662, -1.2322, 0.5203, 0.1342, -0.9482, -0.8257, 0.4962, 1.2313, 0.9415, -0.143, 0.2817, -0.0532, 0.3171, 1.9171, 0.4084, 0.4318, -0.5147, -1.2054, 0
-0.4149, 0.7367, 0.0134, 0.3525, 1.918, 1.721, 1.2319, 0.6277, 1.0047, 0.3294, -0.5056, 0.7609, 0.2837, 1.635, -1.2344, -0.14, -0.0842, 0.3709, -0.431, 0.3076, 0
0.6497, 0.5698, 0.9944, -0.584, -0.7315, 0.7979, 1.2613, 1.8037, 0.3397, -0.8653, 1.7027, 0.2674, 0.2582, 2.5186, -0.1283, -0.392, -0.1491, -0.1128, 0.6494, -0.4874, 0
0.1505, 0.5366, -0.2366, 0.8025, -1.3441, 1.8071, 0.6628, 0.8751, -0.6603, 1.0844, 1.9827, 1.3199, 1.837, 0.5496, 0.2635, 1.9289, 1.0987, 1.522, -0.6137, 1.5248, 0
-0.5171, -0.424, 0.5846, -0.2752, -0.7448, 1.1005, 1.3662, 0.0553, 0.1012, 1.3525, 2.0431, 0.2241, -0.8232, -0.0121, 1.2319, -0.1497, 1.7006, 0.0564, 0.6343, 0.0749, 0
0.8563, 0.9769, 1.3689, 0.9908, 1.3741, 0.671, 1.3233, 0.3313, -0.0806, -0.4377, -0.0657, 0.254, -1.7369, 0.4765, 0.8117, -1.1439, 0.4873, -0.364, 0.4354, 0.2682, 0
0.3019, -0.9872, 1.1279, 1.5594, 1.0441, 0.113, -0.4233, -0.4408, 0.0684, 0.4871, 0.7404, -0.5147, 1.9417, 0.8508, 0.2534, 2.162, -0.7924, 0.3, 0.3097, 2.9054, 0
1.5714, 0.6821, -0.0211, 1.1213, 1.0962, 2.0056, 0.0634, 0.0396, 0.7444, -0.2815, -1.8283, 0.2415, 0.6123, -0.6161, 1.8878, 0.3078, -2.0817, 0.428, 1.3244, 1.4033, 0
1.5445, -0.3011, -0.2244, -0.2458, -0.2663, 0.7374, 1.9564, 1.1596, 0.049, 0.8134, -1.0812, 0.5608, 0.8124, 1.3786, 0.8162, 0.5064, 1.2782, 1.2984, 0.5372, 0.9275, 0
1.8594, -0.0836, 0.3536, 1.9137, 0.1276, 0.4823, 0.9111, 1.8108, 0.5097, 1.4263, 2.0196, 0.1296, 0.3421, 0.9569, -0.4795, -0.2884, 0.8217, 0.3619, 1.9401, 0.4171, 0
0.7836, -0.1129, 0.0273, 2.057, 1.0966, -0.3858, 1.6109, 0.6212, 1.3371, 0.5908, -0.0362, 1.9056, -0.2172, 0.2368, 1.213, 1.6726, 0.0786, 1.3921, 0.7606, -0.213, 0
1.8453, 0.7029, -0.3338, 0.2133, 0.8428, 0.05, 1.0721, 0.9986, 0.1105, 1.312, 0.4498, 1.1808, 0.1646, -0.2397, 0.6311, -1.3094, 0.5756, -0.7225, 0.1119, 0.2004, 0
0.3289, -0.5584, 2.1908, 0.1379, 0.3497, 1.4282, -0.9266, 1.4178, -0.9127, 0.602, 0.3042, -0.3307, 2.1412, -0.1873, 0.3483, 0.8149, 1.6382, 0.0659, 1.2871, 0.6381, 0
-0.1701, -1.2639, -0.2606, 0.5988, -0.3289, 0.7611, 0.521, 2.5658, 1.2272, 1.5909, -0.4728, 1.1334, 0.516, 0.9232, 0.6863, 1.3263, 0.5566, 1.1122, 0.6713, 0.599, 0
-0.0915, -0.3866, 0.6917, 1.2665, -0.4222, 1.9028, 1.3718, 1.0039, -1.1005, -0.8117, -0.3309, 1.0773, 0.4117, 0.3591, 0.9541, 0.5242, -0.4677, -0.3534, 1.4507, 1.5941, 0
0.12, 0.9752, 1.1273, 1.3368, -0.2567, 1.6072, 0.3656, 2.6577, 0.68, 0.746, 0.2666, 1.9481, -0.1806, -0.3191, -0.0411, -0.1064, 1.1907, 1.6381, 0.4349, -0.6513, 0
