@relation ecoli-0-1-3-7_vs_2-6
@attribute Mcg real[0.0,89.0]
@attribute Gvh real[1.0,88.0]
@attribute Lip real[1.0,48.0]
@attribute Chg real[1.0,5.0]
@attribute Aac real[0.0,88.0]
@attribute Alm1 real[1.0,94.0]
@attribute Alm2 real[0.0,99.0]
@attribute Class {positive,negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@output Class
@data
2.0, 44.0, 48.0, 5.0, 46.0, 51.0, 57.0, negative
39.0, 32.0, 48.0, 5.0, 46.0, 24.0, 35.0, negative
4.0, 45.0, 48.0, 5.0, 38.0, 22.0, 0.0, negative
21.0, 51.0, 48.0, 5.0, 5.0, 32.0, 41.0, negative
56.0, 51.0, 48.0, 5.0, 34.0, 37.0, 46.0, negative
28.0, 38.0, 48.0, 5.0, 5.0, 33.0, 42.0, negative
29.0, 3.0, 48.0, 5.0, 45.0, 3.0, 17.0, negative
47.0, 47.0, 48.0, 5.0, 22.0, 16.0, 26.0, negative
4.0, 35.0, 48.0, 5.0, 45.0, 33.0, 42.0, negative
25.0, 37.0, 48.0, 5.0, 43.0, 26.0, 36.0, negative
44.0, 42.0, 48.0, 5.0, 42.0, 25.0, 2.0, negative
48.0, 42.0, 48.0, 5.0, 45.0, 25.0, 35.0, negative
34.0, 28.0, 48.0, 5.0, 41.0, 35.0, 44.0, negative
29.0, 47.0, 48.0, 5.0, 41.0, 23.0, 34.0, negative
53.0, 42.0, 48.0, 5.0, 16.0, 29.0, 39.0, negative
4.0, 42.0, 48.0, 5.0, 37.0, 27.0, 27.0, negative
51.0, 46.0, 48.0, 5.0, 58.0, 31.0, 41.0, negative
38.0, 26.0, 48.0, 5.0, 54.0, 16.0, 28.0, negative
33.0, 47.0, 48.0, 5.0, 53.0, 18.0, 29.0, negative
35.0, 34.0, 48.0, 5.0, 46.0, 3.0, 27.0, negative
41.0, 51.0, 48.0, 5.0, 58.0, 2.0, 31.0, negative
34.0, 51.0, 48.0, 5.0, 44.0, 37.0, 46.0, negative
37.0, 44.0, 48.0, 5.0, 42.0, 39.0, 47.0, negative
0.0, 38.0, 48.0, 5.0, 42.0, 48.0, 55.0, negative
36.0, 42.0, 48.0, 5.0, 53.0, 32.0, 41.0, negative
3.0, 37.0, 48.0, 5.0, 43.0, 18.0, 3.0, negative
4.0, 41.0, 48.0, 5.0, 55.0, 22.0, 33.0, negative
46.0, 61.0, 48.0, 5.0, 48.0, 86.0, 87.0, negative
48.0, 45.0, 48.0, 5.0, 6.0, 78.0, 8.0, negative
54.0, 49.0, 48.0, 5.0, 4.0, 87.0, 88.0, negative
5.0, 66.0, 48.0, 5.0, 31.0, 92.0, 92.0, negative
54.0, 57.0, 48.0, 5.0, 56.0, 81.0, 83.0, negative
47.0, 59.0, 48.0, 5.0, 52.0, 76.0, 79.0, negative
49.0, 42.0, 48.0, 5.0, 53.0, 79.0, 81.0, negative
33.0, 45.0, 48.0, 5.0, 45.0, 88.0, 89.0, negative
45.0, 4.0, 48.0, 5.0, 61.0, 74.0, 77.0, negative
5.0, 37.0, 48.0, 5.0, 66.0, 64.0, 69.0, negative
83.0, 37.0, 48.0, 5.0, 61.0, 71.0, 74.0, negative
7.0, 46.0, 48.0, 5.0, 56.0, 78.0, 73.0, negative
41.0, 51.0, 48.0, 5.0, 53.0, 75.0, 78.0, negative
51.0, 4.0, 48.0, 5.0, 57.0, 62.0, 67.0, negative
5.0, 57.0, 48.0, 5.0, 71.0, 61.0, 66.0, negative
6.0, 46.0, 48.0, 5.0, 45.0, 81.0, 83.0, negative
11.0, 5.0, 48.0, 5.0, 58.0, 72.0, 68.0, negative
3.0, 51.0, 48.0, 5.0, 42.0, 61.0, 34.0, negative
63.0, 75.0, 48.0, 5.0, 64.0, 73.0, 66.0, negative
67.0, 7.0, 48.0, 5.0, 46.0, 45.0, 33.0, negative
67.0, 61.0, 48.0, 5.0, 51.0, 37.0, 38.0, negative
63.0, 1.0, 48.0, 5.0, 35.0, 51.0, 49.0, negative
67.0, 81.0, 48.0, 5.0, 25.0, 42.0, 25.0, negative
74.0, 82.0, 48.0, 5.0, 49.0, 49.0, 41.0, negative
69.0, 67.0, 48.0, 5.0, 3.0, 39.0, 24.0, negative
68.0, 67.0, 48.0, 5.0, 49.0, 4.0, 34.0, negative
62.0, 83.0, 48.0, 5.0, 46.0, 36.0, 4.0, negative
69.0, 66.0, 48.0, 5.0, 41.0, 5.0, 25.0, negative
63.0, 49.0, 48.0, 5.0, 54.0, 76.0, 79.0, positive
