@relation ecoli-0-1-4-6_vs_5
@attribute a1 real [0.0, 89.0]
@attribute a2 real [3.0, 88.0]
@attribute a3 real [1.0, 48.0]
@attribute a5 real [0.0, 88.0]
@attribute a6 real [1.0, 94.0]
@attribute a7 real [0.0, 99.0]
@attribute class {positive, negative}
@inputs a1, a2, a3, a5, a6, a7
@outputs class
@data
49.0, 29.0, 48.0, 56.0, 24.0, 35.0, negative
39.0, 32.0, 48.0, 46.0, 24.0, 35.0, negative
31.0, 23.0, 48.0, 73.0, 5.0, 14.0, negative
4.0, 29.0, 48.0, 42.0, 35.0, 44.0, negative
32.0, 42.0, 48.0, 35.0, 28.0, 38.0, negative
3.0, 37.0, 48.0, 59.0, 41.0, 49.0, negative
17.0, 38.0, 48.0, 45.0, 42.0, 5.0, negative
42.0, 35.0, 48.0, 58.0, 15.0, 27.0, negative
37.0, 52.0, 48.0, 42.0, 42.0, 36.0, negative
42.0, 38.0, 48.0, 54.0, 34.0, 43.0, negative
47.0, 29.0, 48.0, 51.0, 33.0, 43.0, negative
44.0, 51.0, 48.0, 47.0, 26.0, 36.0, negative
48.0, 42.0, 48.0, 45.0, 25.0, 35.0, negative
34.0, 28.0, 48.0, 41.0, 35.0, 44.0, negative
29.0, 47.0, 48.0, 41.0, 23.0, 34.0, negative
36.0, 56.0, 48.0, 43.0, 45.0, 53.0, negative
4.0, 46.0, 48.0, 52.0, 49.0, 56.0, negative
41.0, 43.0, 48.0, 5.0, 24.0, 25.0, negative
33.0, 47.0, 48.0, 53.0, 18.0, 29.0, negative
44.0, 49.0, 48.0, 39.0, 38.0, 4.0, negative
47.0, 28.0, 48.0, 56.0, 2.0, 25.0, negative
34.0, 35.0, 48.0, 51.0, 49.0, 56.0, negative
41.0, 51.0, 48.0, 58.0, 2.0, 31.0, negative
34.0, 42.0, 48.0, 41.0, 34.0, 43.0, negative
25.0, 26.0, 48.0, 39.0, 32.0, 42.0, negative
4.0, 31.0, 48.0, 41.0, 29.0, 39.0, negative
61.0, 36.0, 48.0, 49.0, 35.0, 44.0, negative
34.0, 51.0, 48.0, 44.0, 37.0, 46.0, negative
4.0, 46.0, 48.0, 42.0, 35.0, 44.0, negative
39.0, 31.0, 48.0, 38.0, 34.0, 43.0, negative
36.0, 42.0, 48.0, 53.0, 32.0, 41.0, negative
26.0, 4.0, 48.0, 36.0, 26.0, 37.0, negative
34.0, 49.0, 48.0, 58.0, 85.0, 8.0, negative
84.0, 44.0, 48.0, 48.0, 71.0, 74.0, negative
54.0, 49.0, 48.0, 4.0, 87.0, 88.0, negative
5.0, 66.0, 48.0, 31.0, 92.0, 92.0, negative
31.0, 5.0, 48.0, 57.0, 84.0, 85.0, negative
71.0, 4.0, 48.0, 71.0, 7.0, 74.0, negative
83.0, 37.0, 48.0, 61.0, 71.0, 74.0, negative
6.0, 5.0, 1.0, 54.0, 77.0, 8.0, negative
16.0, 51.0, 48.0, 33.0, 39.0, 48.0, negative
89.0, 55.0, 48.0, 51.0, 72.0, 76.0, negative
33.0, 37.0, 48.0, 46.0, 65.0, 69.0, negative
34.0, 67.0, 48.0, 52.0, 76.0, 79.0, negative
51.0, 4.0, 48.0, 57.0, 62.0, 67.0, negative
61.0, 66.0, 48.0, 46.0, 87.0, 88.0, negative
69.0, 39.0, 48.0, 57.0, 76.0, 79.0, negative
59.0, 29.0, 48.0, 64.0, 75.0, 77.0, negative
77.0, 55.0, 48.0, 51.0, 78.0, 74.0, negative
7.0, 53.0, 48.0, 7.0, 86.0, 87.0, negative
64.0, 45.0, 48.0, 67.0, 61.0, 66.0, negative
84.0, 54.0, 48.0, 75.0, 92.0, 7.0, negative
78.0, 68.0, 48.0, 83.0, 4.0, 29.0, positive
73.0, 84.0, 48.0, 86.0, 58.0, 29.0, positive
75.0, 76.0, 48.0, 83.0, 57.0, 3.0, positive
68.0, 76.0, 48.0, 84.0, 45.0, 27.0, positive
