@relation ecoli-0-1-4-7_vs_5-6
@attribute a1 real [0.0, 89.0]
@attribute a2 real [1.0, 88.0]
@attribute a3 real [1.0, 48.0]
@attribute a5 real [0.0, 88.0]
@attribute a6 real [1.0, 94.0]
@attribute a7 real [0.0, 99.0]
@attribute class {positive, negative}
@inputs a1, a2, a3, a5, a6, a7
@outputs class
@data
42.0, 4.0, 48.0, 56.0, 18.0, 3.0, negative
25.0, 4.0, 48.0, 46.0, 44.0, 52.0, negative
34.0, 45.0, 48.0, 38.0, 24.0, 35.0, negative
36.0, 39.0, 48.0, 48.0, 22.0, 23.0, negative
29.0, 37.0, 48.0, 48.0, 44.0, 52.0, negative
24.0, 35.0, 48.0, 31.0, 19.0, 31.0, negative
38.0, 46.0, 48.0, 48.0, 22.0, 29.0, negative
28.0, 38.0, 48.0, 5.0, 33.0, 42.0, negative
17.0, 38.0, 48.0, 45.0, 42.0, 5.0, negative
23.0, 33.0, 48.0, 43.0, 33.0, 43.0, negative
22.0, 36.0, 48.0, 35.0, 39.0, 47.0, negative
23.0, 58.0, 48.0, 37.0, 53.0, 59.0, negative
42.0, 38.0, 48.0, 54.0, 34.0, 43.0, negative
47.0, 29.0, 48.0, 51.0, 33.0, 43.0, negative
24.0, 43.0, 48.0, 54.0, 52.0, 59.0, negative
35.0, 48.0, 48.0, 56.0, 4.0, 48.0, negative
48.0, 42.0, 48.0, 45.0, 25.0, 35.0, negative
41.0, 43.0, 48.0, 45.0, 31.0, 41.0, negative
34.0, 46.0, 48.0, 52.0, 35.0, 44.0, negative
41.0, 43.0, 48.0, 5.0, 24.0, 25.0, negative
38.0, 26.0, 48.0, 54.0, 16.0, 28.0, negative
38.0, 3.0, 48.0, 43.0, 29.0, 39.0, negative
17.0, 39.0, 48.0, 53.0, 3.0, 39.0, negative
28.0, 33.0, 48.0, 45.0, 22.0, 33.0, negative
27.0, 3.0, 48.0, 71.0, 28.0, 39.0, negative
3.0, 37.0, 48.0, 43.0, 18.0, 3.0, negative
44.0, 35.0, 48.0, 44.0, 52.0, 59.0, negative
84.0, 44.0, 48.0, 48.0, 71.0, 74.0, negative
48.0, 45.0, 48.0, 6.0, 78.0, 8.0, negative
72.0, 46.0, 48.0, 51.0, 66.0, 7.0, negative
64.0, 58.0, 48.0, 48.0, 78.0, 73.0, negative
74.0, 44.0, 48.0, 55.0, 88.0, 89.0, negative
83.0, 37.0, 48.0, 61.0, 71.0, 74.0, negative
7.0, 4.0, 48.0, 56.0, 86.0, 83.0, negative
63.0, 65.0, 48.0, 66.0, 67.0, 71.0, negative
58.0, 34.0, 48.0, 56.0, 87.0, 81.0, negative
6.0, 46.0, 48.0, 45.0, 81.0, 83.0, negative
31.0, 36.0, 48.0, 58.0, 94.0, 94.0, negative
68.0, 51.0, 48.0, 71.0, 75.0, 78.0, negative
69.0, 39.0, 48.0, 57.0, 76.0, 79.0, negative
36.0, 45.0, 48.0, 38.0, 79.0, 17.0, negative
72.0, 42.0, 48.0, 65.0, 77.0, 79.0, negative
79.0, 41.0, 48.0, 66.0, 81.0, 83.0, negative
69.0, 43.0, 48.0, 59.0, 74.0, 77.0, negative
84.0, 49.0, 48.0, 55.0, 78.0, 74.0, negative
81.0, 44.0, 48.0, 42.0, 67.0, 68.0, negative
47.0, 46.0, 48.0, 62.0, 74.0, 77.0, negative
49.0, 61.0, 1.0, 56.0, 71.0, 74.0, negative
63.0, 51.0, 48.0, 64.0, 72.0, 76.0, negative
7.0, 61.0, 48.0, 56.0, 52.0, 43.0, negative
66.0, 86.0, 48.0, 34.0, 41.0, 36.0, negative
73.0, 78.0, 48.0, 58.0, 51.0, 31.0, negative
57.0, 59.0, 48.0, 39.0, 47.0, 33.0, negative
71.0, 71.0, 48.0, 4.0, 54.0, 39.0, negative
7.0, 64.0, 48.0, 47.0, 51.0, 47.0, negative
63.0, 57.0, 48.0, 49.0, 7.0, 2.0, negative
71.0, 86.0, 48.0, 4.0, 54.0, 32.0, negative
68.0, 78.0, 48.0, 43.0, 44.0, 42.0, negative
74.0, 47.0, 48.0, 5.0, 57.0, 42.0, negative
62.0, 78.0, 48.0, 47.0, 49.0, 54.0, negative
74.0, 56.0, 48.0, 47.0, 68.0, 3.0, negative
63.0, 69.0, 48.0, 65.0, 41.0, 28.0, positive
67.0, 88.0, 48.0, 73.0, 5.0, 25.0, positive
61.0, 75.0, 48.0, 51.0, 33.0, 33.0, positive
67.0, 84.0, 48.0, 74.0, 54.0, 37.0, positive
68.0, 63.0, 48.0, 73.0, 4.0, 3.0, positive
