@relation ecoli-0-1_vs_2-3-5
@attribute a1 real [0.0, 89.0]
@attribute a2 real [3.0, 88.0]
@attribute a3 real [1.0, 48.0]
@attribute a4 real [1.0, 5.0]
@attribute a5 real [0.0, 88.0]
@attribute a6 real [1.0, 94.0]
@attribute a7 real [0.0, 99.0]
@attribute class {positive, negative}
@inputs a1, a2, a3, a4, a5, a6, a7
@outputs class
@data
59.0, 49.0, 48.0, 5.0, 52.0, 45.0, 36.0, negative
21.0, 34.0, 48.0, 5.0, 51.0, 28.0, 39.0, negative
2.0, 44.0, 48.0, 5.0, 46.0, 51.0, 57.0, negative
51.0, 5.0, 48.0, 5.0, 46.0, 32.0, 35.0, negative
23.0, 4.0, 48.0, 5.0, 39.0, 28.0, 38.0, negative
31.0, 23.0, 48.0, 5.0, 73.0, 5.0, 14.0, negative
51.0, 54.0, 48.0, 5.0, 41.0, 34.0, 43.0, negative
3.0, 16.0, 48.0, 5.0, 56.0, 11.0, 23.0, negative
38.0, 46.0, 48.0, 5.0, 48.0, 22.0, 29.0, negative
28.0, 38.0, 48.0, 5.0, 5.0, 33.0, 42.0, negative
61.0, 45.0, 48.0, 5.0, 48.0, 35.0, 41.0, negative
17.0, 38.0, 48.0, 5.0, 45.0, 42.0, 5.0, negative
44.0, 35.0, 48.0, 5.0, 55.0, 55.0, 61.0, negative
23.0, 33.0, 48.0, 5.0, 43.0, 33.0, 43.0, negative
47.0, 47.0, 48.0, 5.0, 22.0, 16.0, 26.0, negative
36.0, 41.0, 48.0, 5.0, 48.0, 47.0, 54.0, negative
52.0, 57.0, 48.0, 5.0, 42.0, 47.0, 54.0, negative
25.0, 37.0, 48.0, 5.0, 43.0, 26.0, 36.0, negative
24.0, 43.0, 48.0, 5.0, 37.0, 28.0, 38.0, negative
42.0, 3.0, 48.0, 5.0, 48.0, 26.0, 36.0, negative
4.0, 42.0, 48.0, 5.0, 37.0, 27.0, 27.0, negative
38.0, 26.0, 48.0, 5.0, 54.0, 16.0, 28.0, negative
33.0, 47.0, 48.0, 5.0, 53.0, 18.0, 29.0, negative
47.0, 28.0, 48.0, 5.0, 56.0, 2.0, 25.0, negative
61.0, 36.0, 48.0, 5.0, 49.0, 35.0, 44.0, negative
34.0, 51.0, 48.0, 5.0, 44.0, 37.0, 46.0, negative
28.0, 33.0, 48.0, 5.0, 45.0, 22.0, 33.0, negative
17.0, 52.0, 48.0, 5.0, 49.0, 37.0, 46.0, negative
43.0, 4.0, 48.0, 5.0, 58.0, 75.0, 78.0, negative
5.0, 66.0, 48.0, 5.0, 31.0, 92.0, 92.0, negative
47.0, 55.0, 48.0, 5.0, 58.0, 71.0, 75.0, negative
5.0, 37.0, 48.0, 5.0, 66.0, 64.0, 69.0, negative
66.0, 53.0, 48.0, 5.0, 59.0, 66.0, 66.0, negative
83.0, 37.0, 48.0, 5.0, 61.0, 71.0, 74.0, negative
34.0, 51.0, 48.0, 5.0, 67.0, 9.0, 9.0, negative
7.0, 4.0, 48.0, 5.0, 56.0, 86.0, 83.0, negative
89.0, 55.0, 48.0, 5.0, 51.0, 72.0, 76.0, negative
12.0, 43.0, 48.0, 5.0, 63.0, 7.0, 74.0, negative
33.0, 37.0, 48.0, 5.0, 46.0, 65.0, 69.0, negative
58.0, 34.0, 48.0, 5.0, 56.0, 87.0, 81.0, negative
59.0, 56.0, 48.0, 5.0, 55.0, 8.0, 82.0, negative
61.0, 66.0, 48.0, 5.0, 46.0, 87.0, 88.0, negative
3.0, 51.0, 48.0, 5.0, 42.0, 61.0, 34.0, negative
61.0, 47.0, 48.0, 5.0, 0.0, 8.0, 32.0, negative
63.0, 49.0, 48.0, 5.0, 54.0, 76.0, 79.0, positive
61.0, 75.0, 48.0, 5.0, 51.0, 33.0, 33.0, positive
64.0, 57.0, 48.0, 5.0, 7.0, 33.0, 26.0, positive
69.0, 59.0, 48.0, 5.0, 77.0, 39.0, 21.0, positive
