@relation ecoli-0-1_vs_5
@attribute a1 real [0.0, 89.0]
@attribute a2 real [3.0, 88.0]
@attribute a3 real [1.0, 48.0]
@attribute a5 real [0.0, 88.0]
@attribute a6 real [1.0, 94.0]
@attribute a7 real [0.0, 99.0]
@attribute class {positive, negative}
@inputs a1, a2, a3, a5, a6, a7
@outputs class
@data
23.0, 32.0, 48.0, 55.0, 25.0, 35.0, negative
25.0, 48.0, 48.0, 44.0, 17.0, 29.0, negative
34.0, 45.0, 48.0, 38.0, 24.0, 35.0, negative
3.0, 16.0, 48.0, 56.0, 11.0, 23.0, negative
53.0, 38.0, 48.0, 44.0, 26.0, 36.0, negative
61.0, 45.0, 48.0, 48.0, 35.0, 41.0, negative
17.0, 38.0, 48.0, 45.0, 42.0, 5.0, negative
43.0, 4.0, 48.0, 39.0, 28.0, 39.0, negative
42.0, 35.0, 48.0, 58.0, 15.0, 27.0, negative
42.0, 38.0, 48.0, 54.0, 34.0, 43.0, negative
24.0, 43.0, 48.0, 54.0, 52.0, 59.0, negative
25.0, 37.0, 48.0, 41.0, 33.0, 42.0, negative
44.0, 51.0, 48.0, 47.0, 26.0, 36.0, negative
37.0, 5.0, 48.0, 42.0, 36.0, 45.0, negative
34.0, 28.0, 48.0, 41.0, 35.0, 44.0, negative
34.0, 46.0, 48.0, 52.0, 35.0, 44.0, negative
4.0, 42.0, 48.0, 37.0, 27.0, 27.0, negative
31.0, 47.0, 48.0, 29.0, 28.0, 39.0, negative
43.0, 32.0, 48.0, 33.0, 45.0, 52.0, negative
35.0, 34.0, 48.0, 46.0, 3.0, 27.0, negative
38.0, 3.0, 48.0, 43.0, 29.0, 39.0, negative
51.0, 49.0, 48.0, 53.0, 14.0, 26.0, negative
25.0, 51.0, 48.0, 37.0, 42.0, 5.0, negative
24.0, 41.0, 48.0, 49.0, 23.0, 34.0, negative
4.0, 31.0, 48.0, 41.0, 29.0, 39.0, negative
3.0, 37.0, 48.0, 43.0, 18.0, 3.0, negative
26.0, 4.0, 48.0, 36.0, 26.0, 37.0, negative
22.0, 34.0, 48.0, 42.0, 29.0, 39.0, negative
29.0, 47.0, 48.0, 71.0, 65.0, 69.0, negative
73.0, 36.0, 48.0, 53.0, 91.0, 92.0, negative
48.0, 45.0, 48.0, 6.0, 78.0, 8.0, negative
47.0, 55.0, 48.0, 58.0, 71.0, 75.0, negative
64.0, 58.0, 48.0, 48.0, 78.0, 73.0, negative
47.0, 59.0, 48.0, 52.0, 76.0, 79.0, negative
45.0, 4.0, 48.0, 61.0, 74.0, 77.0, negative
5.0, 37.0, 48.0, 66.0, 64.0, 69.0, negative
83.0, 37.0, 48.0, 61.0, 71.0, 74.0, negative
63.0, 54.0, 48.0, 65.0, 79.0, 81.0, negative
74.0, 7.0, 48.0, 66.0, 65.0, 69.0, negative
61.0, 52.0, 48.0, 54.0, 67.0, 52.0, negative
6.0, 46.0, 48.0, 45.0, 81.0, 83.0, negative
39.0, 41.0, 48.0, 52.0, 72.0, 75.0, negative
0.0, 51.0, 48.0, 35.0, 67.0, 44.0, negative
3.0, 51.0, 48.0, 42.0, 61.0, 34.0, negative
75.0, 76.0, 48.0, 83.0, 57.0, 3.0, positive
74.0, 78.0, 48.0, 75.0, 54.0, 15.0, positive
56.0, 68.0, 48.0, 77.0, 36.0, 45.0, positive
63.0, 49.0, 48.0, 79.0, 45.0, 28.0, positive
