@relation ecoli-0-3-4-6_vs_5
@attribute a1 real [0.0, 88.0]
@attribute a2 real [3.0, 88.0]
@attribute a3 real [1.0, 48.0]
@attribute a4 real [1.0, 5.0]
@attribute a5 real [3.0, 88.0]
@attribute a6 real [2.0, 92.0]
@attribute a7 real [0.0, 88.0]
@attribute class {positive, negative}
@inputs a1, a2, a3, a4, a5, a6, a7
@outputs class
@data
7.0, 4.0, 48.0, 5.0, 54.0, 35.0, 44.0, negative
56.0, 4.0, 48.0, 5.0, 49.0, 37.0, 46.0, negative
59.0, 49.0, 48.0, 5.0, 52.0, 45.0, 36.0, negative
23.0, 32.0, 48.0, 5.0, 55.0, 25.0, 35.0, negative
67.0, 39.0, 48.0, 5.0, 36.0, 38.0, 46.0, negative
29.0, 28.0, 48.0, 5.0, 44.0, 23.0, 34.0, negative
42.0, 4.0, 48.0, 5.0, 56.0, 18.0, 3.0, negative
25.0, 48.0, 48.0, 5.0, 44.0, 17.0, 29.0, negative
39.0, 32.0, 48.0, 5.0, 46.0, 24.0, 35.0, negative
51.0, 5.0, 48.0, 5.0, 46.0, 32.0, 35.0, negative
22.0, 43.0, 48.0, 5.0, 48.0, 16.0, 28.0, negative
25.0, 4.0, 48.0, 5.0, 46.0, 44.0, 52.0, negative
23.0, 4.0, 48.0, 5.0, 39.0, 28.0, 38.0, negative
41.0, 57.0, 48.0, 5.0, 39.0, 21.0, 32.0, negative
51.0, 54.0, 48.0, 5.0, 41.0, 34.0, 43.0, negative
3.0, 16.0, 48.0, 5.0, 56.0, 11.0, 23.0, negative
36.0, 39.0, 48.0, 5.0, 48.0, 22.0, 23.0, negative
25.0, 4.0, 48.0, 5.0, 47.0, 33.0, 42.0, negative
21.0, 51.0, 48.0, 5.0, 5.0, 32.0, 41.0, negative
43.0, 37.0, 48.0, 5.0, 53.0, 35.0, 44.0, negative
53.0, 38.0, 48.0, 5.0, 44.0, 26.0, 36.0, negative
34.0, 33.0, 48.0, 5.0, 38.0, 35.0, 44.0, negative
56.0, 51.0, 48.0, 5.0, 34.0, 37.0, 46.0, negative
24.0, 35.0, 48.0, 5.0, 31.0, 19.0, 31.0, negative
36.0, 54.0, 48.0, 5.0, 41.0, 38.0, 46.0, negative
29.0, 52.0, 48.0, 5.0, 42.0, 29.0, 39.0, negative
65.0, 47.0, 48.0, 5.0, 59.0, 3.0, 4.0, negative
32.0, 42.0, 48.0, 5.0, 35.0, 28.0, 38.0, negative
38.0, 46.0, 48.0, 5.0, 48.0, 22.0, 29.0, negative
33.0, 45.0, 48.0, 5.0, 52.0, 32.0, 41.0, negative
3.0, 37.0, 48.0, 5.0, 59.0, 41.0, 49.0, negative
4.0, 5.0, 48.0, 5.0, 45.0, 39.0, 47.0, negative
28.0, 38.0, 48.0, 5.0, 5.0, 33.0, 42.0, negative
17.0, 38.0, 48.0, 5.0, 45.0, 42.0, 5.0, negative
43.0, 4.0, 48.0, 5.0, 39.0, 28.0, 39.0, negative
42.0, 35.0, 48.0, 5.0, 58.0, 15.0, 27.0, negative
37.0, 52.0, 48.0, 5.0, 42.0, 42.0, 36.0, negative
29.0, 3.0, 48.0, 5.0, 45.0, 3.0, 17.0, negative
22.0, 36.0, 48.0, 5.0, 35.0, 39.0, 47.0, negative
23.0, 58.0, 48.0, 5.0, 37.0, 53.0, 59.0, negative
47.0, 47.0, 48.0, 5.0, 22.0, 16.0, 26.0, negative
54.0, 47.0, 48.0, 5.0, 28.0, 33.0, 42.0, negative
51.0, 37.0, 48.0, 5.0, 35.0, 36.0, 45.0, negative
4.0, 35.0, 48.0, 5.0, 45.0, 33.0, 42.0, negative
44.0, 34.0, 48.0, 5.0, 3.0, 33.0, 43.0, negative
42.0, 38.0, 48.0, 5.0, 54.0, 34.0, 43.0, negative
44.0, 56.0, 48.0, 5.0, 5.0, 46.0, 54.0, negative
52.0, 36.0, 48.0, 5.0, 41.0, 28.0, 38.0, negative
36.0, 41.0, 48.0, 5.0, 48.0, 47.0, 54.0, negative
18.0, 3.0, 48.0, 5.0, 46.0, 24.0, 35.0, negative
25.0, 37.0, 48.0, 5.0, 41.0, 33.0, 42.0, negative
52.0, 57.0, 48.0, 5.0, 42.0, 47.0, 54.0, negative
25.0, 37.0, 48.0, 5.0, 43.0, 26.0, 36.0, negative
35.0, 48.0, 48.0, 5.0, 56.0, 4.0, 48.0, negative
26.0, 26.0, 48.0, 5.0, 34.0, 25.0, 35.0, negative
44.0, 51.0, 48.0, 5.0, 47.0, 26.0, 36.0, negative
37.0, 5.0, 48.0, 5.0, 42.0, 36.0, 45.0, negative
44.0, 42.0, 48.0, 5.0, 42.0, 25.0, 2.0, negative
24.0, 43.0, 48.0, 5.0, 37.0, 28.0, 38.0, negative
42.0, 3.0, 48.0, 5.0, 48.0, 26.0, 36.0, negative
48.0, 42.0, 48.0, 5.0, 45.0, 25.0, 35.0, negative
41.0, 48.0, 48.0, 5.0, 51.0, 44.0, 51.0, negative
44.0, 28.0, 48.0, 5.0, 43.0, 27.0, 37.0, negative
29.0, 41.0, 48.0, 5.0, 48.0, 38.0, 46.0, negative
34.0, 28.0, 48.0, 5.0, 41.0, 35.0, 44.0, negative
41.0, 43.0, 48.0, 5.0, 45.0, 31.0, 41.0, negative
29.0, 47.0, 48.0, 5.0, 41.0, 23.0, 34.0, negative
34.0, 55.0, 48.0, 5.0, 58.0, 31.0, 41.0, negative
5.0, 49.0, 48.0, 5.0, 49.0, 46.0, 53.0, negative
52.0, 44.0, 48.0, 5.0, 37.0, 36.0, 42.0, negative
53.0, 42.0, 48.0, 5.0, 16.0, 29.0, 39.0, negative
34.0, 46.0, 48.0, 5.0, 52.0, 35.0, 44.0, negative
4.0, 42.0, 48.0, 5.0, 37.0, 27.0, 27.0, negative
41.0, 43.0, 48.0, 5.0, 5.0, 24.0, 25.0, negative
31.0, 47.0, 48.0, 5.0, 29.0, 28.0, 39.0, negative
64.0, 76.0, 48.0, 5.0, 45.0, 35.0, 38.0, negative
35.0, 37.0, 48.0, 5.0, 3.0, 34.0, 43.0, negative
57.0, 54.0, 48.0, 5.0, 37.0, 28.0, 33.0, negative
65.0, 55.0, 48.0, 5.0, 34.0, 37.0, 28.0, negative
51.0, 46.0, 48.0, 5.0, 58.0, 31.0, 41.0, negative
38.0, 4.0, 48.0, 5.0, 63.0, 25.0, 35.0, negative
38.0, 26.0, 48.0, 5.0, 54.0, 16.0, 28.0, negative
33.0, 47.0, 48.0, 5.0, 53.0, 18.0, 29.0, negative
24.0, 34.0, 48.0, 5.0, 38.0, 3.0, 4.0, negative
44.0, 49.0, 48.0, 5.0, 39.0, 38.0, 4.0, negative
43.0, 32.0, 48.0, 5.0, 33.0, 45.0, 52.0, negative
49.0, 43.0, 48.0, 5.0, 49.0, 3.0, 4.0, negative
47.0, 28.0, 48.0, 5.0, 56.0, 2.0, 25.0, negative
32.0, 33.0, 48.0, 5.0, 6.0, 6.0, 2.0, negative
38.0, 3.0, 48.0, 5.0, 43.0, 29.0, 39.0, negative
38.0, 44.0, 48.0, 5.0, 43.0, 2.0, 31.0, negative
41.0, 51.0, 48.0, 5.0, 58.0, 2.0, 31.0, negative
34.0, 42.0, 48.0, 5.0, 41.0, 34.0, 43.0, negative
51.0, 49.0, 48.0, 5.0, 53.0, 14.0, 26.0, negative
25.0, 51.0, 48.0, 5.0, 37.0, 42.0, 5.0, negative
29.0, 28.0, 48.0, 5.0, 5.0, 42.0, 5.0, negative
25.0, 26.0, 48.0, 5.0, 39.0, 32.0, 42.0, negative
24.0, 41.0, 48.0, 5.0, 49.0, 23.0, 34.0, negative
4.0, 31.0, 48.0, 5.0, 41.0, 29.0, 39.0, negative
61.0, 36.0, 48.0, 5.0, 49.0, 35.0, 44.0, negative
28.0, 33.0, 48.0, 5.0, 45.0, 22.0, 33.0, negative
4.0, 46.0, 48.0, 5.0, 42.0, 35.0, 44.0, negative
23.0, 34.0, 48.0, 5.0, 43.0, 26.0, 37.0, negative
0.0, 38.0, 48.0, 5.0, 42.0, 48.0, 55.0, negative
39.0, 31.0, 48.0, 5.0, 38.0, 34.0, 43.0, negative
3.0, 44.0, 48.0, 5.0, 49.0, 22.0, 33.0, negative
27.0, 3.0, 48.0, 5.0, 71.0, 28.0, 39.0, negative
36.0, 42.0, 48.0, 5.0, 53.0, 32.0, 41.0, negative
3.0, 37.0, 48.0, 5.0, 43.0, 18.0, 3.0, negative
26.0, 4.0, 48.0, 5.0, 36.0, 26.0, 37.0, negative
4.0, 41.0, 48.0, 5.0, 55.0, 22.0, 33.0, negative
22.0, 34.0, 48.0, 5.0, 42.0, 29.0, 39.0, negative
44.0, 35.0, 48.0, 5.0, 44.0, 52.0, 59.0, negative
27.0, 42.0, 48.0, 5.0, 37.0, 38.0, 43.0, negative
16.0, 43.0, 48.0, 5.0, 54.0, 27.0, 37.0, negative
75.0, 55.0, 1.0, 1.0, 4.0, 47.0, 3.0, negative
7.0, 39.0, 1.0, 5.0, 51.0, 82.0, 84.0, negative
72.0, 42.0, 48.0, 5.0, 65.0, 77.0, 79.0, negative
79.0, 41.0, 48.0, 5.0, 66.0, 81.0, 83.0, negative
83.0, 48.0, 48.0, 5.0, 65.0, 76.0, 79.0, negative
79.0, 36.0, 48.0, 5.0, 46.0, 82.0, 7.0, negative
78.0, 33.0, 48.0, 5.0, 57.0, 77.0, 79.0, negative
75.0, 37.0, 48.0, 5.0, 64.0, 7.0, 74.0, negative
59.0, 29.0, 48.0, 5.0, 64.0, 75.0, 77.0, negative
67.0, 37.0, 48.0, 5.0, 54.0, 64.0, 68.0, negative
66.0, 48.0, 48.0, 5.0, 54.0, 7.0, 74.0, negative
64.0, 46.0, 48.0, 5.0, 48.0, 73.0, 76.0, negative
76.0, 71.0, 48.0, 5.0, 5.0, 71.0, 75.0, negative
84.0, 49.0, 48.0, 5.0, 55.0, 78.0, 74.0, negative
58.0, 6.0, 48.0, 5.0, 59.0, 73.0, 76.0, negative
63.0, 42.0, 48.0, 5.0, 48.0, 77.0, 8.0, negative
62.0, 42.0, 48.0, 5.0, 58.0, 79.0, 81.0, negative
81.0, 53.0, 48.0, 5.0, 57.0, 87.0, 88.0, negative
87.0, 49.0, 48.0, 5.0, 61.0, 76.0, 79.0, negative
47.0, 46.0, 48.0, 5.0, 62.0, 74.0, 77.0, negative
76.0, 41.0, 48.0, 5.0, 5.0, 59.0, 62.0, negative
7.0, 53.0, 48.0, 5.0, 7.0, 86.0, 87.0, negative
64.0, 45.0, 48.0, 5.0, 67.0, 61.0, 66.0, negative
84.0, 54.0, 48.0, 5.0, 75.0, 92.0, 7.0, negative
63.0, 51.0, 48.0, 5.0, 64.0, 72.0, 76.0, negative
86.0, 55.0, 48.0, 5.0, 63.0, 81.0, 83.0, negative
79.0, 54.0, 48.0, 5.0, 5.0, 66.0, 68.0, negative
57.0, 38.0, 48.0, 5.0, 6.0, 49.0, 33.0, negative
78.0, 44.0, 48.0, 5.0, 45.0, 73.0, 68.0, negative
66.0, 49.0, 1.0, 5.0, 54.0, 56.0, 36.0, negative
71.0, 46.0, 1.0, 5.0, 52.0, 59.0, 3.0, negative
67.0, 55.0, 1.0, 5.0, 66.0, 58.0, 16.0, negative
68.0, 49.0, 1.0, 5.0, 62.0, 55.0, 28.0, negative
78.0, 68.0, 48.0, 5.0, 83.0, 4.0, 29.0, positive
63.0, 69.0, 48.0, 5.0, 65.0, 41.0, 28.0, positive
67.0, 88.0, 48.0, 5.0, 73.0, 5.0, 25.0, positive
67.0, 84.0, 48.0, 5.0, 74.0, 54.0, 37.0, positive
74.0, 9.0, 48.0, 5.0, 57.0, 53.0, 29.0, positive
73.0, 84.0, 48.0, 5.0, 86.0, 58.0, 29.0, positive
75.0, 76.0, 48.0, 5.0, 83.0, 57.0, 3.0, positive
77.0, 57.0, 48.0, 5.0, 88.0, 53.0, 2.0, positive
74.0, 78.0, 48.0, 5.0, 75.0, 54.0, 15.0, positive
68.0, 76.0, 48.0, 5.0, 84.0, 45.0, 27.0, positive
56.0, 68.0, 48.0, 5.0, 77.0, 36.0, 45.0, positive
65.0, 51.0, 48.0, 5.0, 66.0, 54.0, 33.0, positive
64.0, 57.0, 48.0, 5.0, 7.0, 33.0, 26.0, positive
69.0, 59.0, 48.0, 5.0, 77.0, 39.0, 21.0, positive
63.0, 49.0, 48.0, 5.0, 79.0, 45.0, 28.0, positive
68.0, 63.0, 48.0, 5.0, 73.0, 4.0, 3.0, positive
