@relation ecoli-0-3-4-6_vs_5
@attribute a1 real [0.0, 88.0]
@attribute a2 real [3.0, 88.0]
@attribute a3 real [1.0, 48.0]
@attribute a4 real [1.0, 5.0]
@attribute a5 real [3.0, 88.0]
@attribute a6 real [2.0, 92.0]
@attribute a7 real [0.0, 88.0]
@attribute class {positive, negative}
@inputs a1, a2, a3, a4, a5, a6, a7
@outputs class
@data
59.0, 49.0, 48.0, 5.0, 52.0, 45.0, 36.0, negative
67.0, 39.0, 48.0, 5.0, 36.0, 38.0, 46.0, negative
25.0, 4.0, 48.0, 5.0, 46.0, 44.0, 52.0, negative
29.0, 52.0, 48.0, 5.0, 42.0, 29.0, 39.0, negative
3.0, 37.0, 48.0, 5.0, 59.0, 41.0, 49.0, negative
51.0, 37.0, 48.0, 5.0, 35.0, 36.0, 45.0, negative
52.0, 36.0, 48.0, 5.0, 41.0, 28.0, 38.0, negative
36.0, 41.0, 48.0, 5.0, 48.0, 47.0, 54.0, negative
52.0, 57.0, 48.0, 5.0, 42.0, 47.0, 54.0, negative
35.0, 48.0, 48.0, 5.0, 56.0, 4.0, 48.0, negative
42.0, 3.0, 48.0, 5.0, 48.0, 26.0, 36.0, negative
48.0, 42.0, 48.0, 5.0, 45.0, 25.0, 35.0, negative
44.0, 28.0, 48.0, 5.0, 43.0, 27.0, 37.0, negative
34.0, 28.0, 48.0, 5.0, 41.0, 35.0, 44.0, negative
34.0, 55.0, 48.0, 5.0, 58.0, 31.0, 41.0, negative
5.0, 49.0, 48.0, 5.0, 49.0, 46.0, 53.0, negative
52.0, 44.0, 48.0, 5.0, 37.0, 36.0, 42.0, negative
4.0, 42.0, 48.0, 5.0, 37.0, 27.0, 27.0, negative
31.0, 47.0, 48.0, 5.0, 29.0, 28.0, 39.0, negative
64.0, 76.0, 48.0, 5.0, 45.0, 35.0, 38.0, negative
51.0, 46.0, 48.0, 5.0, 58.0, 31.0, 41.0, negative
38.0, 26.0, 48.0, 5.0, 54.0, 16.0, 28.0, negative
38.0, 44.0, 48.0, 5.0, 43.0, 2.0, 31.0, negative
25.0, 51.0, 48.0, 5.0, 37.0, 42.0, 5.0, negative
3.0, 44.0, 48.0, 5.0, 49.0, 22.0, 33.0, negative
3.0, 37.0, 48.0, 5.0, 43.0, 18.0, 3.0, negative
72.0, 42.0, 48.0, 5.0, 65.0, 77.0, 79.0, negative
79.0, 41.0, 48.0, 5.0, 66.0, 81.0, 83.0, negative
83.0, 48.0, 48.0, 5.0, 65.0, 76.0, 79.0, negative
78.0, 33.0, 48.0, 5.0, 57.0, 77.0, 79.0, negative
75.0, 37.0, 48.0, 5.0, 64.0, 7.0, 74.0, negative
66.0, 48.0, 48.0, 5.0, 54.0, 7.0, 74.0, negative
64.0, 46.0, 48.0, 5.0, 48.0, 73.0, 76.0, negative
84.0, 49.0, 48.0, 5.0, 55.0, 78.0, 74.0, negative
87.0, 49.0, 48.0, 5.0, 61.0, 76.0, 79.0, negative
63.0, 51.0, 48.0, 5.0, 64.0, 72.0, 76.0, negative
67.0, 55.0, 1.0, 5.0, 66.0, 58.0, 16.0, negative
63.0, 69.0, 48.0, 5.0, 65.0, 41.0, 28.0, positive
67.0, 84.0, 48.0, 5.0, 74.0, 54.0, 37.0, positive
74.0, 9.0, 48.0, 5.0, 57.0, 53.0, 29.0, positive
75.0, 76.0, 48.0, 5.0, 83.0, 57.0, 3.0, positive
