@relation ecoli-0-3-4_vs_5
@attribute a1 real [0.0, 88.0]
@attribute a2 real [3.0, 88.0]
@attribute a3 real [1.0, 48.0]
@attribute a4 real [1.0, 5.0]
@attribute a5 real [3.0, 88.0]
@attribute a6 real [2.0, 92.0]
@attribute a7 real [0.0, 88.0]
@attribute class {positive, negative}
@inputs a1, a2, a3, a4, a5, a6, a7
@outputs class
@data
56.0, 4.0, 48.0, 5.0, 49.0, 37.0, 46.0, negative
59.0, 49.0, 48.0, 5.0, 52.0, 45.0, 36.0, negative
42.0, 4.0, 48.0, 5.0, 56.0, 18.0, 3.0, negative
22.0, 43.0, 48.0, 5.0, 48.0, 16.0, 28.0, negative
51.0, 54.0, 48.0, 5.0, 41.0, 34.0, 43.0, negative
43.0, 37.0, 48.0, 5.0, 53.0, 35.0, 44.0, negative
43.0, 39.0, 48.0, 5.0, 47.0, 31.0, 41.0, negative
53.0, 38.0, 48.0, 5.0, 44.0, 26.0, 36.0, negative
65.0, 47.0, 48.0, 5.0, 59.0, 3.0, 4.0, negative
33.0, 45.0, 48.0, 5.0, 52.0, 32.0, 41.0, negative
17.0, 38.0, 48.0, 5.0, 45.0, 42.0, 5.0, negative
44.0, 35.0, 48.0, 5.0, 55.0, 55.0, 61.0, negative
43.0, 4.0, 48.0, 5.0, 39.0, 28.0, 39.0, negative
25.0, 37.0, 48.0, 5.0, 41.0, 33.0, 42.0, negative
41.0, 48.0, 48.0, 5.0, 51.0, 44.0, 51.0, negative
29.0, 41.0, 48.0, 5.0, 48.0, 38.0, 46.0, negative
34.0, 28.0, 48.0, 5.0, 41.0, 35.0, 44.0, negative
3.0, 45.0, 48.0, 5.0, 36.0, 21.0, 32.0, negative
65.0, 55.0, 48.0, 5.0, 34.0, 37.0, 28.0, negative
43.0, 32.0, 48.0, 5.0, 33.0, 45.0, 52.0, negative
41.0, 51.0, 48.0, 5.0, 58.0, 2.0, 31.0, negative
17.0, 39.0, 48.0, 5.0, 53.0, 3.0, 39.0, negative
34.0, 51.0, 48.0, 5.0, 44.0, 37.0, 46.0, negative
28.0, 33.0, 48.0, 5.0, 45.0, 22.0, 33.0, negative
4.0, 46.0, 48.0, 5.0, 42.0, 35.0, 44.0, negative
23.0, 34.0, 48.0, 5.0, 43.0, 26.0, 37.0, negative
0.0, 38.0, 48.0, 5.0, 42.0, 48.0, 55.0, negative
44.0, 35.0, 48.0, 5.0, 44.0, 52.0, 59.0, negative
27.0, 42.0, 48.0, 5.0, 37.0, 38.0, 43.0, negative
16.0, 43.0, 48.0, 5.0, 54.0, 27.0, 37.0, negative
72.0, 42.0, 48.0, 5.0, 65.0, 77.0, 79.0, negative
78.0, 33.0, 48.0, 5.0, 57.0, 77.0, 79.0, negative
75.0, 37.0, 48.0, 5.0, 64.0, 7.0, 74.0, negative
84.0, 54.0, 48.0, 5.0, 75.0, 92.0, 7.0, negative
86.0, 55.0, 48.0, 5.0, 63.0, 81.0, 83.0, negative
79.0, 54.0, 48.0, 5.0, 5.0, 66.0, 68.0, negative
67.0, 88.0, 48.0, 5.0, 73.0, 5.0, 25.0, positive
68.0, 76.0, 48.0, 5.0, 84.0, 45.0, 27.0, positive
65.0, 51.0, 48.0, 5.0, 66.0, 54.0, 33.0, positive
64.0, 57.0, 48.0, 5.0, 7.0, 33.0, 26.0, positive
