@relation ecoli-0-4-6_vs_5
@attribute a1 real [0.0, 88.0]
@attribute a2 real [3.0, 88.0]
@attribute a3 real [1.0, 48.0]
@attribute a5 real [3.0, 88.0]
@attribute a6 real [2.0, 92.0]
@attribute a7 real [0.0, 88.0]
@attribute class {positive, negative}
@inputs a1, a2, a3, a5, a6, a7
@outputs class
@data
49.0, 29.0, 48.0, 56.0, 24.0, 35.0, negative
21.0, 34.0, 48.0, 51.0, 28.0, 39.0, negative
42.0, 4.0, 48.0, 56.0, 18.0, 3.0, negative
39.0, 32.0, 48.0, 46.0, 24.0, 35.0, negative
51.0, 5.0, 48.0, 46.0, 32.0, 35.0, negative
3.0, 16.0, 48.0, 56.0, 11.0, 23.0, negative
29.0, 37.0, 48.0, 48.0, 44.0, 52.0, negative
4.0, 29.0, 48.0, 42.0, 35.0, 44.0, negative
36.0, 54.0, 48.0, 41.0, 38.0, 46.0, negative
44.0, 35.0, 48.0, 55.0, 55.0, 61.0, negative
18.0, 3.0, 48.0, 46.0, 24.0, 35.0, negative
35.0, 48.0, 48.0, 56.0, 4.0, 48.0, negative
37.0, 5.0, 48.0, 42.0, 36.0, 45.0, negative
36.0, 56.0, 48.0, 43.0, 45.0, 53.0, negative
41.0, 43.0, 48.0, 5.0, 24.0, 25.0, negative
3.0, 45.0, 48.0, 36.0, 21.0, 32.0, negative
38.0, 4.0, 48.0, 63.0, 25.0, 35.0, negative
33.0, 47.0, 48.0, 53.0, 18.0, 29.0, negative
47.0, 28.0, 48.0, 56.0, 2.0, 25.0, negative
32.0, 33.0, 48.0, 6.0, 6.0, 2.0, negative
38.0, 3.0, 48.0, 43.0, 29.0, 39.0, negative
25.0, 26.0, 48.0, 39.0, 32.0, 42.0, negative
61.0, 36.0, 48.0, 49.0, 35.0, 44.0, negative
28.0, 33.0, 48.0, 45.0, 22.0, 33.0, negative
4.0, 46.0, 48.0, 42.0, 35.0, 44.0, negative
37.0, 44.0, 48.0, 42.0, 39.0, 47.0, negative
0.0, 38.0, 48.0, 42.0, 48.0, 55.0, negative
27.0, 3.0, 48.0, 71.0, 28.0, 39.0, negative
36.0, 42.0, 48.0, 53.0, 32.0, 41.0, negative
3.0, 37.0, 48.0, 43.0, 18.0, 3.0, negative
22.0, 34.0, 48.0, 42.0, 29.0, 39.0, negative
72.0, 42.0, 48.0, 65.0, 77.0, 79.0, negative
47.0, 46.0, 48.0, 62.0, 74.0, 77.0, negative
76.0, 41.0, 48.0, 5.0, 59.0, 62.0, negative
86.0, 55.0, 48.0, 63.0, 81.0, 83.0, negative
77.0, 57.0, 1.0, 37.0, 54.0, 1.0, negative
56.0, 68.0, 48.0, 77.0, 36.0, 45.0, positive
69.0, 59.0, 48.0, 77.0, 39.0, 21.0, positive
63.0, 49.0, 48.0, 79.0, 45.0, 28.0, positive
68.0, 63.0, 48.0, 73.0, 4.0, 3.0, positive
