@relation ecoli-0-6-7_vs_3-5
@attribute a1 real [0.0, 78.0]
@attribute a2 real [1.0, 88.0]
@attribute a3 real [1.0, 48.0]
@attribute a4 real [1.0, 5.0]
@attribute a5 real [3.0, 88.0]
@attribute a6 real [2.0, 84.0]
@attribute a7 real [0.0, 85.0]
@attribute class {positive, negative}
@inputs a1, a2, a3, a4, a5, a6, a7
@outputs class
@data
49.0, 29.0, 48.0, 5.0, 56.0, 24.0, 35.0, negative
59.0, 49.0, 48.0, 5.0, 52.0, 45.0, 36.0, negative
42.0, 4.0, 48.0, 5.0, 56.0, 18.0, 3.0, negative
44.0, 27.0, 48.0, 5.0, 55.0, 52.0, 58.0, negative
31.0, 23.0, 48.0, 5.0, 73.0, 5.0, 14.0, negative
36.0, 39.0, 48.0, 5.0, 48.0, 22.0, 23.0, negative
29.0, 37.0, 48.0, 5.0, 48.0, 44.0, 52.0, negative
21.0, 51.0, 48.0, 5.0, 5.0, 32.0, 41.0, negative
65.0, 47.0, 48.0, 5.0, 59.0, 3.0, 4.0, negative
42.0, 35.0, 48.0, 5.0, 58.0, 15.0, 27.0, negative
51.0, 37.0, 48.0, 5.0, 35.0, 36.0, 45.0, negative
52.0, 36.0, 48.0, 5.0, 41.0, 28.0, 38.0, negative
18.0, 3.0, 48.0, 5.0, 46.0, 24.0, 35.0, negative
35.0, 48.0, 48.0, 5.0, 56.0, 4.0, 48.0, negative
26.0, 26.0, 48.0, 5.0, 34.0, 25.0, 35.0, negative
37.0, 5.0, 48.0, 5.0, 42.0, 36.0, 45.0, negative
44.0, 28.0, 48.0, 5.0, 43.0, 27.0, 37.0, negative
34.0, 28.0, 48.0, 5.0, 41.0, 35.0, 44.0, negative
3.0, 45.0, 48.0, 5.0, 36.0, 21.0, 32.0, negative
31.0, 47.0, 48.0, 5.0, 29.0, 28.0, 39.0, negative
65.0, 55.0, 48.0, 5.0, 34.0, 37.0, 28.0, negative
24.0, 57.0, 48.0, 5.0, 63.0, 34.0, 43.0, negative
33.0, 47.0, 48.0, 5.0, 53.0, 18.0, 29.0, negative
26.0, 5.0, 48.0, 5.0, 44.0, 32.0, 41.0, negative
44.0, 49.0, 48.0, 5.0, 39.0, 38.0, 4.0, negative
32.0, 33.0, 48.0, 5.0, 6.0, 6.0, 2.0, negative
41.0, 51.0, 48.0, 5.0, 58.0, 2.0, 31.0, negative
34.0, 42.0, 48.0, 5.0, 41.0, 34.0, 43.0, negative
51.0, 49.0, 48.0, 5.0, 53.0, 14.0, 26.0, negative
29.0, 28.0, 48.0, 5.0, 5.0, 42.0, 5.0, negative
61.0, 36.0, 48.0, 5.0, 49.0, 35.0, 44.0, negative
67.0, 55.0, 1.0, 5.0, 66.0, 58.0, 16.0, negative
67.0, 61.0, 48.0, 5.0, 51.0, 37.0, 38.0, negative
63.0, 57.0, 48.0, 5.0, 49.0, 7.0, 2.0, negative
74.0, 82.0, 48.0, 5.0, 49.0, 49.0, 41.0, negative
63.0, 65.0, 48.0, 5.0, 39.0, 44.0, 35.0, negative
68.0, 67.0, 48.0, 5.0, 49.0, 4.0, 34.0, negative
62.0, 78.0, 48.0, 5.0, 47.0, 49.0, 54.0, negative
69.0, 66.0, 48.0, 5.0, 41.0, 5.0, 25.0, negative
61.0, 6.0, 48.0, 5.0, 44.0, 39.0, 38.0, negative
73.0, 84.0, 48.0, 5.0, 86.0, 58.0, 29.0, positive
75.0, 76.0, 48.0, 5.0, 83.0, 57.0, 3.0, positive
77.0, 57.0, 48.0, 5.0, 88.0, 53.0, 2.0, positive
63.0, 49.0, 48.0, 5.0, 79.0, 45.0, 28.0, positive
