@relation ecoli-0_vs_1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}   
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.49, 0.29, 0.48, 0.5, 0.56, 0.24, 0.35, positive
0.07, 0.4, 0.48, 0.5, 0.54, 0.35, 0.44, positive
0.59, 0.49, 0.48, 0.5, 0.52, 0.45, 0.36, positive
0.23, 0.32, 0.48, 0.5, 0.55, 0.25, 0.35, positive
0.29, 0.28, 0.48, 0.5, 0.44, 0.23, 0.34, positive
0.21, 0.34, 0.48, 0.5, 0.51, 0.28, 0.39, positive
0.42, 0.4, 0.48, 0.5, 0.56, 0.18, 0.3, positive
0.42, 0.24, 0.48, 0.5, 0.57, 0.27, 0.37, positive
0.25, 0.48, 0.48, 0.5, 0.44, 0.17, 0.29, positive
0.39, 0.32, 0.48, 0.5, 0.46, 0.24, 0.35, positive
0.22, 0.43, 0.48, 0.5, 0.48, 0.16, 0.28, positive
0.25, 0.4, 0.48, 0.5, 0.46, 0.44, 0.52, positive
0.34, 0.45, 0.48, 0.5, 0.38, 0.24, 0.35, positive
0.23, 0.4, 0.48, 0.5, 0.39, 0.28, 0.38, positive
0.41, 0.57, 0.48, 0.5, 0.39, 0.21, 0.32, positive
0.31, 0.23, 0.48, 0.5, 0.73, 0.05, 0.14, positive
0.51, 0.54, 0.48, 0.5, 0.41, 0.34, 0.43, positive
0.36, 0.39, 0.48, 0.5, 0.48, 0.22, 0.23, positive
0.29, 0.37, 0.48, 0.5, 0.48, 0.44, 0.52, positive
0.25, 0.4, 0.48, 0.5, 0.47, 0.33, 0.42, positive
0.21, 0.51, 0.48, 0.5, 0.5, 0.32, 0.41, positive
0.43, 0.37, 0.48, 0.5, 0.53, 0.35, 0.44, positive
0.43, 0.39, 0.48, 0.5, 0.47, 0.31, 0.41, positive
0.53, 0.38, 0.48, 0.5, 0.44, 0.26, 0.36, positive
0.34, 0.33, 0.48, 0.5, 0.38, 0.35, 0.44, positive
0.56, 0.51, 0.48, 0.5, 0.34, 0.37, 0.46, positive
0.4, 0.29, 0.48, 0.5, 0.42, 0.35, 0.44, positive
0.24, 0.35, 0.48, 0.5, 0.31, 0.19, 0.31, positive
0.36, 0.54, 0.48, 0.5, 0.41, 0.38, 0.46, positive
