@relation ecoli-0_vs_1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}   
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.49, 0.29, 0.48, 0.5, 0.56, 0.24, 0.35, positive
0.23, 0.32, 0.48, 0.5, 0.55, 0.25, 0.35, positive
0.29, 0.28, 0.48, 0.5, 0.44, 0.23, 0.34, positive
0.25, 0.4, 0.48, 0.5, 0.46, 0.44, 0.52, positive
0.34, 0.45, 0.48, 0.5, 0.38, 0.24, 0.35, positive
0.41, 0.57, 0.48, 0.5, 0.39, 0.21, 0.32, positive
0.31, 0.23, 0.48, 0.5, 0.73, 0.05, 0.14, positive
0.21, 0.51, 0.48, 0.5, 0.5, 0.32, 0.41, positive
0.43, 0.37, 0.48, 0.5, 0.53, 0.35, 0.44, positive
0.53, 0.38, 0.48, 0.5, 0.44, 0.26, 0.36, positive
0.34, 0.33, 0.48, 0.5, 0.38, 0.35, 0.44, positive
0.56, 0.51, 0.48, 0.5, 0.34, 0.37, 0.46, positive
0.36, 0.54, 0.48, 0.5, 0.41, 0.38, 0.46, positive
0.3, 0.37, 0.48, 0.5, 0.59, 0.41, 0.49, positive
0.37, 0.52, 0.48, 0.5, 0.42, 0.42, 0.36, positive
0.23, 0.58, 0.48, 0.5, 0.37, 0.53, 0.59, positive
0.44, 0.34, 0.48, 0.5, 0.3, 0.33, 0.43, positive
0.52, 0.57, 0.48, 0.5, 0.42, 0.47, 0.54, positive
0.44, 0.28, 0.48, 0.5, 0.43, 0.27, 0.37, positive
0.34, 0.28, 0.48, 0.5, 0.41, 0.35, 0.44, positive
0.52, 0.44, 0.48, 0.5, 0.37, 0.36, 0.42, positive
0.5, 0.51, 0.48, 0.5, 0.27, 0.23, 0.34, positive
0.34, 0.46, 0.48, 0.5, 0.52, 0.35, 0.44, positive
0.41, 0.43, 0.48, 0.5, 0.5, 0.24, 0.25, positive
0.31, 0.47, 0.48, 0.5, 0.29, 0.28, 0.39, positive
0.33, 0.47, 0.48, 0.5, 0.53, 0.18, 0.29, positive
0.34, 0.42, 0.48, 0.5, 0.41, 0.34, 0.43, positive
0.28, 0.33, 0.48, 0.5, 0.45, 0.22, 0.33, positive
0.43, 0.4, 0.48, 0.5, 0.58, 0.75, 0.78, negative
0.52, 0.39, 0.48, 0.5, 0.65, 0.71, 0.73, negative
0.73, 0.36, 0.48, 0.5, 0.53, 0.91, 0.92, negative
0.72, 0.46, 0.48, 0.5, 0.51, 0.66, 0.7, negative
0.54, 0.57, 0.48, 0.5, 0.56, 0.81, 0.83, negative
0.6, 0.61, 0.48, 0.5, 0.54, 0.67, 0.71, negative
0.7, 0.4, 0.48, 0.5, 0.56, 0.86, 0.83, negative
0.74, 0.7, 0.48, 0.5, 0.66, 0.65, 0.69, negative
0.61, 0.52, 0.48, 0.5, 0.54, 0.67, 0.52, negative
0.58, 0.34, 0.48, 0.5, 0.56, 0.87, 0.81, negative
0.31, 0.44, 0.48, 0.5, 0.5, 0.79, 0.82, negative
0.48, 0.49, 0.48, 0.5, 0.52, 0.77, 0.71, negative
0.69, 0.39, 0.48, 0.5, 0.57, 0.76, 0.79, negative
0.46, 0.59, 0.48, 0.5, 0.36, 0.76, 0.23, negative
0.63, 0.75, 0.48, 0.5, 0.64, 0.73, 0.66, negative
0.71, 0.52, 0.48, 0.5, 0.64, 1.0, 0.99, negative
