@relation ecoli4
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}   
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.49, 0.29, 0.48, 0.5, 0.56, 0.24, 0.35, negative
0.2, 0.44, 0.48, 0.5, 0.46, 0.51, 0.57, negative
0.42, 0.24, 0.48, 0.5, 0.57, 0.27, 0.37, negative
0.25, 0.48, 0.48, 0.5, 0.44, 0.17, 0.29, negative
0.31, 0.23, 0.48, 0.5, 0.73, 0.05, 0.14, negative
0.43, 0.37, 0.48, 0.5, 0.53, 0.35, 0.44, negative
0.43, 0.39, 0.48, 0.5, 0.47, 0.31, 0.41, negative
0.36, 0.54, 0.48, 0.5, 0.41, 0.38, 0.46, negative
0.61, 0.45, 0.48, 0.5, 0.48, 0.35, 0.41, negative
0.44, 0.35, 0.48, 0.5, 0.55, 0.55, 0.61, negative
0.37, 0.52, 0.48, 0.5, 0.42, 0.42, 0.36, negative
0.44, 0.56, 0.48, 0.5, 0.5, 0.46, 0.54, negative
0.36, 0.41, 0.48, 0.5, 0.48, 0.47, 0.54, negative
0.24, 0.43, 0.48, 0.5, 0.54, 0.52, 0.59, negative
0.52, 0.57, 0.48, 0.5, 0.42, 0.47, 0.54, negative
0.34, 0.55, 0.48, 0.5, 0.58, 0.31, 0.41, negative
0.4, 0.42, 0.48, 0.5, 0.37, 0.27, 0.27, negative
0.64, 0.76, 0.48, 0.5, 0.45, 0.35, 0.38, negative
0.35, 0.37, 0.48, 0.5, 0.3, 0.34, 0.43, negative
0.65, 0.55, 0.48, 0.5, 0.34, 0.37, 0.28, negative
0.51, 0.46, 0.48, 0.5, 0.58, 0.31, 0.41, negative
0.33, 0.47, 0.48, 0.5, 0.53, 0.18, 0.29, negative
0.26, 0.5, 0.48, 0.5, 0.44, 0.32, 0.41, negative
0.35, 0.34, 0.48, 0.5, 0.46, 0.3, 0.27, negative
0.34, 0.42, 0.48, 0.5, 0.41, 0.34, 0.43, negative
0.24, 0.41, 0.48, 0.5, 0.49, 0.23, 0.34, negative
0.27, 0.3, 0.48, 0.5, 0.71, 0.28, 0.39, negative
0.36, 0.42, 0.48, 0.5, 0.53, 0.32, 0.41, negative
0.22, 0.34, 0.48, 0.5, 0.42, 0.29, 0.39, negative
0.06, 0.61, 0.48, 0.5, 0.49, 0.92, 0.37, negative
0.63, 0.47, 0.48, 0.5, 0.51, 0.82, 0.84, negative
0.27, 0.35, 0.48, 0.5, 0.51, 0.77, 0.79, negative
0.52, 0.39, 0.48, 0.5, 0.65, 0.71, 0.73, negative
0.29, 0.47, 0.48, 0.5, 0.71, 0.65, 0.69, negative
0.4, 0.5, 0.48, 0.5, 0.65, 0.82, 0.84, negative
0.84, 0.44, 0.48, 0.5, 0.48, 0.71, 0.74, negative
0.64, 0.58, 0.48, 0.5, 0.48, 0.78, 0.73, negative
0.54, 0.57, 0.48, 0.5, 0.56, 0.81, 0.83, negative
0.66, 0.53, 0.48, 0.5, 0.59, 0.66, 0.66, negative
0.16, 0.51, 0.48, 0.5, 0.33, 0.39, 0.48, negative
0.63, 0.65, 0.48, 0.5, 0.66, 0.67, 0.71, negative
0.5, 0.57, 0.48, 0.5, 0.71, 0.61, 0.66, negative
0.58, 0.55, 0.48, 0.5, 0.57, 0.7, 0.74, negative
0.36, 0.45, 0.48, 0.5, 0.38, 0.79, 0.17, negative
0.75, 0.55, 1.0, 1.0, 0.4, 0.47, 0.3, negative
0.63, 0.42, 0.48, 0.5, 0.48, 0.77, 0.8, negative
0.86, 0.39, 0.48, 0.5, 0.59, 0.89, 0.9, negative
0.81, 0.53, 0.48, 0.5, 0.57, 0.87, 0.88, negative
0.47, 0.46, 0.48, 0.5, 0.62, 0.74, 0.77, negative
0.76, 0.41, 0.48, 0.5, 0.5, 0.59, 0.62, negative
0.64, 0.45, 0.48, 0.5, 0.67, 0.61, 0.66, negative
0.81, 0.52, 0.48, 0.5, 0.57, 0.78, 0.8, negative
0.73, 0.26, 0.48, 0.5, 0.57, 0.75, 0.78, negative
0.49, 0.61, 1.0, 0.5, 0.56, 0.71, 0.74, negative
0.57, 0.38, 0.48, 0.5, 0.06, 0.49, 0.33, negative
0.67, 0.88, 0.48, 0.5, 0.73, 0.5, 0.25, positive
0.75, 0.76, 0.48, 0.5, 0.83, 0.57, 0.3, positive
0.77, 0.57, 0.48, 0.5, 0.88, 0.53, 0.2, positive
0.56, 0.68, 0.48, 0.5, 0.77, 0.36, 0.45, positive
0.77, 0.57, 1.0, 0.5, 0.37, 0.54, 0.01, negative
0.73, 0.78, 0.48, 0.5, 0.58, 0.51, 0.31, negative
0.67, 0.81, 0.48, 0.5, 0.54, 0.49, 0.23, negative
0.67, 0.61, 0.48, 0.5, 0.51, 0.37, 0.38, negative
0.63, 0.86, 0.48, 0.5, 0.39, 0.47, 0.34, negative
0.29, 0.39, 0.48, 0.5, 0.52, 0.4, 0.48, negative
0.43, 0.59, 0.48, 0.5, 0.52, 0.49, 0.56, negative
0.71, 0.57, 0.48, 0.5, 0.48, 0.35, 0.32, negative
