@relation glass-0-4_vs_5
@attribute RI real [1.51115, 1.52666318]
@attribute Na real [11.02925, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.8884, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.87116, 12.49932]
@attribute Ba real [0.0, 2.1987]
@attribute Fe real [0.0, 0.459]
@attribute typeGlass {positive, negative}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs typeGlass
@data
1.51588824, 12.87795, 3.43036, 1.40066, 73.282, 0.68931, 8.04468, 0.0, 0.1224, negative
1.52212996, 14.20795, 3.82099, 0.46976, 71.77, 0.11178, 9.5726, 0.0, 0.0, negative
1.52222108, 13.21045, 3.7716, 0.79076, 71.9884, 0.13041, 10.2452, 0.0, 0.0, negative
1.52099096, 13.68925, 3.592, 1.12139, 71.9604, 0.08694, 9.40044, 0.0, 0.0, negative
1.51910022, 13.90205, 3.73119, 1.17917, 72.1228, 0.0621, 8.89472, 0.0, 0.0, negative
1.51793844, 13.21045, 3.47975, 1.41029, 72.638, 0.58995, 8.43204, 0.0, 0.0, negative
1.51898632, 13.58285, 3.34954, 1.23053, 72.078, 0.58995, 8.90548, 0.0, 0.0, negative
1.51215232, 12.991, 3.47077, 1.12139, 72.9796, 0.621, 8.34596, 0.0, 0.1581, negative
1.51976084, 13.80895, 3.57853, 1.32041, 71.7196, 0.11799, 8.66876, 0.68985, 0.0, negative
1.51784732, 12.67845, 3.66833, 1.15991, 73.1084, 0.60858, 8.70104, 0.0, 0.0, negative
1.51720948, 13.3767, 3.5022, 1.15028, 72.8508, 0.50301, 8.43204, 0.0, 0.0, negative
1.51746006, 12.83805, 3.5022, 1.14065, 73.2708, 0.5589, 8.5504, 0.0, 0.0, negative
1.52210718, 13.72915, 3.83895, 0.72014, 71.7588, 0.16767, 9.74476, 0.0, 0.0, negative
1.51823458, 12.8713, 3.47975, 1.29152, 72.9516, 0.60237, 8.43204, 0.0, 0.0, negative
1.51919134, 14.417, 3.57853, 1.36856, 72.078, 0.5589, 8.30292, 0.0, 0.0, negative
1.51761952, 12.79815, 3.65935, 1.26905, 73.0076, 0.60237, 8.56116, 0.0, 0.0, negative
1.51750562, 12.81145, 3.56955, 1.3493, 73.0188, 0.621, 8.59344, 0.0, 0.0, negative
1.51782454, 12.69175, 3.53812, 1.33967, 72.9516, 0.57132, 8.75484, 0.0, 0.0, negative
1.51793844, 12.7915, 3.5022, 1.12139, 73.03, 0.63963, 8.7656, 0.0, 0.0, negative
1.5215149, 13.05085, 3.65037, 0.87101, 72.218, 0.19251, 9.85236, 0.0, 0.0867, negative
1.51595658, 12.7915, 3.60996, 1.61894, 72.9684, 0.63963, 8.0662, 0.0, 0.1326, negative
1.51734616, 13.0176, 3.53812, 1.68956, 72.7276, 0.54027, 8.4428, 0.0, 0.0357, negative
1.5177562, 12.85135, 3.47975, 1.23053, 72.9684, 0.60858, 8.56116, 0.09135, 0.1122, negative
1.51777898, 13.21045, 3.38995, 1.33004, 72.7612, 0.58995, 8.59344, 0.0, 0.0, negative
1.5215149, 13.05085, 3.65037, 0.87101, 72.3188, 0.19251, 9.85236, 0.0, 0.0867, negative
1.51743728, 13.2969, 3.60098, 1.14065, 73.0916, 0.57753, 8.1738, 0.0, 0.0, negative
1.515706, 12.71835, 3.46179, 1.56116, 73.198, 0.67068, 8.08772, 0.0, 0.1224, negative
1.51720948, 12.8713, 3.47975, 1.33004, 73.0412, 0.5589, 8.43204, 0.0, 0.0, negative
1.51910022, 13.88875, 3.52914, 1.32041, 71.8092, 0.50922, 8.77636, 0.11025, 0.0, negative
1.51869018, 13.1905, 3.37199, 1.17917, 72.722, 0.57132, 8.83016, 0.0, 0.0816, negative
1.52171992, 13.5097, 3.8614, 0.88064, 71.7924, 0.22977, 9.54032, 0.0, 0.0561, negative
1.51784732, 13.7745, 3.48873, 1.27868, 72.862, 0.60237, 8.48584, 0.0, 0.0, negative
1.5175284, 12.57205, 3.47077, 1.3814, 73.3884, 0.60237, 8.5504, 0.0, 0.0306, negative
1.5178701, 12.73165, 3.43036, 1.1888, 72.9516, 0.621, 8.75484, 0.0, 0.153, negative
1.52320062, 13.7225, 3.72221, 0.51149, 71.7476, 0.08694, 10.568, 0.0, 0.0816, negative
1.5229956, 13.3102, 3.57853, 0.81965, 71.9884, 0.11799, 10.17516, 0.0, 0.0153, negative
1.52101374, 13.6427, 4.49, 1.09892, 71.7812, 0.0621, 8.75484, 0.0, 0.0, negative
1.51750562, 12.8181, 3.55159, 1.49054, 72.75, 0.54027, 8.51812, 0.0, 0.0969, negative
1.52212996, 14.20795, 3.82099, 0.46976, 71.77, 0.11178, 9.5726, 0.0, 0.0, negative
1.52666318, 13.9885, 3.69976, 0.71051, 71.5684, 0.01863, 9.82008, 0.0, 0.051, negative
1.51925968, 13.19715, 3.33158, 1.27868, 72.358, 0.60237, 9.1422, 0.0, 0.0561, negative
1.52171992, 13.4831, 3.74017, 0.8999, 72.0108, 0.18009, 9.60488, 0.0, 0.0357, negative
1.51618438, 13.52965, 3.55159, 1.53869, 72.9908, 0.39123, 7.77568, 0.0, 0.0, negative
1.51761952, 12.61195, 3.592, 1.31078, 73.2876, 0.57753, 8.4966, 0.0, 0.0, negative
1.51796122, 12.7383, 3.47975, 1.3493, 72.9572, 0.63963, 8.67952, 0.0, 0.0, negative
1.51807512, 13.4299, 2.86911, 1.1888, 72.8396, 0.55269, 9.0346, 0.0, 0.0, negative
1.5174145, 13.2703, 3.61894, 1.24016, 73.0804, 0.55269, 8.0662, 0.0, 0.0, negative
1.51748284, 12.858, 3.56057, 1.26905, 73.2092, 0.54027, 8.37824, 0.0, 0.0867, negative
1.51736894, 12.7782, 3.61894, 1.29152, 72.7892, 0.58995, 8.70104, 0.0, 0.0, negative
1.51768786, 12.65185, 3.56057, 1.30115, 73.0804, 0.60858, 8.69028, 0.0, 0.0714, negative
1.51755118, 12.7117, 3.42138, 1.19843, 73.198, 0.58995, 8.63648, 0.0, 0.0, negative
1.51768786, 12.45235, 2.71196, 1.29152, 73.702, 0.5589, 9.05612, 0.0, 0.1224, negative
1.51905466, 13.6028, 3.61894, 1.10855, 72.638, 0.14283, 8.75484, 0.0, 0.0, negative
1.51566044, 13.29025, 3.44832, 1.21127, 72.7388, 0.5589, 8.57192, 0.0, 0.0, negative
1.52226664, 14.16805, 3.81201, 0.78113, 71.35, 0.0, 9.69096, 0.0, 0.0, negative
1.51966972, 14.7732, 3.74915, 0.29, 72.022, 0.03105, 9.00232, 0.0, 0.0, negative
1.5190091, 13.48975, 3.47975, 1.3493, 71.9492, 0.55269, 9.00232, 0.0, 0.0, negative
1.5151365, 14.00845, 2.68053, 3.5, 69.8884, 1.68291, 5.87116, 2.1987, 0.0, negative
1.51315464, 13.0176, 0.0, 3.04097, 70.482, 6.21, 6.95792, 0.0, 0.0, negative
1.52119598, 12.97105, 0.32777, 1.5098, 73.3884, 0.13041, 11.27268, 0.0, 0.1428, negative
1.5132002, 12.99765, 0.0, 3.0185, 70.7004, 6.21, 6.92564, 0.0, 0.0, negative
1.52042146, 13.3767, 0.0, 1.40066, 72.2516, 0.32913, 12.49932, 0.0, 0.0, negative
1.51994308, 13.2703, 0.0, 1.76018, 73.03, 0.47196, 11.31572, 0.0, 0.0, negative
1.52058092, 12.85135, 1.61191, 2.17106, 72.1788, 0.75762, 9.70172, 0.2394, 0.2601, negative
1.52171992, 11.56125, 1.88131, 1.56116, 72.862, 0.47196, 11.41256, 0.0, 0.0, negative
1.5196925, 12.63855, 0.0, 1.65104, 73.7524, 0.37881, 11.53092, 0.0, 0.0, negative
1.51914578, 12.73165, 1.84988, 1.85969, 72.6884, 0.60237, 10.08908, 0.0, 0.0, negative
1.5196925, 14.5604, 0.0, 0.55964, 73.478, 0.0, 11.21888, 0.0, 0.0, positive
1.51115, 17.38, 0.0, 0.34136, 75.41, 0.0, 6.64588, 0.0, 0.0, positive
1.51937358, 13.789, 2.41113, 1.1888, 72.7612, 0.0, 9.76628, 0.0, 0.0, positive
1.51828014, 14.46065, 2.24051, 1.61894, 72.3804, 0.0, 9.26056, 0.0, 0.0, positive
1.51853072, 14.08825, 2.19112, 1.66067, 72.6716, 0.0, 9.32512, 0.0, 0.0, positive
1.51887242, 14.99265, 0.78126, 1.74092, 72.498, 0.0, 9.9492, 0.0, 0.0, positive
1.51916856, 14.1481, 0.0, 2.09081, 72.7388, 0.0, 10.88532, 0.0, 0.0, positive
