@relation iris0
@attribute SepalLength real [4.3, 7.9]
@attribute SepalWidth real [2.0, 4.4]
@attribute PetalLength real [1.0, 6.9]
@attribute PetalWidth real [0.1, 2.5]
@attribute Class {positive, negative}
@inputs SepalLength, SepalWidth, PetalLength, PetalWidth
@outputs Class
@data
5.1, 3.5, 1.4, 0.2, positive
4.6, 3.1, 1.5, 0.2, positive
5.0, 3.6, 1.4, 0.2, positive
4.6, 3.4, 1.4, 0.3, positive
5.0, 3.4, 1.5, 0.2, positive
4.4, 2.9, 1.4, 0.2, positive
5.4, 3.7, 1.5, 0.2, positive
4.8, 3.4, 1.6, 0.2, positive
4.8, 3.0, 1.4, 0.1, positive
5.4, 3.9, 1.3, 0.4, positive
5.1, 3.5, 1.4, 0.3, positive
5.7, 3.8, 1.7, 0.3, positive
5.1, 3.8, 1.5, 0.3, positive
5.4, 3.4, 1.7, 0.2, positive
5.1, 3.7, 1.5, 0.4, positive
4.6, 3.6, 1.0, 0.2, positive
4.8, 3.4, 1.9, 0.2, positive
5.0, 3.4, 1.6, 0.4, positive
5.2, 3.5, 1.5, 0.2, positive
5.2, 3.4, 1.4, 0.2, positive
4.7, 3.2, 1.6, 0.2, positive
4.8, 3.1, 1.6, 0.2, positive
5.4, 3.4, 1.5, 0.4, positive
5.5, 4.2, 1.4, 0.2, positive
4.9, 3.1, 1.5, 0.1, positive
4.9, 3.1, 1.5, 0.1, positive
4.4, 3.0, 1.3, 0.2, positive
5.1, 3.4, 1.5, 0.2, positive
4.5, 2.3, 1.3, 0.3, positive
5.1, 3.8, 1.9, 0.4, positive
4.8, 3.0, 1.4, 0.3, positive
5.1, 3.8, 1.6, 0.2, positive
4.6, 3.2, 1.4, 0.2, positive
5.3, 3.7, 1.5, 0.2, positive
5.0, 3.3, 1.4, 0.2, positive
4.7, 3.2, 1.3, 0.2, positive
4.9, 3.1, 1.5, 0.1, positive
5.8, 4.0, 1.2, 0.2, positive
4.4, 3.2, 1.3, 0.2, positive
5.0, 3.5, 1.6, 0.6, positive
6.5, 2.8, 4.6, 1.5, negative
6.6, 2.9, 4.6, 1.3, negative
6.8, 2.8, 4.8, 1.4, negative
6.0, 2.9, 4.5, 1.5, negative
6.0, 3.4, 4.5, 1.6, negative
7.0, 3.2, 4.7, 1.4, negative
6.4, 3.2, 4.5, 1.5, negative
6.9, 3.1, 4.9, 1.5, negative
6.3, 3.3, 4.7, 1.6, negative
4.9, 2.4, 3.3, 1.0, negative
5.2, 2.7, 3.9, 1.4, negative
5.0, 2.0, 3.5, 1.0, negative
6.0, 2.2, 4.0, 1.0, negative
6.1, 2.9, 4.7, 1.4, negative
5.6, 2.9, 3.6, 1.3, negative
6.7, 3.1, 4.4, 1.4, negative
5.6, 3.0, 4.5, 1.5, negative
5.8, 2.7, 4.1, 1.0, negative
5.6, 2.5, 3.9, 1.1, negative
5.9, 3.2, 4.8, 1.8, negative
6.1, 2.8, 4.0, 1.3, negative
6.3, 2.5, 4.9, 1.5, negative
6.1, 2.8, 4.7, 1.2, negative
6.6, 3.0, 4.4, 1.4, negative
6.7, 3.0, 5.0, 1.7, negative
5.7, 2.6, 3.5, 1.0, negative
5.5, 2.4, 3.8, 1.1, negative
5.5, 2.4, 3.7, 1.0, negative
6.0, 2.7, 5.1, 1.6, negative
5.4, 3.0, 4.5, 1.5, negative
6.7, 3.1, 4.7, 1.5, negative
6.3, 2.3, 4.4, 1.3, negative
5.6, 3.0, 4.1, 1.3, negative
5.5, 2.5, 4.0, 1.3, negative
5.5, 2.6, 4.4, 1.2, negative
6.1, 3.0, 4.6, 1.4, negative
5.0, 2.3, 3.3, 1.0, negative
5.6, 2.7, 4.2, 1.3, negative
5.7, 3.0, 4.2, 1.2, negative
5.7, 2.9, 4.2, 1.3, negative
5.7, 2.8, 4.1, 1.3, negative
7.1, 3.0, 5.9, 2.1, negative
6.3, 2.9, 5.6, 1.8, negative
6.5, 3.0, 5.8, 2.2, negative
7.6, 3.0, 6.6, 2.1, negative
4.9, 2.5, 4.5, 1.7, negative
7.3, 2.9, 6.3, 1.8, negative
6.7, 2.5, 5.8, 1.8, negative
7.2, 3.6, 6.1, 2.5, negative
6.5, 3.2, 5.1, 2.0, negative
6.8, 3.0, 5.5, 2.1, negative
5.7, 2.5, 5.0, 2.0, negative
5.8, 2.8, 5.1, 2.4, negative
7.7, 3.8, 6.7, 2.2, negative
7.7, 2.8, 6.7, 2.0, negative
6.3, 2.7, 4.9, 1.8, negative
6.7, 3.3, 5.7, 2.1, negative
6.1, 3.0, 4.9, 1.8, negative
6.4, 2.8, 5.6, 2.1, negative
7.2, 3.0, 5.8, 1.6, negative
7.4, 2.8, 6.1, 1.9, negative
7.9, 3.8, 6.4, 2.0, negative
6.4, 2.8, 5.6, 2.2, negative
6.3, 2.8, 5.1, 1.5, negative
6.1, 2.6, 5.6, 1.4, negative
7.7, 3.0, 6.1, 2.3, negative
6.3, 3.4, 5.6, 2.4, negative
6.4, 3.1, 5.5, 1.8, negative
6.0, 3.0, 4.8, 1.8, negative
6.9, 3.1, 5.4, 2.1, negative
6.7, 3.1, 5.6, 2.4, negative
6.8, 3.2, 5.9, 2.3, negative
6.7, 3.3, 5.7, 2.5, negative
6.7, 3.0, 5.2, 2.3, negative
6.3, 2.5, 5.0, 1.9, negative
6.5, 3.0, 5.2, 2.0, negative
6.2, 3.4, 5.4, 2.3, negative
5.9, 3.0, 5.1, 1.8, negative
6.0, 2.2, 5.0, 1.5, negative
6.9, 3.2, 5.7, 2.3, negative
