@relation page-blocks-1-3_vs_4
@attribute Height integer [1, 804]
@attribute Lenght integer [1, 553]
@attribute Area integer [7, 143993]
@attribute Eccen real [0.0070, 537.0]
@attribute P_black real [0.052, 1.0]
@attribute P_and real [0.062, 1.0]
@attribute Mean_tr real [1.0, 4955.0]
@attribute Blackpix integer [1, 33017]
@attribute Blackand integer [7, 46133]
@attribute Wb_trans integer [1, 3212]
@attribute Class {positive,negative}
@inputs Height, Lenght, Area, Eccen, P_black, P_and, Mean_tr, Blackpix, Blackand, Wb_trans
@output Class
@data
3, 59, 177, 19.667, 0.475, 0.475, 84.0, 84, 84, 1, negative
4, 194, 776, 48.5, 0.263, 0.273, 34.0, 204, 212, 6, negative
1, 13, 13, 13.0, 1.0, 1.0, 13.0, 13, 13, 1, negative
1, 17, 17, 17.0, 0.765, 1.0, 3.25, 13, 17, 4, negative
1, 57, 57, 57.0, 0.456, 1.0, 3.71, 26, 57, 7, negative
1, 36, 36, 36.0, 0.722, 1.0, 8.67, 26, 36, 3, negative
2, 236, 472, 118.0, 0.566, 0.689, 10.27, 267, 325, 26, negative
3, 286, 858, 95.333, 0.406, 0.427, 87.0, 348, 366, 4, negative
1, 14, 14, 14.0, 0.571, 1.0, 2.0, 8, 14, 4, negative
1, 98, 98, 98.0, 0.939, 1.0, 30.67, 92, 98, 3, negative
1, 36, 36, 36.0, 0.583, 1.0, 4.2, 21, 36, 5, negative
1, 17, 17, 17.0, 0.765, 1.0, 6.5, 13, 17, 2, negative
1, 14, 14, 14.0, 0.857, 1.0, 12.0, 12, 14, 1, negative
1, 147, 147, 147.0, 0.864, 1.0, 11.55, 127, 147, 11, negative
3, 259, 777, 86.333, 0.411, 0.481, 13.29, 319, 374, 24, negative
2, 49, 98, 24.5, 0.51, 0.51, 50.0, 50, 50, 1, negative
1, 114, 114, 114.0, 0.939, 1.0, 21.4, 107, 114, 5, negative
1, 41, 41, 41.0, 0.78, 1.0, 4.57, 32, 41, 7, negative
7, 46, 322, 6.571, 0.177, 0.304, 8.14, 57, 98, 7, negative
1, 127, 127, 127.0, 0.646, 1.0, 13.67, 82, 127, 6, negative
