@relation shuttle-6_vs_2-3
@attribute A1 integer [27, 126]
@attribute A2 integer [-4821, 5075]
@attribute A3 integer [21, 149]
@attribute A4 integer [-3939, 3830]
@attribute A5 integer [-188, 436]
@attribute A6 integer [-26739, 15164]
@attribute A7 integer [-48, 105]
@attribute A8 integer [-353, 270]
@attribute A9 integer [-356, 266]
@attribute Class {positive, negative}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9
@outputs Class
@data
70, 57, 82, 0, -42, -4, 12, 126, 114, negative
37, -38, 106, -104, 30, -17, 69, 75, 6, negative
52, -30, 79, 0, 0, 0, 27, 79, 52, negative
78, -33, 88, -4, 8, 0, 10, 81, 70, negative
68, -27, 107, 0, 60, -5, 38, 47, 10, negative
37, -49, 80, 0, 34, 0, 43, 46, 2, negative
42, 36, 77, 0, -22, 0, 36, 101, 64, negative
37, -36, 78, 0, 10, 0, 42, 68, 26, negative
71, -51, 88, 0, 8, 0, 17, 81, 64, negative
37, -78, 75, -1, 26, -20, 38, 49, 12, negative
92, -41, 107, 0, 68, -6, 15, 40, 24, negative
90, -40, 107, 0, 64, -28, 17, 42, 26, negative
37, -102, 76, 1, 36, 1, 39, 40, 2, negative
42, -30, 76, 0, 42, 0, 34, 35, 2, negative
69, 59, 82, 0, -42, -5, 13, 126, 112, negative
43, -34, 91, 0, 2, 0, 48, 88, 40, negative
68, 67, 82, 0, -42, -6, 13, 126, 112, negative
89, -40, 107, 0, 64, -18, 18, 42, 24, negative
37, -107, 77, 0, 20, 0, 40, 56, 16, negative
37, -80, 106, -1, 30, 1, 69, 75, 6, negative
37, -33, 76, 0, 20, 0, 39, 55, 16, negative
44, -39, 91, 0, 2, 0, 47, 88, 42, negative
82, 736, 106, -3, 34, -16, 24, 72, 48, positive
44, -45, 78, -6, 0, 0, 34, 78, 44, negative
47, -44, 91, 0, 2, 0, 43, 88, 44, negative
37, -60, 78, 0, 10, 0, 42, 68, 26, negative
50, -37, 79, 0, 0, 0, 29, 79, 50, negative
37, -34, 106, 0, 30, -4, 69, 75, 6, negative
41, 33, 77, 0, -22, 0, 37, 101, 64, negative
45, -30, 89, 2, 6, -2, 44, 84, 40, negative
70, -51, 88, 0, 8, 0, 18, 81, 62, negative
50, 22, 79, 0, 42, 0, 29, 37, 8, negative
55, 1029, 76, 0, 20, 0, 20, 55, 34, positive
42, -37, 76, 0, 42, 0, 34, 35, 2, negative
37, -33, 76, 0, 36, 0, 39, 40, 2, negative
48, -51, 89, 8, 6, -13, 41, 84, 44, negative
72, 21, 82, 0, -42, -1, 10, 126, 116, negative
69, -28, 107, 0, 60, -8, 38, 47, 10, negative
37, -85, 77, 0, 20, 0, 40, 56, 16, negative
51, 21, 79, 0, 42, 0, 28, 37, 10, negative
70, -30, 107, 0, 60, -13, 37, 47, 10, negative
45, 32, 77, 0, 28, 0, 32, 48, 16, negative
79, 1958, 82, -3, 44, -5, 3, 38, 34, positive
42, -29, 78, -6, 0, 0, 36, 78, 42, negative
96, -27, 107, 0, 68, -24, 11, 40, 30, negative
59, -69, 88, 0, 8, 0, 29, 81, 52, negative
87, -36, 107, 0, 64, -9, 20, 42, 22, negative
44, -40, 77, 0, -2, 0, 33, 79, 46, negative
69, -27, 107, 0, 60, -6, 38, 47, 10, negative
44, 45, 77, 0, -22, 0, 34, 101, 66, negative
84, -35, 107, 0, 64, -3, 22, 42, 20, negative
46, 48, 77, 0, -22, 0, 31, 101, 70, negative
45, 46, 77, 0, -22, 0, 33, 101, 68, negative
52, -27, 91, 0, 2, 0, 38, 88, 50, negative
76, -45, 107, 0, 62, -3, 30, 45, 14, negative
66, 77, 82, 0, -40, 25, 16, 123, 106, negative
80, -38, 107, 0, 62, -8, 27, 45, 18, negative
37, -42, 76, 0, 36, 0, 39, 40, 2, negative
51, -33, 77, 0, -2, 0, 26, 79, 54, negative
37, -78, 76, 0, 20, 0, 39, 55, 16, negative
37, -32, 106, 0, 30, 0, 69, 75, 6, negative
41, 22, 77, 0, 28, 0, 36, 48, 12, negative
43, -72, 76, 0, 42, 0, 33, 35, 2, negative
76, -41, 88, -2, 8, 0, 13, 81, 68, negative
37, -35, 77, 0, 20, 0, 40, 56, 16, negative
50, 23, 79, 0, 42, 0, 29, 37, 8, negative
44, -34, 79, 2, 0, 0, 35, 79, 44, negative
46, -49, 79, 3, 0, 0, 33, 79, 46, negative
72, -41, 107, 0, 60, -31, 35, 47, 12, negative
47, -45, 91, 0, 2, 0, 44, 88, 44, negative
54, -73, 88, 0, 8, 0, 34, 81, 46, negative
72, 24, 82, 0, -42, -2, 10, 126, 116, negative
42, -31, 91, 0, 2, 0, 48, 88, 40, negative
47, -48, 77, 0, -2, 0, 29, 79, 50, negative
73, -44, 107, 0, 62, -1, 33, 45, 12, negative
70, 51, 82, 0, -40, 28, 12, 123, 112, negative
68, 72, 82, 0, -42, -8, 14, 126, 112, negative
49, 28, 77, 0, 28, 0, 28, 48, 20, negative
75, -47, 107, 0, 62, -2, 32, 45, 12, negative
71, 32, 82, 0, -42, -4, 11, 126, 116, negative
57, 1149, 80, 0, 34, 0, 23, 46, 24, positive
97, -29, 107, 0, 70, 0, 10, 37, 28, negative
72, -51, 88, -1, 8, 0, 16, 81, 64, negative
37, -88, 106, 0, 34, -2, 69, 72, 4, negative
82, -33, 107, 0, 62, -16, 25, 45, 20, negative
37, -100, 106, -2, 34, -3, 69, 72, 4, negative
47, -42, 89, 5, 6, -8, 41, 84, 42, negative
77, -36, 88, -3, 8, 0, 11, 81, 70, negative
78, -42, 107, 0, 62, -5, 29, 45, 16, negative
47, 44, 77, 0, -22, 0, 30, 101, 70, negative
52, -25, 79, 0, 0, 0, 26, 79, 52, negative
37, -31, 80, 0, 34, 0, 43, 46, 2, negative
37, -85, 77, 0, 20, 0, 40, 57, 16, negative
50, -38, 91, 0, 2, 0, 41, 88, 48, negative
41, 21, 77, 0, 28, 0, 36, 48, 12, negative
37, -64, 106, -1, 30, 0, 69, 75, 6, negative
46, -49, 77, 0, -2, 0, 31, 79, 48, negative
48, -46, 89, 6, 6, -11, 41, 84, 42, negative
