@relation shuttle-c0-vs-c4
@attribute A1 integer [36, 123]
@attribute A2 integer [-908, 1409]
@attribute A3 integer [74, 113]
@attribute A4 integer [-587, 2565]
@attribute A5 integer [-46, 436]
@attribute A6 integer [-898, 6339]
@attribute A7 integer [-18, 72]
@attribute A8 integer [-353, 130]
@attribute A9 integer [-356, 126]
@attribute Class {positive, negative}
@input A1,A2,A3,A4,A5,A6,A7,A8,A9
@output Class
@data
41, 1, 86, 3, 42, 6, 45, 45, 0, negative
50, -4, 83, 0, 50, 0, 33, 34, 2, negative
37, 0, 81, 0, 38, 7, 43, 42, 0, negative
43, 0, 81, 0, 42, -10, 37, 39, 2, negative
45, -4, 81, 1, 44, -21, 36, 37, 2, negative
49, -1, 86, 0, 50, 4, 37, 37, 0, negative
50, 0, 110, 1, 50, 0, 60, 61, 2, negative
44, 1, 86, 0, 44, 22, 42, 42, 0, negative
37, 0, 106, 0, 24, -2, 69, 83, 14, negative
37, 0, 76, 0, 34, 19, 39, 43, 4, negative
45, 0, 106, 0, 46, 14, 61, 60, 0, negative
37, 0, 81, 3, 34, 1, 43, 47, 4, negative
44, 0, 86, -1, 44, 8, 42, 42, 0, negative
44, 3, 77, 0, 44, 23, 33, 33, 0, negative
41, 0, 84, 2, 38, -4, 43, 45, 2, negative
39, -5, 76, -1, -2, 0, 37, 79, 42, negative
44, -2, 86, 0, 44, 0, 42, 42, 0, negative
47, 0, 88, -2, 46, 0, 40, 41, 0, negative
39, -1, 78, -5, 38, 0, 39, 39, 0, negative
37, -1, 79, -3, 20, -7, 42, 58, 16, negative
51, 1, 88, 0, 50, -7, 36, 39, 2, negative
46, 1, 86, 0, 44, -12, 41, 42, 2, negative
39, -1, 79, -3, 38, 0, 40, 41, 0, negative
40, 4, 90, 0, 38, 0, 49, 51, 2, negative
37, 0, 83, 0, 30, 24, 46, 52, 6, negative
36, 3, 75, 0, 36, 0, 39, 39, 0, negative
42, 0, 86, -5, 42, 0, 45, 45, 0, negative
45, -1, 77, -5, 44, -8, 32, 33, 0, negative
37, 0, 76, 4, 28, -6, 40, 48, 8, negative
48, 0, 87, 8, 46, 0, 39, 41, 2, negative
37, 4, 81, 0, 36, -2, 43, 44, 2, negative
47, 5, 82, 0, 46, 0, 35, 35, 0, negative
42, 2, 86, 0, 42, 0, 44, 45, 0, negative
49, 1, 80, 0, 50, 21, 31, 31, 0, negative
44, 0, 84, 0, 44, 4, 40, 41, 0, negative
56, 1, 86, 0, 56, 8, 30, 29, 0, negative
43, 0, 83, 0, 44, 30, 40, 39, 0, negative
42, 2, 76, 0, 42, 0, 34, 35, 2, negative
37, 0, 79, 0, 8, 8, 42, 71, 28, negative
41, 1, 84, 0, 38, -22, 43, 45, 2, negative
52, 5, 79, 0, 52, 0, 26, 27, 0, negative
37, 0, 77, 0, 26, -27, 40, 51, 10, negative
41, 0, 83, 0, 38, -21, 42, 44, 2, negative
51, 0, 81, 0, 52, 4, 29, 29, 0, negative
45, -5, 81, 0, 44, -3, 36, 37, 2, negative
47, 4, 82, -1, 46, 0, 34, 35, 0, negative
56, 3, 79, 0, 56, 3, 23, 23, 0, negative
41, 3, 86, 0, 42, 6, 45, 44, 0, negative
42, -1, 87, -5, 42, -7, 45, 46, 0, negative
37, 0, 77, 5, 20, -2, 40, 56, 16, negative
45, 0, 109, 0, 44, 0, 64, 66, 2, negative
37, 0, 78, 0, -4, 18, 41, 83, 42, negative
38, -5, 100, 0, 38, 0, 62, 62, 0, negative
44, 3, 107, 0, 44, 1, 63, 63, 0, negative
37, 0, 80, 0, 20, -3, 43, 59, 16, negative
48, 0, 77, 0, 46, -7, 28, 30, 2, negative
49, 0, 77, 0, 50, 26, 28, 28, 0, negative
37, 0, 78, 0, 6, 12, 41, 73, 32, negative
44, 4, 77, 0, 44, 0, 33, 33, 0, negative
50, -1, 87, 0, 50, 0, 37, 38, 2, negative
37, 0, 75, 0, 20, 9, 38, 54, 16, negative
45, 5, 79, 0, 44, -4, 33, 35, 2, negative
45, 4, 82, 1, 44, 0, 37, 38, 0, negative
37, 0, 79, 0, 8, 15, 42, 71, 28, negative
49, -3, 84, 0, 50, 13, 35, 35, 0, negative
37, 0, 76, -1, 36, 0, 39, 39, 0, negative
44, 0, 81, 0, 44, 5, 37, 37, 0, negative
47, 0, 83, 0, 46, 0, 35, 36, 0, negative
45, 5, 81, 3, 44, 0, 37, 37, 0, negative
38, 0, 76, 0, 38, 2, 38, 37, 0, negative
48, -1, 86, 0, 46, 0, 38, 39, 2, negative
38, 1, 96, 0, 38, 6, 58, 57, 0, negative
49, 0, 81, 0, 46, -9, 33, 35, 2, negative
51, 3, 78, 0, 52, 13, 27, 26, 0, negative
44, 0, 77, 2, 42, -17, 34, 36, 2, negative
51, -4, 83, 0, 50, -6, 32, 34, 2, negative
37, 0, 76, 0, 34, -10, 40, 43, 2, negative
51, 0, 107, -2, 50, 0, 56, 58, 2, negative
42, -15, 76, 0, 42, 0, 34, 35, 2, negative
37, 4, 79, 0, 18, -6, 41, 61, 20, negative
37, 5, 75, 0, 34, 5, 37, 41, 4, negative
53, 0, 91, 0, 54, 15, 38, 37, 0, negative
37, 0, 104, 0, 24, 9, 67, 80, 14, negative
40, 0, 84, 8, 38, 0, 44, 45, 2, negative
52, 2, 83, 0, 52, 0, 31, 32, 0, negative
41, -2, 76, 0, 42, 23, 35, 35, 0, negative
46, 0, 76, 0, 46, 0, 29, 29, 0, negative
37, 0, 95, -5, 28, 0, 58, 67, 8, negative
41, 0, 79, 2, 38, -4, 39, 41, 2, negative
37, 0, 76, -2, 34, 0, 40, 43, 2, negative
55, 0, 83, 6, 54, 0, 28, 29, 0, negative
39, 2, 86, 0, 38, 0, 47, 48, 0, negative
37, 0, 106, 1, 20, -5, 69, 85, 16, negative
47, 0, 84, -1, 46, 0, 38, 38, 0, negative
43, 0, 77, 0, 44, 25, 34, 34, 0, negative
41, 0, 85, 0, 38, -11, 44, 46, 2, negative
39, 3, 83, 0, 38, 0, 44, 44, 0, negative
45, 0, 88, -3, 44, 0, 43, 44, 2, negative
41, 3, 86, 0, 38, -19, 45, 48, 2, negative
37, 0, 75, -1, 26, 0, 38, 49, 10, negative
49, 1, 88, 0, 50, 29, 39, 39, 0, negative
37, 0, 75, 0, 28, -10, 38, 46, 8, negative
50, -5, 77, 0, 50, 0, 27, 28, 2, negative
49, 0, 77, 0, 50, 14, 29, 28, 0, negative
48, 4, 94, 0, 46, 0, 46, 48, 2, negative
56, 0, 79, 0, 54, -13, 23, 24, 2, negative
37, 0, 82, 0, 34, -14, 45, 48, 2, negative
45, 0, 86, 0, 44, 0, 42, 42, 0, negative
46, -3, 79, 0, 46, 0, 34, 33, 0, negative
53, 0, 80, 0, 54, 6, 27, 26, 0, negative
45, 0, 83, 7, 44, -1, 38, 39, 2, negative
37, 0, 77, 0, 36, -25, 39, 41, 2, negative
56, 0, 86, 0, 56, 19, 30, 29, 0, negative
48, -1, 110, 0, 46, -1, 62, 64, 2, negative
45, 0, 84, 0, 44, 0, 40, 41, 0, negative
42, -1, 75, 0, 42, 0, 33, 34, 0, negative
37, 0, 81, 3, 38, 18, 44, 43, 0, negative
49, -4, 111, 0, 50, 2, 62, 62, 0, negative
54, 0, 83, 3, 54, 0, 29, 29, 0, negative
51, 0, 88, -3, 50, -13, 37, 39, 2, negative
48, -1, 81, 0, 46, -11, 33, 35, 2, negative
53, 0, 84, 0, 54, 2, 32, 30, 0, negative
51, 5, 82, 0, 50, 0, 31, 33, 2, negative
49, 2, 106, 0, 46, -10, 58, 60, 2, negative
42, 2, 78, -1, 42, 0, 36, 37, 2, negative
37, 0, 84, 0, 26, -1, 47, 58, 10, negative
40, -2, 106, 0, 38, 0, 66, 67, 2, negative
