@relation shuttle-c2-vs-c4
@attribute A1 integer [37, 123]
@attribute A2 integer [-85, 1409]
@attribute A3 integer [77, 108]
@attribute A4 integer [-587, 10]
@attribute A5 integer [-46, 436]
@attribute A6 integer [-30, 6339]
@attribute A7 integer [-18, 40]
@attribute A8 integer [-353, 130]
@attribute A9 integer [-356, 126]
@attribute Class {positive, negative}
@input A1,A2,A3,A4,A5,A6,A7,A8,A9
@output Class
@data
52, -30, 79, 0, 0, 0, 27, 79, 52, positive
90, -40, 107, 0, 64, -28, 17, 42, 26, positive
70, -30, 107, 0, 60, -13, 37, 47, 10, positive
71, -33, 107, 0, 60, -21, 36, 47, 12, positive
46, -49, 77, 0, -2, 0, 31, 79, 48, positive
81, -5, 84, 0, -22, -6, 4, 108, 104, negative
86, 5, 89, 0, 2, -5, 3, 86, 84, negative
106, 0, 108, -3, 70, -4, 1, 38, 36, negative
83, 0, 87, 0, -40, 0, 4, 128, 124, negative
84, -3, 88, 0, 6, 0, 5, 83, 78, negative
101, 5, 102, 0, 72, 14, 1, 29, 28, negative
79, -1, 83, -10, 436, 6339, 4, -353, -356, negative
105, 1, 106, 0, 70, -3, 1, 36, 34, negative
108, 0, 108, -6, 72, 7, 1, 36, 36, negative
102, -4, 104, 0, 70, 0, 1, 34, 32, negative
82, -1, 86, 0, -12, 0, 4, 99, 94, negative
103, 2, 105, 9, 70, 0, 2, 35, 34, negative
105, -5, 106, -7, 70, 0, 1, 36, 34, negative
102, 0, 103, 0, 70, -25, 1, 33, 32, negative
81, 0, 84, 0, -20, 24, 4, 105, 102, negative
101, 0, 102, 0, 72, 38, 1, 30, 28, negative
80, 1, 84, 3, -42, -26, 5, 128, 124, negative
85, 0, 88, 0, 0, -9, 3, 88, 86, negative
82, -1, 86, 0, -2, 25, 3, 88, 84, negative
106, 2, 108, 8, 70, -30, 2, 38, 36, negative
106, -2, 108, 0, 70, 0, 1, 38, 36, negative
81, -5, 86, 0, -22, 0, 4, 109, 104, negative
82, 0, 87, 1, -40, 4, 5, 128, 124, negative
101, 0, 102, 0, 72, 15, 1, 29, 28, negative
85, 0, 88, 4, 6, 0, 3, 83, 80, negative
78, 1, 82, 4, -42, 0, 4, 126, 122, negative
