@relation winequality-red-8_vs_6-7
@attribute FixedAcidity real [4.6, 15.9]
@attribute VolatileAcidity real [0.12, 1.58]
@attribute CitricAcid real [0.0, 1.0]
@attribute ResidualSugar real [0.9, 15.5]
@attribute Chlorides real [0.012, 0.611]
@attribute FreeSulfurDioxide real [1.0, 72.0]
@attribute TotalSulfurDioxide real [6.0, 289.0]
@attribute Density real [0.99007, 1.00369]
@attribute PH real [2.74, 4.01]
@attribute Sulphates real [0.33, 2.0]
@attribute Alcohol real [8.4, 14.9]
@attribute Class {positive, negative}
@inputs FixedAcidity, VolatileAcidity, CitricAcid, ResidualSugar, Chlorides, FreeSulfurDioxide, TotalSulfurDioxide, Density, PH, Sulphates, Alcohol
@outputs Class
@data
8.9, 0.22, 0.48, 1.8, 0.077, 29.0, 60.0, 0.9968, 3.39, 0.53, 9.4, negative
6.9, 0.685, 0.0, 2.5, 0.105, 22.0, 37.0, 0.9966, 3.46, 0.57, 10.6, negative
6.9, 0.605, 0.12, 10.7, 0.073, 40.0, 83.0, 0.9993, 3.45, 0.52, 9.4, negative
8.6, 0.49, 0.28, 1.9, 0.11, 20.0, 136.0, 0.9972, 2.93, 1.95, 9.9, negative
4.7, 0.6, 0.17, 2.3, 0.058, 17.0, 106.0, 0.9932, 3.85, 0.6, 12.9, negative
10.1, 0.31, 0.44, 2.3, 0.08, 22.0, 46.0, 0.9988, 3.32, 0.67, 9.7, negative
5.2, 0.34, 0.0, 1.8, 0.05, 27.0, 63.0, 0.9916, 3.68, 0.79, 14.0, negative
7.3, 0.33, 0.47, 2.1, 0.077, 5.0, 11.0, 0.9958, 3.33, 0.53, 10.3, negative
7.8, 0.53, 0.04, 1.7, 0.076, 17.0, 31.0, 0.9964, 3.33, 0.56, 10.0, negative
7.4, 0.62, 0.05, 1.9, 0.068, 24.0, 42.0, 0.9961, 3.42, 0.57, 11.5, negative
9.6, 0.32, 0.47, 1.4, 0.056, 9.0, 24.0, 0.99695, 3.22, 0.82, 10.3, negative
8.0, 0.725, 0.24, 2.8, 0.083, 10.0, 62.0, 0.99685, 3.35, 0.56, 10.0, negative
8.6, 0.645, 0.25, 2.0, 0.083, 8.0, 28.0, 0.99815, 3.28, 0.6, 10.0, negative
7.3, 0.66, 0.0, 2.0, 0.084, 6.0, 23.0, 0.9983, 3.61, 0.96, 9.9, negative
