@relation yeast-0-2-5-7-9_vs_3-6-8
@attribute mcg real [0.19, 1.0]
@attribute gvh real [0.14, 1.0]
@attribute alm real [0.21, 1.0]
@attribute mit real [0.0, 1.0]
@attribute erl real [0.5, 1.0]
@attribute pox real [0.0, 0.83]
@attribute vac real [0.13, 0.73]
@attribute nuc real [0.0, 0.83]
@attribute class {positive, negative}
@inputs mcg, gvh, alm, mit, erl, pox, vac, nuc
@outputs class
@data
0.43, 0.67, 0.48, 0.27, 0.5, 0.0, 0.53, 0.22, negative
0.6, 0.4, 0.52, 0.46, 0.5, 0.0, 0.53, 0.22, negative
0.66, 0.55, 0.45, 0.19, 0.5, 0.0, 0.46, 0.22, negative
0.51, 0.51, 0.52, 0.51, 0.5, 0.0, 0.54, 0.22, negative
0.59, 0.53, 0.43, 0.44, 0.5, 0.0, 0.5, 0.22, negative
0.46, 0.49, 0.58, 0.23, 0.5, 0.0, 0.44, 0.22, negative
0.49, 0.42, 0.56, 0.55, 0.5, 0.0, 0.42, 0.25, negative
0.51, 0.54, 0.6, 0.57, 0.5, 0.0, 0.58, 0.22, negative
0.59, 0.67, 0.56, 0.41, 0.5, 0.0, 0.47, 0.22, negative
0.47, 0.47, 0.57, 0.48, 0.5, 0.0, 0.48, 0.22, negative
0.67, 0.62, 0.54, 0.43, 0.5, 0.0, 0.53, 0.22, negative
0.71, 0.59, 0.48, 0.43, 0.5, 0.0, 0.59, 0.22, negative
0.61, 0.72, 0.31, 0.33, 0.5, 0.0, 0.56, 0.22, negative
0.72, 0.62, 0.34, 0.29, 0.5, 0.0, 0.56, 0.28, negative
0.59, 0.61, 0.34, 0.22, 0.5, 0.0, 0.51, 0.22, negative
0.5, 0.52, 0.6, 0.51, 0.5, 0.0, 0.48, 0.22, negative
0.37, 0.58, 0.44, 0.51, 0.5, 0.0, 0.44, 0.22, negative
0.47, 0.65, 0.54, 0.62, 0.5, 0.0, 0.53, 0.36, negative
0.48, 0.57, 0.52, 0.61, 0.5, 0.0, 0.51, 0.22, negative
0.32, 0.47, 0.55, 0.25, 0.5, 0.0, 0.49, 0.22, negative
0.67, 0.51, 0.54, 0.21, 0.5, 0.0, 0.43, 0.3, negative
0.57, 0.4, 0.62, 0.3, 0.5, 0.0, 0.48, 0.11, negative
0.42, 0.53, 0.53, 0.64, 0.5, 0.0, 0.47, 0.22, negative
0.41, 0.52, 0.53, 0.41, 0.5, 0.0, 0.39, 0.33, negative
0.45, 0.43, 0.63, 0.4, 0.5, 0.0, 0.59, 0.11, negative
0.55, 0.59, 0.47, 0.64, 0.5, 0.0, 0.54, 0.33, negative
0.54, 0.64, 0.5, 0.13, 0.5, 0.0, 0.49, 0.22, negative
0.63, 0.6, 0.5, 0.27, 0.5, 0.0, 0.55, 0.22, negative
0.46, 0.44, 0.53, 0.31, 0.5, 0.0, 0.48, 0.22, negative
0.44, 0.53, 0.53, 0.37, 0.5, 0.0, 0.51, 0.22, negative
0.53, 0.61, 0.51, 0.49, 0.5, 0.0, 0.54, 0.27, negative
0.41, 0.49, 0.58, 0.22, 0.5, 0.0, 0.52, 0.22, negative
0.5, 0.32, 0.49, 0.49, 0.5, 0.0, 0.48, 0.32, negative
0.26, 0.28, 0.6, 0.2, 0.5, 0.0, 0.54, 0.31, negative
0.5, 0.57, 0.62, 0.25, 0.5, 0.0, 0.51, 0.22, negative
0.57, 0.6, 0.54, 0.17, 0.5, 0.0, 0.52, 0.22, negative
0.38, 0.31, 0.59, 0.19, 0.5, 0.0, 0.46, 0.22, negative
0.42, 0.49, 0.49, 0.36, 0.5, 0.0, 0.57, 0.26, negative
0.52, 0.54, 0.47, 0.49, 0.5, 0.0, 0.54, 0.22, negative
0.56, 0.59, 0.45, 0.15, 0.5, 0.0, 0.54, 0.22, negative
0.61, 0.73, 0.5, 0.58, 0.5, 0.0, 0.5, 0.22, negative
0.59, 0.56, 0.5, 0.48, 0.5, 0.0, 0.46, 0.22, negative
0.56, 0.71, 0.47, 0.21, 0.5, 0.0, 0.52, 0.22, negative
