@relation yeast-0-3-5-9_vs_7-8
@attribute mcg real [0.2, 1.0]
@attribute gvh real [0.14, 1.0]
@attribute alm real [0.21, 0.72]
@attribute mit real [0.08, 0.87]
@attribute erl real [0.5, 1.0]
@attribute pox real [0.0, 0.83]
@attribute vac real [0.26, 0.69]
@attribute nuc real [0.11, 0.83]
@attribute class {positive, negative}
@inputs mcg, gvh, alm, mit, erl, pox, vac, nuc
@outputs class
@data
0.58, 0.61, 0.47, 0.13, 0.5, 0.0, 0.48, 0.22, negative
0.43, 0.67, 0.48, 0.27, 0.5, 0.0, 0.53, 0.22, negative
0.64, 0.62, 0.49, 0.15, 0.5, 0.0, 0.53, 0.22, negative
0.42, 0.44, 0.48, 0.54, 0.5, 0.0, 0.48, 0.22, negative
0.5, 0.54, 0.48, 0.65, 0.5, 0.0, 0.53, 0.22, negative
0.66, 0.55, 0.45, 0.19, 0.5, 0.0, 0.46, 0.22, negative
0.63, 0.67, 0.57, 0.24, 0.5, 0.0, 0.49, 0.22, negative
0.51, 0.51, 0.43, 0.87, 0.5, 0.0, 0.52, 0.22, negative
0.57, 0.53, 0.53, 0.34, 0.5, 0.0, 0.53, 0.22, negative
0.45, 0.58, 0.48, 0.67, 0.5, 0.0, 0.52, 0.22, negative
0.43, 0.35, 0.52, 0.52, 0.5, 0.0, 0.54, 0.22, negative
0.6, 0.5, 0.44, 0.61, 0.5, 0.0, 0.47, 0.22, negative
0.45, 0.55, 0.54, 0.66, 0.5, 0.0, 0.47, 0.22, negative
0.46, 0.49, 0.58, 0.23, 0.5, 0.0, 0.44, 0.22, negative
0.49, 0.42, 0.56, 0.55, 0.5, 0.0, 0.42, 0.25, negative
0.63, 0.53, 0.54, 0.4, 0.5, 0.0, 0.5, 0.22, negative
0.5, 0.54, 0.53, 0.54, 0.5, 0.0, 0.51, 0.27, negative
0.48, 0.45, 0.55, 0.5, 0.5, 0.0, 0.53, 0.22, negative
0.5, 0.58, 0.46, 0.46, 0.5, 0.0, 0.46, 0.22, negative
0.51, 0.54, 0.6, 0.57, 0.5, 0.0, 0.58, 0.22, negative
0.54, 0.52, 0.63, 0.37, 0.5, 0.0, 0.46, 0.22, negative
0.67, 0.62, 0.4, 0.43, 0.5, 0.83, 0.5, 0.22, negative
0.46, 0.38, 0.47, 0.22, 0.5, 0.0, 0.52, 0.27, negative
0.61, 0.72, 0.39, 0.33, 0.5, 0.0, 0.58, 0.22, negative
0.78, 0.75, 0.4, 0.28, 0.5, 0.0, 0.53, 0.22, negative
0.45, 0.45, 0.5, 0.6, 0.5, 0.0, 0.49, 0.22, negative
0.59, 0.67, 0.56, 0.41, 0.5, 0.0, 0.47, 0.22, negative
0.47, 0.47, 0.57, 0.48, 0.5, 0.0, 0.48, 0.22, negative
0.64, 0.62, 0.29, 0.28, 0.5, 0.0, 0.51, 0.22, negative
0.55, 0.53, 0.55, 0.46, 0.5, 0.0, 0.52, 0.22, negative
0.58, 0.62, 0.54, 0.17, 0.5, 0.0, 0.48, 0.22, negative
0.46, 0.71, 0.48, 0.53, 0.5, 0.0, 0.53, 0.22, negative
0.71, 0.59, 0.48, 0.43, 0.5, 0.0, 0.59, 0.22, negative
0.38, 0.68, 0.44, 0.45, 0.5, 0.0, 0.53, 0.22, negative
0.61, 0.72, 0.31, 0.33, 0.5, 0.0, 0.56, 0.22, negative
0.52, 0.51, 0.51, 0.54, 0.5, 0.0, 0.55, 0.27, negative
0.63, 0.56, 0.45, 0.58, 0.5, 0.0, 0.51, 0.22, negative
0.58, 0.58, 0.58, 0.49, 0.5, 0.0, 0.49, 0.26, negative
0.72, 0.62, 0.34, 0.29, 0.5, 0.0, 0.56, 0.28, negative
0.72, 0.61, 0.37, 0.3, 0.5, 0.0, 0.57, 0.22, negative
0.46, 0.43, 0.38, 0.33, 0.5, 0.0, 0.48, 0.28, negative
0.57, 0.57, 0.44, 0.37, 0.5, 0.0, 0.52, 0.25, negative
0.49, 0.46, 0.45, 0.45, 0.5, 0.0, 0.52, 0.22, negative
