,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.8829787234042553,0.8829787234042553,0.8723404255319149,0.8829787234042553,0.9042553191489362,0.9042553191489362,0.9042553191489362,0.8829787234042553,0.8936170212765957,0.9148936170212766
FOLD 2,0.8631578947368421,0.8631578947368421,0.8526315789473684,0.8631578947368421,0.8842105263157894,0.8736842105263158,0.8947368421052632,0.8947368421052632,0.8736842105263158,0.9052631578947369
FOLD 3,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.8736842105263158,0.8842105263157894,0.8631578947368421,0.8842105263157894
FOLD 4,0.8736842105263158,0.8842105263157894,0.8736842105263158,0.8526315789473684,0.9157894736842105,0.8736842105263158,0.8947368421052632,0.8736842105263158,0.9052631578947369,0.9052631578947369
FOLD 5,0.8631578947368421,0.8736842105263158,0.8631578947368421,0.8631578947368421,0.8631578947368421,0.8842105263157894,0.8736842105263158,0.8736842105263158,0.8842105263157894,0.8736842105263158
FOLD 6,0.8541666666666666,0.8541666666666666,0.875,0.8541666666666666,0.8645833333333334,0.8645833333333334,0.8854166666666666,0.875,0.8854166666666666,0.875
FOLD 7,0.8333333333333334,0.8645833333333334,0.8645833333333334,0.8333333333333334,0.8958333333333334,0.8541666666666666,0.875,0.8645833333333334,0.8645833333333334,0.875
FOLD 8,0.8541666666666666,0.8541666666666666,0.84375,0.84375,0.8645833333333334,0.875,0.8854166666666666,0.875,0.8645833333333334,0.8541666666666666
FOLD 9,0.8645833333333334,0.8541666666666666,0.875,0.8541666666666666,0.8854166666666666,0.8645833333333334,0.8854166666666666,0.875,0.875,0.875
FOLD 10,0.8645833333333334,0.8541666666666666,0.8645833333333334,0.8645833333333334,0.8958333333333334,0.8541666666666666,0.8958333333333334,0.84375,0.8645833333333334,0.8854166666666666
MEAN,0.8616969951474431,0.8648439249720046,0.8647888671145949,0.8575083986562151,0.8836821108622621,0.87114921612542,0.8868180757745427,0.8742627846211274,0.8774099477416947,0.884789800298619
