,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.8873239436619719,0.9577464788732394,0.8450704225352113,0.8873239436619719,0.9436619718309859,0.9577464788732394,0.9014084507042254,0.8732394366197183,0.8873239436619719,0.9577464788732394
FOLD 2,0.9154929577464789,0.9436619718309859,0.8873239436619719,0.9295774647887324,0.9436619718309859,0.9577464788732394,0.9154929577464789,0.9014084507042254,0.9014084507042254,0.9436619718309859
FOLD 3,0.8450704225352113,0.9436619718309859,0.8732394366197183,0.8873239436619719,0.971830985915493,0.9154929577464789,0.9014084507042254,0.8591549295774648,0.8873239436619719,0.9295774647887324
FOLD 4,0.875,0.9027777777777778,0.9027777777777778,0.875,0.9583333333333334,0.9305555555555556,0.8888888888888888,0.8888888888888888,0.9027777777777778,0.9166666666666666
FOLD 5,0.8472222222222222,0.9444444444444444,0.8333333333333334,0.875,0.8472222222222222,0.9305555555555556,0.875,0.8472222222222222,0.875,0.9444444444444444
FOLD 6,0.8611111111111112,0.9444444444444444,0.8611111111111112,0.8888888888888888,0.9722222222222222,0.9305555555555556,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.9444444444444444
FOLD 7,0.8888888888888888,0.9444444444444444,0.875,0.8611111111111112,0.9583333333333334,0.9166666666666666,0.8611111111111112,0.875,0.9027777777777778,0.9305555555555556
FOLD 8,0.821917808219178,0.958904109589041,0.8904109589041096,0.863013698630137,0.9315068493150684,0.958904109589041,0.8904109589041096,0.863013698630137,0.8767123287671232,0.958904109589041
FOLD 9,0.8493150684931506,0.9452054794520548,0.8767123287671232,0.8904109589041096,0.9041095890410958,0.9315068493150684,0.9178082191780822,0.9178082191780822,0.9178082191780822,0.9315068493150684
FOLD 10,0.821917808219178,0.9315068493150684,0.8767123287671232,0.8904109589041096,0.9315068493150684,0.9041095890410958,0.8493150684931506,0.863013698630137,0.8767123287671232,0.9452054794520548
MEAN,0.8613260231097393,0.9416797972002489,0.8721691641477479,0.8848060968551031,0.9362389328359809,0.9333839796771496,0.8917510772396939,0.8777638433339764,0.8944511436962721,0.9402713464960233
