,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.8220164609053497,0.76440329218107,0.7973251028806584,0.8251028806584362,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 2,0.8117283950617284,0.757201646090535,0.7849794238683128,0.8179012345679012,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 3,0.8127572016460906,0.7530864197530864,0.8024691358024691,0.8127572016460906,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 4,0.808641975308642,0.7253086419753086,0.7901234567901234,0.8137860082304527,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 5,0.8150051387461459,0.7266187050359713,0.817060637204522,0.8180883864337102,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 6,0.8108941418293937,0.7482014388489209,0.7903391572456321,0.8098663926002055,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 7,0.8150051387461459,0.7338129496402878,0.7975334018499486,0.8139773895169579,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 8,0.8213552361396304,0.74435318275154,0.7823408624229979,0.8203285420944558,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 9,0.8151950718685832,0.731006160164271,0.7936344969199178,0.811088295687885,0.0,0.0,0.0,0.0,0.0,0.0
FOLD 10,0.8069815195071869,0.7351129363449692,0.7864476386036962,0.8059548254620124,0.0,0.0,0.0,0.0,0.0,0.0
MEAN,0.8139580279758898,0.741910537278596,0.7942253313588279,0.8148851156898106,0.0,0.0,0.0,0.0,0.0,0.0
