,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.8958837772397095,0.937046004842615,0.9079903147699758,0.8983050847457628,0.9394673123486683,0.8983050847457628,0.8983050847457628,0.910411622276029,0.8958837772397095,0.8716707021791767
FOLD 2,0.8910411622276029,0.9418886198547215,0.9491525423728814,0.9031476997578692,0.9346246973365617,0.9007263922518159,0.8837772397094431,0.9152542372881356,0.8910411622276029,0.8861985472154964
FOLD 3,0.9055690072639225,0.9297820823244553,0.9152542372881356,0.910411622276029,0.9418886198547215,0.9055690072639225,0.8886198547215496,0.8983050847457628,0.9055690072639225,0.8716707021791767
FOLD 4,0.8958837772397095,0.9297820823244553,0.9152542372881356,0.8910411622276029,0.9418886198547215,0.9079903147699758,0.8910411622276029,0.9031476997578692,0.8958837772397095,0.8813559322033898
FOLD 5,0.8934624697336562,0.9394673123486683,0.9394673123486683,0.9007263922518159,0.9418886198547215,0.9007263922518159,0.8813559322033898,0.9128329297820823,0.8934624697336562,0.8813559322033898
FOLD 6,0.8958837772397095,0.9346246973365617,0.9443099273607748,0.9176755447941889,0.9418886198547215,0.9176755447941889,0.9128329297820823,0.9031476997578692,0.8958837772397095,0.8789346246973365
FOLD 7,0.8976190476190476,0.9404761904761905,0.9380952380952381,0.919047619047619,0.9523809523809523,0.9214285714285714,0.888095238095238,0.9142857142857143,0.8976190476190476,0.9
FOLD 8,0.8976190476190476,0.9357142857142857,0.9476190476190476,0.9095238095238095,0.9619047619047619,0.9023809523809524,0.8928571428571429,0.9142857142857143,0.8976190476190476,0.8809523809523809
FOLD 9,0.8904761904761904,0.9333333333333333,0.95,0.9023809523809524,0.9428571428571428,0.9,0.8857142857142857,0.9095238095238095,0.8904761904761904,0.8785714285714286
FOLD 10,0.9071428571428571,0.930952380952381,0.95,0.919047619047619,0.9523809523809523,0.9214285714285714,0.8761904761904762,0.9142857142857143,0.9071428571428571,0.888095238095238
MEAN,0.8970581113801452,0.9353066989507667,0.9357142857142856,0.907130750605327,0.9451170298627926,0.9076230831315577,0.8898789346246974,0.9095480225988701,0.8970581113801452,0.8818805488297012
