,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.8064516129032258,0.9086021505376344,0.8225806451612904,0.8817204301075269,0.9516129032258065,0.8817204301075269,0.8333333333333334,0.8655913978494624,0.8817204301075269,0.8978494623655914
FOLD 2,0.7754010695187166,0.9090909090909091,0.8342245989304813,0.8823529411764706,0.893048128342246,0.8609625668449198,0.8342245989304813,0.8502673796791443,0.8983957219251337,0.9144385026737968
FOLD 3,0.786096256684492,0.8716577540106952,0.8342245989304813,0.8609625668449198,0.9251336898395722,0.8983957219251337,0.8449197860962567,0.8609625668449198,0.8716577540106952,0.8609625668449198
FOLD 4,0.7754010695187166,0.9090909090909091,0.839572192513369,0.8716577540106952,0.93048128342246,0.8770053475935828,0.8288770053475936,0.8181818181818182,0.8502673796791443,0.8877005347593583
FOLD 5,0.7807486631016043,0.8983957219251337,0.7754010695187166,0.8823529411764706,0.9572192513368984,0.8716577540106952,0.8288770053475936,0.8235294117647058,0.8609625668449198,0.8983957219251337
FOLD 6,0.8074866310160428,0.893048128342246,0.8342245989304813,0.8770053475935828,0.9625668449197861,0.8877005347593583,0.8342245989304813,0.8342245989304813,0.8609625668449198,0.8823529411764706
FOLD 7,0.786096256684492,0.9251336898395722,0.8074866310160428,0.8609625668449198,0.9572192513368984,0.8556149732620321,0.8449197860962567,0.8449197860962567,0.8770053475935828,0.8823529411764706
FOLD 8,0.7978723404255319,0.9361702127659575,0.8191489361702128,0.8670212765957447,0.9627659574468085,0.8776595744680851,0.8457446808510638,0.851063829787234,0.8776595744680851,0.9042553191489362
FOLD 9,0.7819148936170213,0.9308510638297872,0.7978723404255319,0.8723404255319149,0.9627659574468085,0.8670212765957447,0.7925531914893617,0.8404255319148937,0.8670212765957447,0.8829787234042553
FOLD 10,0.776595744680851,0.8829787234042553,0.7872340425531915,0.8670212765957447,0.9574468085106383,0.8723404255319149,0.7819148936170213,0.851063829787234,0.8404255319148937,0.8670212765957447
MEAN,0.7874064538150695,0.90650192628371,0.8151969654149799,0.8723397526477991,0.9460260075827923,0.8750078605098993,0.8269588880039445,0.844023015083615,0.8686078149984647,0.8878307990070677
