,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.9371492704826038,0.7149270482603816,0.8832772166105499,0.9528619528619529,0.9562289562289562,0.9270482603815937,0.9349046015712682,0.6846240179573513,0.8574635241301908,0.8159371492704826
FOLD 2,0.9382716049382716,0.7216610549943884,0.8978675645342312,0.9494949494949495,0.9551066217732884,0.9326599326599326,0.9349046015712682,0.7014590347923682,0.8720538720538721,0.8260381593714927
FOLD 3,0.936026936026936,0.7216610549943884,0.8821548821548821,0.9450056116722784,0.9551066217732884,0.9292929292929293,0.9270482603815937,0.6846240179573513,0.8653198653198653,0.8406285072951739
FOLD 4,0.936026936026936,0.7014590347923682,0.8720538720538721,0.9506172839506173,0.9450056116722784,0.9180695847362514,0.9270482603815937,0.675645342312009,0.8574635241301908,0.8518518518518519
FOLD 5,0.9438832772166106,0.7182940516273849,0.9001122334455668,0.9618406285072951,0.9551066217732884,0.9371492704826038,0.9405162738496072,0.7070707070707071,0.8821548821548821,0.867564534231201
FOLD 6,0.9494949494949495,0.7272727272727273,0.9023569023569024,0.9663299663299664,0.9618406285072951,0.9427609427609428,0.9472502805836139,0.6879910213243546,0.8956228956228957,0.8552188552188552
FOLD 7,0.9371492704826038,0.7205387205387206,0.9046015712682379,0.9450056116722784,0.9551066217732884,0.9438832772166106,0.9405162738496072,0.6835016835016835,0.8686868686868687,0.8888888888888888
FOLD 8,0.9281705948372615,0.7104377104377104,0.9090909090909091,0.9382716049382716,0.9517396184062851,0.9326599326599326,0.7227833894500562,0.7025813692480359,0.8597081930415263,0.8439955106621774
FOLD 9,0.9326599326599326,0.7070707070707071,0.9034792368125701,0.9393939393939394,0.9506172839506173,0.9349046015712682,0.9304152637485971,0.6812570145903479,0.8507295173961841,0.8608305274971941
FOLD 10,0.9292929292929293,0.7283950617283951,0.9113355780022446,0.9337822671156004,0.9483726150392817,0.9270482603815937,0.9270482603815937,0.6924803591470258,0.8529741863075196,0.8473625140291807
MEAN,0.9368125701459036,0.717171717171717,0.8966329966329966,0.9482603815937146,0.9534231200897867,0.932547699214366,0.91324354657688,0.6901234567901235,0.8662177328843995,0.8498316498316498
