,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.9686888454011742,0.9726027397260274,0.974559686888454,0.958904109589041,0.9726027397260274,0.9608610567514677,0.9667318982387475,0.958904109589041,0.9706457925636007,0.9373776908023483
FOLD 2,0.9628180039138943,0.9686888454011742,0.9804305283757339,0.9706457925636007,0.9706457925636007,0.9628180039138943,0.9706457925636007,0.9510763209393346,0.9706457925636007,0.9393346379647749
FOLD 3,0.96484375,0.970703125,0.970703125,0.966796875,0.978515625,0.97265625,0.978515625,0.958984375,0.97265625,0.947265625
FOLD 4,0.970703125,0.9765625,0.970703125,0.97265625,0.98046875,0.96875,0.970703125,0.951171875,0.974609375,0.958984375
FOLD 5,0.96875,0.966796875,0.966796875,0.966796875,0.9765625,0.95703125,0.97265625,0.947265625,0.9765625,0.951171875
FOLD 6,0.97265625,0.978515625,0.96875,0.970703125,0.98046875,0.96484375,0.970703125,0.95703125,0.974609375,0.955078125
FOLD 7,0.96484375,0.97265625,0.9609375,0.96484375,0.970703125,0.958984375,0.96484375,0.9453125,0.96875,0.947265625
FOLD 8,0.9707602339181286,0.9746588693957114,0.9785575048732943,0.9688109161793372,0.9707602339181286,0.9629629629629629,0.9688109161793372,0.9629629629629629,0.9746588693957114,0.9434697855750487
FOLD 9,0.9746588693957114,0.9805068226120858,0.9727095516569201,0.9727095516569201,0.9785575048732943,0.9649122807017544,0.9727095516569201,0.9532163742690059,0.9746588693957114,0.9512670565302144
FOLD 10,0.9610136452241715,0.9707602339181286,0.9707602339181286,0.9571150097465887,0.9727095516569201,0.9649122807017544,0.9688109161793372,0.9610136452241715,0.9746588693957114,0.9454191033138402
MEAN,0.9679736472853081,0.9732451886053127,0.971490813071253,0.9669982254735489,0.9751994572737971,0.9638732210031835,0.9705130949817942,0.9546939037984516,0.9732455693314336,0.9476633899186228
