,Euclidean + NCM (3),NCMC (3 centroids)
FOLD 1,0.7439664218258132,0.7869884575026233
FOLD 2,0.7334732423924449,0.7922350472193075
FOLD 3,0.7565582371458552,0.7848898216159497
FOLD 4,0.7544596012591815,0.7806925498426023
FOLD 5,0.7660020986358866,0.7387198321091291
FOLD 6,0.7465968586387435,0.8041884816753927
FOLD 7,0.7560209424083769,0.7968586387434555
FOLD 8,0.7350785340314137,0.7853403141361257
FOLD 9,0.7560209424083769,0.7905759162303665
FOLD 10,0.768586387434555,0.7675392670157068
MEAN,0.7516763266180646,0.7828028326090659
