,EUCLIDEAN,KPCA [Linear],KPCA [Poly-2],KPCA [Poly-3],KPCA [RBF],KPCA [Laplacian],KDA [Linear],KDA [Poly-2],KDA [Poly-3],KDA [RBF],KDA [Laplacian],KANMM [Linear],KANMM [Poly-2],KANMM [Poly-3],KANMM [RBF],KANMM [Laplacian],KDMLMJ [Linear],KDMLMJ [Poly-2],KDMLMJ [Poly-3],KDMLMJ [RBF],KDMLMJ [Laplacian],KLMNN [Linear],KLMNN [Poly-2],KLMNN [Poly-3],KLMNN [RBF],KLMNN [Laplacian]
FOLD 1,0.6161290322580645,0.6161290322580645,0.6064516129032258,0.6064516129032258,0.6161290322580645,0.6612903225806451,0.5741935483870968,0.5096774193548387,0.5580645161290323,0.5129032258064516,0.5967741935483871,0.5903225806451613,0.5806451612903226,0.5838709677419355,0.5290322580645161,0.5903225806451613,0.6096774193548387,0.5709677419354838,0.5838709677419355,0.567741935483871,0.6645161290322581,0.5967741935483871,0.6,0.6193548387096774,0.6387096774193548,0.9903225806451613
FOLD 2,0.6290322580645161,0.6290322580645161,0.6161290322580645,0.6129032258064516,0.6290322580645161,0.6258064516129033,0.5741935483870968,0.6064516129032258,0.6064516129032258,0.4645161290322581,0.5483870967741935,0.5903225806451613,0.6,0.5838709677419355,0.5258064516129032,0.5032258064516129,0.6516129032258065,0.603225806451613,0.6290322580645161,0.5774193548387097,0.6774193548387096,0.6193548387096774,0.6516129032258065,0.6483870967741936,0.6645161290322581,1.0
FOLD 3,0.6064516129032258,0.6064516129032258,0.6064516129032258,0.6096774193548387,0.6064516129032258,0.6516129032258065,0.6193548387096774,0.5774193548387097,0.5774193548387097,0.5516129032258065,0.6,0.5870967741935483,0.5806451612903226,0.5774193548387097,0.5967741935483871,0.5870967741935483,0.667741935483871,0.6290322580645161,0.6451612903225806,0.5838709677419355,0.7290322580645161,0.6516129032258065,0.6548387096774193,0.6451612903225806,0.667741935483871,1.0
FOLD 4,0.6258064516129033,0.6258064516129033,0.6225806451612903,0.6225806451612903,0.6258064516129033,0.6548387096774193,0.5774193548387097,0.5258064516129032,0.5935483870967742,0.5,0.4870967741935484,0.5741935483870968,0.5806451612903226,0.5612903225806452,0.5709677419354838,0.5870967741935483,0.6612903225806451,0.6129032258064516,0.6419354838709678,0.667741935483871,0.6774193548387096,0.6548387096774193,0.6580645161290323,0.6516129032258065,0.6580645161290323,1.0
FOLD 5,0.635483870967742,0.635483870967742,0.6387096774193548,0.632258064516129,0.635483870967742,0.6774193548387096,0.5,0.5612903225806452,0.5806451612903226,0.5935483870967742,0.6193548387096774,0.5903225806451613,0.567741935483871,0.5709677419354838,0.5612903225806452,0.5741935483870968,0.6709677419354839,0.6290322580645161,0.6516129032258065,0.6161290322580645,0.6645161290322581,0.6612903225806451,0.6612903225806451,0.6709677419354839,0.6806451612903226,1.0
FOLD 6,0.6237942122186495,0.6237942122186495,0.6270096463022508,0.6302250803858521,0.6237942122186495,0.639871382636656,0.5369774919614148,0.5562700964630225,0.5369774919614148,0.5884244372990354,0.5305466237942122,0.572347266881029,0.5691318327974276,0.5659163987138264,0.5819935691318328,0.594855305466238,0.6559485530546624,0.639871382636656,0.6559485530546624,0.639871382636656,0.6977491961414791,0.6463022508038585,0.6559485530546624,0.6752411575562701,0.6720257234726688,1.0
FOLD 7,0.6237942122186495,0.6237942122186495,0.6334405144694534,0.6302250803858521,0.6237942122186495,0.662379421221865,0.594855305466238,0.5916398713826366,0.6077170418006431,0.5852090032154341,0.6141479099678456,0.6205787781350482,0.6270096463022508,0.6205787781350482,0.5980707395498392,0.6077170418006431,0.6655948553054662,0.6559485530546624,0.6559485530546624,0.6655948553054662,0.7491961414790996,0.6591639871382636,0.6720257234726688,0.6784565916398714,0.6816720257234726,1.0
FOLD 8,0.6270096463022508,0.6270096463022508,0.6334405144694534,0.6270096463022508,0.6270096463022508,0.6784565916398714,0.5562700964630225,0.6077170418006431,0.6430868167202572,0.6012861736334405,0.5627009646302251,0.6334405144694534,0.6270096463022508,0.6270096463022508,0.5337620578778135,0.5691318327974276,0.662379421221865,0.6495176848874598,0.6655948553054662,0.6655948553054662,0.7556270096463023,0.6527331189710611,0.6816720257234726,0.6977491961414791,0.6945337620578779,1.0
FOLD 9,0.6366559485530546,0.6366559485530546,0.639871382636656,0.6366559485530546,0.6366559485530546,0.6720257234726688,0.5594855305466238,0.5594855305466238,0.4983922829581994,0.5466237942122186,0.594855305466238,0.5755627009646302,0.5819935691318328,0.5852090032154341,0.5627009646302251,0.5530546623794212,0.684887459807074,0.6334405144694534,0.6655948553054662,0.6109324758842444,0.7395498392282959,0.6816720257234726,0.662379421221865,0.6591639871382636,0.6816720257234726,1.0
FOLD 10,0.6077170418006431,0.6077170418006431,0.6109324758842444,0.6141479099678456,0.6077170418006431,0.6366559485530546,0.5305466237942122,0.5819935691318328,0.5562700964630225,0.5819935691318328,0.5112540192926045,0.5691318327974276,0.5755627009646302,0.5562700964630225,0.5787781350482315,0.5691318327974276,0.6559485530546624,0.6302250803858521,0.662379421221865,0.6527331189710611,0.7202572347266881,0.6141479099678456,0.6495176848874598,0.6816720257234726,0.6816720257234726,0.9967845659163987
MEAN,0.62318742868997,0.62318742868997,0.6235017114407218,0.6222134633336791,0.62318742868997,0.65603568094596,0.5623296338554091,0.5677751270615081,0.57585727621616,0.5526117622653253,0.5665117726376933,0.5903319157763718,0.5890384814853231,0.5832403277668291,0.5639176433979877,0.5735826159112125,0.6586049165024375,0.6254164505756663,0.6457079141167928,0.6247629913909345,0.7075282647028317,0.6437890260346437,0.6547349859973032,0.6627766829167099,0.6721252982055804,0.9987107146561559
