,Euclidean + NCM (2),NCMC (2 centroids)
FOLD 1,0.9547146401985112,0.8858560794044665
FOLD 2,0.9522924411400248,0.8531598513011153
FOLD 3,0.9560643564356436,0.8811881188118812
FOLD 4,0.9505256648113791,0.8596165739022882
FOLD 5,0.9530284301606922,0.8547589616810878
FOLD 6,0.9499381953028431,0.8850432632880099
FOLD 7,0.9474660074165636,0.8529048207663782
FOLD 8,0.9567634342186535,0.8647313156269302
FOLD 9,0.95,0.858641975308642
FOLD 10,0.9506477483035164,0.8685996298581122
MEAN,0.9521440917987828,0.8664500589948911
