,Euclidean + NCM,NCMML
FOLD 1,0.9407407407407408,0.9777777777777777
FOLD 2,0.9333333333333333,0.9777777777777777
FOLD 3,0.9407407407407408,0.9925925925925926
FOLD 4,0.9333333333333333,0.9777777777777777
FOLD 5,0.9333333333333333,0.9851851851851852
FOLD 6,0.9407407407407408,0.9851851851851852
FOLD 7,0.9259259259259259,0.9703703703703703
FOLD 8,0.9185185185185185,0.9851851851851852
FOLD 9,0.9259259259259259,0.9851851851851852
FOLD 10,0.9259259259259259,0.9777777777777777
MEAN,0.9318518518518518,0.9814814814814815
