,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.5288461538461539,0.5576923076923077,0.532051282051282,0.5544871794871795,0.5416666666666666,0.5288461538461539,,0.5096153846153846,0.5865384615384616,0.5288461538461539
FOLD 2,0.7251082251082251,0.6515151515151515,0.6536796536796536,0.6991341991341992,0.7056277056277056,0.7251082251082251,,0.645021645021645,0.6645021645021645,0.7077922077922078
FOLD 3,0.7207792207792207,0.6688311688311688,0.6645021645021645,0.670995670995671,0.696969696969697,0.7207792207792207,,0.6883116883116883,0.6666666666666666,0.6904761904761905
FOLD 4,0.7170626349892009,0.6868250539956804,0.7105831533477321,0.6630669546436285,0.712742980561555,0.7170626349892009,,0.6673866090712743,0.6695464362850972,0.6803455723542117
FOLD 5,0.7041036717062635,0.673866090712743,0.6652267818574514,0.6306695464362851,0.6652267818574514,0.7041036717062635,,0.6112311015118791,0.6889848812095032,0.6630669546436285
FOLD 6,0.7062634989200864,0.6976241900647948,0.712742980561555,0.5961123110151187,0.6803455723542117,0.7062634989200864,,0.6241900647948164,0.7084233261339092,0.693304535637149
FOLD 7,0.7075268817204301,0.7161290322580646,0.6623655913978495,0.7053763440860215,0.5935483870967742,0.7075268817204301,,0.6752688172043011,0.7204301075268817,0.6860215053763441
FOLD 8,0.7078891257995735,0.650319829424307,0.6695095948827292,0.6609808102345416,0.6695095948827292,0.7078891257995735,,0.6865671641791045,0.6460554371002132,0.697228144989339
FOLD 9,0.7063829787234043,0.676595744680851,0.6574468085106383,0.6468085106382979,0.6936170212765957,0.7063829787234043,,0.6702127659574468,0.6914893617021277,0.6638297872340425
FOLD 10,0.7112526539278131,0.6369426751592356,0.7006369426751592,0.673036093418259,0.6602972399150743,0.7112526539278131,,0.6645435244161358,0.692144373673036,0.673036093418259
MEAN,0.6935215045520371,0.6616341244334304,0.6628744953466216,0.6500667620089202,0.6619551647208463,0.6935215045520371,,0.6442348765083676,0.6734781216338062,0.6683947145767526
