,Euclidean + NCM (3),NCMC (3 centroids)
FOLD 1,0.6731517509727627,0.7782101167315175
FOLD 2,0.6440866185452526,0.7867851193781232
FOLD 3,0.6570477247502775,0.7974472807991121
FOLD 4,0.660377358490566,0.7724750277469479
FOLD 5,0.6533776301218162,0.7746400885935769
FOLD 6,0.6622443338861249,0.7844112769485904
FOLD 7,0.6773303916161059,0.7810259238830667
FOLD 8,0.6519823788546255,0.7852422907488987
FOLD 9,0.662451896646509,0.7789994502473887
FOLD 10,0.65990126165661,0.7860669226549644
MEAN,0.660195134554065,0.7825303497732186
