,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.8177570093457944,0.7698598130841121,0.8253504672897196,0.8224299065420559,0.8452102803738317,0.7996495327102804,0.8125,0.7710280373831776,0.7885514018691588,0.7657710280373832
FOLD 2,0.8160046728971962,0.7774532710280374,0.8019859813084113,0.8241822429906542,0.8457943925233645,0.8148364485981309,0.8200934579439252,0.7797897196261683,0.7973130841121495,0.7704439252336449
FOLD 3,0.8247663551401869,0.7669392523364486,0.8066588785046729,0.8282710280373832,0.8434579439252337,0.8119158878504673,0.8271028037383178,0.7733644859813084,0.7862149532710281,0.7178738317757009
FOLD 4,0.8230140186915887,0.7634345794392523,0.8107476635514018,0.8300233644859814,0.8551401869158879,0.8101635514018691,0.8183411214953271,0.7686915887850467,0.780373831775701,0.7278037383177571
FOLD 5,0.8213660245183888,0.7769994162288383,0.814944541739638,0.8272037361354351,0.8534734384121424,0.8056042031523643,0.7705779334500875,0.7583187390542907,0.7775831873905429,0.7086981903093987
FOLD 6,0.8248686514886164,0.7600700525394045,0.8155283129013426,0.8336252189141856,0.8312901342673672,0.8137769994162288,0.8184471687098658,0.7781669585522475,0.791009924109749,0.7209573847051955
FOLD 7,0.8137769994162288,0.7764156450671337,0.8026853473438412,0.8178633975481612,0.8476357267950964,0.7985989492119089,0.8178633975481612,0.7740805604203153,0.7927612375948628,0.7186223000583771
FOLD 8,0.8190309398715704,0.7734967892586107,0.8330414477524809,0.8283712784588442,0.8523058960887332,0.8155283129013426,0.7828371278458844,0.7729130180969059,0.7933450087565674,0.7157034442498541
FOLD 9,0.8172796263864565,0.7828371278458844,0.8178633975481612,0.8295388207822534,0.8453006421482778,0.8161120840630472,0.7904261529480444,0.7851722124927029,0.8026853473438412,0.7746643315820199
FOLD 10,0.8156359393232205,0.7689614935822637,0.8144690781796966,0.8185530921820303,0.8424737456242707,0.8098016336056009,0.7812135355892649,0.7578763127187864,0.7882147024504084,0.6960326721120187
MEAN,0.8193500237079249,0.7716467440409986,0.8143275116119367,0.8260062086076984,0.8462082387074205,0.809598760291124,0.8039402699268878,0.7719401633110949,0.7898052678674009,0.7316570846381352
