,EUCLIDEAN,KPCA [Linear],KPCA [Poly-2],KPCA [Poly-3],KPCA [RBF],KPCA [Laplacian],KDA [Linear],KDA [Poly-2],KDA [Poly-3],KDA [RBF],KDA [Laplacian],KANMM [Linear],KANMM [Poly-2],KANMM [Poly-3],KANMM [RBF],KANMM [Laplacian],KDMLMJ [Linear],KDMLMJ [Poly-2],KDMLMJ [Poly-3],KDMLMJ [RBF],KDMLMJ [Laplacian],KLMNN [Linear],KLMNN [Poly-2],KLMNN [Poly-3],KLMNN [RBF],KLMNN [Laplacian]
FOLD 1,0.9639175257731959,0.961340206185567,0.9690721649484536,0.9690721649484536,0.9536082474226805,0.9407216494845361,0.6675257731958762,0.6726804123711341,0.7190721649484536,0.8427835051546392,0.8376288659793815,0.6829896907216495,0.6469072164948454,0.6417525773195877,0.8788659793814433,1.0,0.9742268041237113,0.9768041237113402,0.9845360824742269,0.9639175257731959,0.9896907216494846,0.979381443298969,0.9974226804123711,0.9948453608247423,1.0,1.0
FOLD 2,0.9587628865979382,0.9484536082474226,0.9561855670103093,0.9587628865979382,0.9407216494845361,0.9664948453608248,0.7216494845360825,0.6726804123711341,0.6469072164948454,0.8479381443298969,0.8273195876288659,0.6752577319587629,0.6469072164948454,0.6237113402061856,0.9072164948453608,1.0,0.9690721649484536,0.9716494845360825,0.9664948453608248,0.9664948453608248,0.9871134020618557,0.9768041237113402,0.9845360824742269,0.9922680412371134,1.0,1.0
FOLD 3,0.9536082474226805,0.9587628865979382,0.961340206185567,0.9536082474226805,0.961340206185567,0.9639175257731959,0.7654639175257731,0.7164948453608248,0.6881443298969072,0.8505154639175257,0.8505154639175257,0.7345360824742269,0.6365979381443299,0.6134020618556701,0.8969072164948454,1.0,0.9690721649484536,0.9742268041237113,0.9768041237113402,0.9639175257731959,0.9896907216494846,0.979381443298969,0.9819587628865979,0.9871134020618557,0.9948453608247423,1.0
FOLD 4,0.9664948453608248,0.9484536082474226,0.9664948453608248,0.9639175257731959,0.9381443298969072,0.9639175257731959,0.6881443298969072,0.6726804123711341,0.6804123711340206,0.8041237113402062,0.8530927835051546,0.6623711340206185,0.6237113402061856,0.6185567010309279,0.884020618556701,0.9896907216494846,0.9716494845360825,0.9819587628865979,0.9871134020618557,0.9639175257731959,0.9948453608247423,0.9819587628865979,0.9896907216494846,1.0,0.9974226804123711,1.0
FOLD 5,0.961439588688946,0.9562982005141388,0.9588688946015425,0.9511568123393316,0.9434447300771208,0.9485861182519281,0.6838046272493573,0.7069408740359897,0.6863753213367609,0.8534704370179949,0.8251928020565553,0.6709511568123393,0.6375321336760925,0.6349614395886889,0.9023136246786633,0.9922879177377892,0.974293059125964,0.9820051413881749,0.9974293059125964,0.9408740359897172,1.0,0.9794344473007712,0.9845758354755784,0.9820051413881749,1.0,1.0
FOLD 6,0.9562982005141388,0.9460154241645244,0.9588688946015425,0.9562982005141388,0.9460154241645244,0.9562982005141388,0.7686375321336761,0.7866323907455013,0.7172236503856041,0.8534704370179949,0.8611825192802056,0.6966580976863753,0.6555269922879178,0.6375321336760925,0.8997429305912596,0.9922879177377892,0.9717223650385605,0.974293059125964,0.9897172236503856,0.9691516709511568,0.9897172236503856,0.9768637532133676,0.9845758354755784,0.9922879177377892,0.9974293059125964,1.0
FOLD 7,0.9511568123393316,0.9537275064267352,0.9588688946015425,0.9665809768637532,0.9562982005141388,0.9537275064267352,0.6812339331619537,0.7506426735218509,0.7017994858611826,0.8123393316195373,0.884318766066838,0.7146529562982005,0.6452442159383034,0.6401028277634961,0.897172236503856,1.0,0.9691516709511568,0.9794344473007712,0.987146529562982,0.9537275064267352,0.9948586118251928,0.9794344473007712,0.987146529562982,0.9948586118251928,1.0,1.0
FOLD 8,0.9485861182519281,0.9434447300771208,0.9485861182519281,0.9511568123393316,0.9511568123393316,0.9305912596401028,0.6786632390745502,0.7197943444730077,0.6812339331619537,0.7917737789203085,0.8303341902313625,0.6760925449871465,0.6169665809768637,0.6066838046272494,0.884318766066838,0.9948586118251928,0.9691516709511568,0.9820051413881749,0.9948586118251928,0.9691516709511568,0.9974293059125964,0.9768637532133676,0.9897172236503856,0.9845758354755784,1.0,1.0
FOLD 9,0.9564102564102565,0.9487179487179487,0.958974358974359,0.9538461538461539,0.9538461538461539,0.9333333333333333,0.7076923076923077,0.6923076923076923,0.735897435897436,0.8461538461538461,0.8794871794871795,0.6974358974358974,0.6307692307692307,0.6230769230769231,0.9179487179487179,1.0,0.9692307692307692,0.9641025641025641,0.9974358974358974,0.9512820512820512,1.0,0.9794871794871794,0.9871794871794872,0.9974358974358974,1.0,1.0
FOLD 10,0.9615384615384616,0.9384615384615385,0.9666666666666667,0.9564102564102565,0.9358974358974359,0.9538461538461539,0.6846153846153846,0.7282051282051282,0.7384615384615385,0.8179487179487179,0.8102564102564103,0.6666666666666666,0.6256410256410256,0.6128205128205129,0.9282051282051282,0.9948717948717949,0.9717948717948718,0.9769230769230769,0.982051282051282,0.9461538461538461,0.9948717948717949,0.9794871794871794,0.9871794871794872,0.9948717948717949,1.0,1.0
MEAN,0.9578212942897701,0.9503675657640358,0.9603926611202735,0.9580810037055233,0.9480473189828397,0.9511434118404145,0.7047430529081868,0.7119059185763397,0.6995527447578702,0.8320517373420667,0.8459328568409481,0.6877611959061884,0.6365803890629639,0.6252600321965334,0.8996711713272812,0.9963996963822052,0.970936502564918,0.9763402605486456,0.9863587304046584,0.9588588204435077,0.9938217142445538,0.9789096533198514,0.987398264594618,0.9920262002858138,0.998969734714971,1.0
