,Euclidean + NCM (2),NCMC (2 centroids)
FOLD 1,0.8092783505154639,0.7912371134020618
FOLD 2,0.8144329896907216,0.7835051546391752
FOLD 3,0.8092783505154639,0.7835051546391752
FOLD 4,0.8067010309278351,0.865979381443299
FOLD 5,0.8020565552699229,0.7892030848329049
FOLD 6,0.8046272493573264,0.8431876606683805
FOLD 7,0.8123393316195373,0.7686375321336761
FOLD 8,0.8071979434447301,0.897172236503856
FOLD 9,0.8051282051282052,0.8051282051282052
FOLD 10,0.8,0.7846153846153846
MEAN,0.8071040006469208,0.8112170908006119
