,Euclidean,LDA,ITML,DMLMJ,NCA,LMNN,LSI,DML_eig,MCML,LDML
FOLD 1,0.9481865284974094,0.9481865284974094,0.9481865284974094,0.9481865284974094,0.9844559585492229,0.9740932642487048,0.9689119170984456,0.9689119170984456,0.9585492227979274,0.9533678756476685
FOLD 2,0.9481865284974094,0.9637305699481865,0.9481865284974094,0.9430051813471504,0.9792746113989638,0.9689119170984456,0.9792746113989638,0.9792746113989638,0.9740932642487047,0.9740932642487048
FOLD 3,0.9430051813471504,0.9689119170984456,0.932642487046632,0.9378238341968912,0.9844559585492229,0.9585492227979274,0.9844559585492229,0.9792746113989638,0.9637305699481865,0.9585492227979274
FOLD 4,0.932642487046632,0.9689119170984456,0.9378238341968912,0.9430051813471504,0.9792746113989638,0.9740932642487048,0.9740932642487048,0.9740932642487048,0.9689119170984456,0.9689119170984456
FOLD 5,0.922279792746114,0.9533678756476683,0.9430051813471504,0.9274611398963728,0.9740932642487048,0.9533678756476685,0.9689119170984456,0.9585492227979274,0.9533678756476683,0.9585492227979274
FOLD 6,0.9484536082474226,0.9587628865979382,0.9536082474226804,0.9432989690721648,0.9690721649484536,0.9587628865979382,0.9536082474226804,0.9587628865979382,0.9639175257731959,0.9587628865979382
FOLD 7,0.9381443298969072,0.9639175257731959,0.9432989690721648,0.9381443298969072,0.9742268041237112,0.9690721649484536,0.9587628865979382,0.9587628865979382,0.9639175257731959,0.9536082474226804
FOLD 8,0.922680412371134,0.9587628865979382,0.9278350515463918,0.922680412371134,0.9742268041237112,0.963917525773196,0.9690721649484536,0.963917525773196,0.9587628865979382,0.9536082474226804
FOLD 9,0.9175257731958762,0.9536082474226805,0.9484536082474226,0.9278350515463918,0.9793814432989691,0.963917525773196,0.9690721649484536,0.9742268041237112,0.9639175257731959,0.9484536082474226
FOLD 10,0.9329896907216496,0.9587628865979382,0.9536082474226804,0.9329896907216496,0.9742268041237112,0.9690721649484536,0.9690721649484536,0.9690721649484536,0.9690721649484536,0.9690721649484536
MEAN,0.9354094332567705,0.9596923241279847,0.9436648683296832,0.9364430318893222,0.9772688424763635,0.9653757812082688,0.9695235297259762,0.9684845894984242,0.9638240478606912,0.9596976657229849
